zokeihuqis,lzaxrywtlq,axgazbvjei,nudxlboicx
235,0.476,-879,0.1855
144,ppsmawicek,xdcpfjxupd,mjhycsgzoh
-732,-655,-0.1645,560
-0.3155,0.2875,-657,-927
cAt,-731,Cat,jkoluteshh
-903,662,bblhvwysgh,ftvnhsnckl
CAT,pepuwkyopm,498,Cat
390,0.399,49,0.1055
cAT,-0.377,-968,kvixkbuoft
-0.364,CAt,0.2675,-134
932,-351,yxtkpfbxfx,DOg
121,0.3725,-826,-0.1
-0.158,sgvergtvzh,CaT,0.3045
-597,DOg,763,CaT
0.195,-585,-290,sqmetnwxsu
ilvxsuubmj,klfrvorbew,0.024,DoG
29,-0.063,0.1705,795
-46,-0.304,cat,740
CaT,rmahvdzqjf,zzmlzaaqve,0.35
npozkweumv,lahdvjozvu,-727,mrdhjfpmez
-0.1965,rzpmwxlmxc,-0.3635,0.4415
CAT,363,0.116,CAT
igzuxiroab,-836,0.118,-520
-504,-385,-0.4815,0.0795
-0.0285,-487,0.042,Dog
920,iebfxyqzgg,dog,lojiciypgm
-0.4105,rgjtlipeev,-466,-0.1675
larimdapbx,-720,-809,4
-427,cqaibeepwb,lcwyvyshmd,uegfozasqg
-0.4595,-0.1405,-891,-0.093
vchqjzrikz,CAT,vsnqtsjmee,-0.4025
rpuqpgkhbt,909,-0.4095,-853
eizvdxmbcf,-792,0.274,wrblvkgzzo
DoG,-0.34,0.4615,458
-445,gvzhpxedqk,imqlndfpri,-0.4805
847,CaT,-640,njvbnfvoxt
tzftobcrim,dOg,-26,60
0.252,DOg,0.2475,-460
0.3305,26,388,-0.319
-0.1235,gtosnbbxzl,347,843
fyehqgdnch,smlnrbunus,zntpccutko,119
0.348,-0.1595,mpdycrfpzg,469
kwgkqtxzib,hllgerjysi,doG,xznhxmhvjn
361,tkovgfuiqi,zgghcoichs,-438
-590,caT,-0.478,efithnnpij
-0.0235,rcbdielctc,bzpsxskshr,saqntpbgjp
0.2175,vhoczzoatd,0.074,ucfikptjhu
vqscttyxmp,-67,-0.065,-493
0.058,-566,0.3785,-75
0.2855,689,xmsonhimxp,Cat
ikjzzlveyp,0.463,-0.183,CAt
0.0415,rxypxodade,0.082,-700
-0.4015,yuosinvnad,xpjlalliry,623
-166,636,-0.033,nqrqfitqin
-88,-492,97,Dog
724,-729,helzghmalm,bxvkczbzar
672,-964,caT,CaT
0.365,-691,caT,0.4185
ognrnwzpob,yjndzrugza,0.282,caT
743,DOG,-0.452,-730
gpqogedkyo,jlnlnlsthr,nzdbkxsvma,dOg
qnhoobhvun,dOg,57,-0.2345
dog,iohjqmuwat,hkjlgsefxi,DoG
-300,iyufnsmrhg,129,944
-0.219,jtsdgdwyec,ziyoupwwjw,0.156
cgkhikzdqn,-0.0895,caT,0.3435
CAt,45,596,azfnvknuok
cat,ftxmcrhkkt,125,843
