tsqfadlwde,kywrsaefrd,Pet,fliapawkle,xrcbsodeuw,ddavnlylns,vjucjzmrjx
414,220,dOG,doG,0.2845,0.285,0.012
60,-147,558,asawipfxvg,-0.4875,0.248,jmwqbynceu
szkyxrjlzt,656,CAt,-0.1655,DoG,-77,713
-706,-38,cAT,-0.4255,hdgwpatdmt,DOG,zixbxfcjmk
0.4645,-0.4155,CAt,248,wolbncfgug,0.4335,rvcfhblded
ucjfbcwrtx,-0.3525,Dog,uvbnbsmnbd,DOG,-331,vkbgrooeai
557,0.318,DOG,sqvxbmstzq,-127,691,uhpcoyjeyv
tetqzsytlq,-213,-321,doG,DoG,fqkjwsgazs,dOG
0.073,mdpvhhcofb,Cat,Dog,-379,-0.436,688
dOg,dog,dog,gcpkbsbpnd,oaqniaczpy,-0.495,CaT
lhgihgbxic,140,0.434,mgnsbfycmk,CaT,DoG,cyikpubwon
-890,-679,cAt,nprcrzyosr,784,gbipqzpjdc,-548
127,-0.4245,cat,-130,DOg,qjvkilddqx,0.0925
DOG,ntskjjvleo,CaT,Dog,-0.0325,-0.0715,153
kjvhrznqhc,unknerggta,qpeodxlqwt,loncawobra,gmujiqxciq,bibwpiztet,rnrrbqwxpk
-0.202,257,thwgtoggre,-943,wguygkfhkb,-0.21,-251
-680,28,-470,vrktipbudr,0.45,0.0895,-0.2315
0.46,dog,CaT,-236,cAT,prcoosoejf,-986
kxngkuquxf,doG,Cat,rthxlqruug,0.2015,Dog,cat
ntclkpnqsv,0.4035,DoG,-810,-0.1925,-0.0145,iwzbvcwakd
0.232,mtjjfoufxp,Dog,-0.29,qgmmrvujnr,0.0875,cat
tshyscsjjf,spwvxkqfez,CAT,sakjsdcauw,uzxepboiqj,anvxzujouj,210
0.065,-576,0.413,qoxvhhosph,465,CAt,0.1995
DOg,0.1545,CaT,ygdylwppwc,doG,ccascdpxdv,0.336
dog,czbraedbsx,dOg,-0.116,whtfujvuhx,-0.0335,417
0.055,rmnrcmbeqs,Dog,-0.1455,128,925,zzkhiyhemz
CAT,-827,doG,ojpdinqlaf,obvhychsrn,sdmqqvtyfp,-390
DOg,0.374,caT,dog,-194,340,49
-163,zyijvyzyid,DOG,hhbckgemyw,kutqoirvhp,DOg,caT
Cat,eakkioibtr,0.3395,0.2275,qmgkyrxnwh,951,-826
-454,0.3915,CAT,-112,doG,0.103,0.04
lzmodpyclb,-250,-276,0.0385,-0.1875,385,351
CaT,hjeqkjltcm,CaT,Dog,vfaujtzdap,-813,260
754,dOG,Cat,-0.44,ycxdjcevqf,-607,670
-0.241,0.0025,erpnlblaqu,0.385,uaxwdwuucl,-0.0925,cAT
ejldvorqli,doG,dOg,pkznigsesn,-0.4595,brffqdyywh,-658
311,0.0105,caT,0.0195,msgdyhmqol,CAt,868
dOg,569,Dog,281,-0.2075,dog,-0.2475
570,Cat,Cat,0.307,977,jsmdprzgkp,Dog
ctxxenpzzv,vrumeqfqqo,CAt,imwnqdphup,-717,dfpwpxhjxu,701
0.22,0.4755,640,-352,DOG,caT,chiyebfijc
-0.084,cat,-0.096,tkghixlodc,-886,mtuplwpyrk,-0.353
-100,696,cat,bhxvqbqzsf,doG,654,-0.0765
udumhixdrj,ykpaiqtmqu,Cat,0.0515,cAT,-0.1595,dog
221,685,zwkdbikexi,-0.253,610,689,DoG
hycwkubwun,-0.063,cat,-0.0385,-0.4345,0.189,-202
0.0995,0.0135,cAt,lvnnfknvfl,-0.0095,cAt,442
anqgliaags,0.4105,dog,0.489,ptknjierck,0.479,0.148
-0.2495,jeeqphznxx,bedickotoo,-0.1525,-0.4135,-0.1525,-348
ikzrqfzjbn,-923,DOG,-649,0.0535,0.1635,CaT
-0.002,0.0825,-0.166,278,qosqqaeoqq,waieghnupj,-866
gdvzgksflr,cqtnjqyxpx,dog,0.075,-0.374,DOg,tnsxfophfb
-602,caT,dog,uvawyxgdvq,ddavxtkkol,Cat,trefubijin
DOg,0.1135,cAt,0.0375,yfifkqokiv,caT,jpjnrdfxor
vvphpcfjaq,bcdxafolhs,dOg,xvhfqhjltb,-961,24,-277
srojvwqast,nqgxuskonr,tmnjazgxhu,ipjguqxlgl,xtgufzqlcg,qnkzsmqilb,cAt
tlcdhajoov,-361,DoG,caT,0.1675,Dog,-0.433
-715,0.103,CAT,fntguleswu,eunvkflekp,ozxhzjvnbm,-0.4135
xfqizaxucb,dog,cAT,wfldikasig,-772,-0.2315,zvhlyuuijg
-539,-955,Cat,gesdvvbkfz,-0.297,sztaxpdngj,CAt
egaejzwqzn,-0.1585,CAt,0.481,0.4225,404,dOg
-0.246,424,DOG,fegcwltfya,zutloklbca,-218,-733
dOG,ixaypvkdlt,Dog,CAt,paxyhquyca,oanlhljzpr,-0.1645
758,trgvfzejgl,DOG,963,164,mmiccjwdog,32
wlbwounvwt,-0.255,0.2335,0.1155,-0.2715,zsdtwgudqy,nevomhqefh
457,-746,cat,danuzaqwsp,583,539,dOG
-641,-206,fdigmtnohe,-510,vtjcybodun,cat,0.428
owjhsuohxd,247,404,-0.1005,-0.205,xqzgityptv,54
0.367,gooknwdcck,CAT,-664,-13,ghvbitwlbc,cat
iktsgcyobl,fysvfinaen,CAT,0.2275,Cat,0.355,tppjccxwrb
bvothevhfu,cAt,DOg,aftwggdais,xfyyjpylkh,-0.1065,0.187
avdljrcljq,926,119,dwqqoudjpn,-378,-661,cAt
Cat,0.191,0.342,fqycibuasf,351,DOG,0.1355
