ehlrvolpsh,pygpdjvytm,uizywdmqts
tacvbzviaz,kdhorducux,-0.317
yckpcklzrf,72,542
-2,uanpezpeeo,CAT
0.461,0.084,154
0.1345,-0.4725,-0.383
emokwjvwvd,wksabcgxgd,0.2225
vynkmsyhnb,zfasagiqmm,489
-178,0.361,0.151
-0.145,-0.035,-433
0.1155,dOg,-0.25
-8,0.483,-0.189
0.271,0.0325,860
0.4325,-0.499,-0.18
Cat,cdzthjlxie,0.3065
0.1765,-0.057,qvrhmmqkyw
-0.0525,CAT,308
-0.4155,hlwynxbcsw,29
rpktlafekx,0.232,DoG
ilrtctjoxp,ujeqdaobsn,0.3115
0.045,tyqtryuheu,-0.1715
4,793,vcyyrufjtb
wndsgpyvfm,907,442
xsfbpjxwjj,0.4465,524
cAt,905,jseqxlwsaq
-0.488,0.1975,CAt
364,cAt,Dog
-48,915,-0.286
koqlxtecep,-0.212,ruttwsksen
0.171,qrrugtsznw,0.4105
-0.4415,xssijxvtkt,dOg
-0.147,cat,kokykpvoim
dmzdbekdjb,126,755
cat,-387,bkffhpuohj
-0.498,-0.42,-505
dog,-896,doG
0.288,hqgwwyurtr,-506
0.0575,Dog,dOg
863,432,vmppghpcht
caT,yqerclupka,-612
-521,-0.1375,861
859,-491,xawmspvxtx
xryhzwmvuf,0.0155,doG
0.25,dpsltjnbmp,-946
DoG,qcqvbrnjtl,-0.141
-0.2505,dOG,DoG
-0.164,Dog,xsrrapabwk
drombiowve,307,DOg
0.054,0.102,0.056
doG,kfxclxfzyt,kvihatmkhh
Dog,cat,0.0895
730,0.3055,gutoxxetze
yaewrbudep,DoG,jptoczpnpt
-27,DOG,nsorjwboga
