inkzwswimj,campinoate,ikpjsepftq,qmozhvcdfl,mpxuozcvib,lhsqjkhfcp,omwmnhikjr
dOG,dcgaumiuqz,ngfyzsxpsk,CAT,nrlttmjylq,-868,CaT
707,feltxiquoe,-492,avsobjztkp,0.394,-170,isjxbljhxo
-0.489,-94,0.0285,-336,zmtvlrmnom,344,-781
886,0.1065,CAT,wyvduepwga,-454,jiayaafuea,-317
-321,-0.3395,tzfnalpmir,-211,ysvkkxooph,413,CAT
362,509,CAT,zjoblllzox,-0.302,872,fljahqdzye
wbmzkowzff,ravvxhwonm,-134,588,993,-357,-736
Dog,0.393,caT,kdneqkclln,0.113,dOG,948
-395,cat,-0.419,dOG,0.2885,938,CaT
rnlzyxsfes,-442,dOG,877,-0.3215,cat,0.0055
-633,Dog,579,qbwcwegcuv,CAT,ikkabydcbm,lclaeyalem
0.3325,cAT,-0.2605,-490,-0.1315,cAt,-531
elejeyepex,cAT,gelgbnljpl,CAT,0.3285,oiecbgurax,-0.0505
dzkfvquzal,712,484,0.354,-49,-0.3645,919
-0.4595,-0.0805,-908,0.223,323,jrmwetgngd,741
-886,-0.4435,0.3065,-0.0055,0.129,950,CaT
dntjqoaxzd,-0.27,-627,DOg,DOG,493,wjqzdpswwl
CaT,-439,-826,wmlydjeazi,byuixhriid,opvqjanabv,qoznntpfrq
-536,-591,dOg,309,-0.0395,lxqxpkbklc,cAT
zpgrfymvbj,-0.181,0.3675,0.127,cAT,-622,192
ssxotkecbf,134,dOG,doG,Cat,0.0765,dog
0.4445,-0.2855,olegeelrwr,-0.165,-0.2045,0.284,0.053
eazzbrzhnj,ssnwvnycre,789,-807,faumatrmsx,DOG,-0.1655
0.129,0.338,cmddinyfor,0.221,-0.4785,caT,0.301
-0.2915,-0.1605,-0.4255,-547,665,outdpcbuee,-0.32
ntvdffqatf,284,caT,DOG,-0.2445,jajsqkqamw,-0.268
zsxezdoyxg,0.073,Cat,cAt,nocihgblhk,caT,dOg
dOg,0.16,654,0.47,-0.4275,-0.3365,0.0115
0.216,571,-0.0915,803,258,CAT,wjbonjgors
lqvrnjjilo,-217,yqasconint,puvbewrvmr,Cat,831,cAT
zwhlozdqgs,-0.472,-672,hzqhdmnjvh,312,-0.071,886
-18,525,-0.099,Cat,wlyaeupkza,cthucvmoxu,xnyzpkjloy
dOg,-0.0425,-0.132,-0.29,-0.2845,drllmyziko,yjyooqlfrc
-900,407,0.04,-0.4955,-233,okjlzokudv,bstlcckbhk
365,vaxgpaoujt,ntkperjcxn,0.3505,Cat,0.0375,-334
gvplwvvyjp,-0.1425,0.37,caT,-0.134,smqyppossm,caT
dOG,shthcwzyxp,CAT,-385,0.0825,rbcvomjaxe,cat
-751,-278,-24,0.124,eixoltwehu,dOG,0.2735
-0.0735,rfjgobhlzs,fagghhonfu,-0.1465,-762,CAt,cupmgrjidn
auqvwdlpgw,428,cAt,DoG,egrwkbdtxu,-0.2785,Cat
-896,Dog,788,CAt,lgzvzflyoi,696,-870
-74,xfoiqqqjlr,-553,424,-318,cAt,wfsdmcmdbn
0.2715,jlnfkiuwks,-0.3285,0.0755,0.4895,746,Cat
-0.4445,cusovdndzj,0.0985,482,-650,-877,-0.31
639,-0.0515,gkqybbiums,-0.452,ixibvkxjqm,DOG,-226
848,dOg,0.3055,Dog,cAt,-781,0.316
0.41,DOG,-764,stthuluwxw,bmwrhweibw,doG,cAt
lngrlcqoph,-0.034,-0.236,-674,335,DOG,-80
-0.3925,0.212,CAT,-853,xxtyqvfuqe,304,ahukmsnmtw
DOg,0.147,pddhsafhfw,-0.071,0.322,wqhvisrfwk,0.358
182,sykltwowrg,-589,wdpddvogxq,flcwqrjjvr,0.303,215
cdslxyzopg,-341,erozqfutnq,cAT,607,0.3595,-631
pfagnxdvhu,318,-18,CAt,llhomgjord,CaT,0.3125
cat,-670,hcsskkgrlr,875,klqjurrcfg,cat,kjphzlbvxn
0.398,jkvoipxqbl,Cat,-0.075,kklyqcvuyl,-401,xsokqptedw
-0.239,gimublezla,905,0.2485,-0.1535,-0.118,0.1375
71,202,-798,0.49,-819,Dog,-0.494
0.3875,-0.369,-622,mmqzdqapou,DOg,0.344,817
doG,bkhavkcptm,-519,ijwpdsuwnw,bkncieilkv,-679,irwyzzugsx
