pwgtmkxvlw,jhyltoemgb,pjbezzxaeu,utlqhiqvqj,lisithexni,qutbbhrmvt,ndbioknxel
wjqdfjztlk,0.391,864,cat,-0.348,tqxhjppnnx,CaT
DOg,hfcgfttioo,29,DOg,-5,0.4065,898
-276,bhfbrumwhw,ckqxhdhcev,-0.4185,-0.144,606,cAT
njxjchfhtq,opdzcczxhg,DOg,0.3445,0.3155,400,bxkinvxetw
byemdwmxoq,yzmfphzueg,0.2415,-712,DOg,668,-0.495
-786,299,0.4255,rkjjxwrvwu,Cat,rztpgrrqle,elcmufjhni
0.423,894,656,0.1545,-736,-0.2335,-0.2525
814,-385,0.0685,-0.397,-0.2635,dOg,732
doG,0.445,735,nbscaqffso,ixdifkuknd,577,CAt
firwnkllnf,immjfthpjg,620,-0.263,degivijtgm,-972,-0.2715
519,715,-0.3545,0.2905,dOG,dOG,-449
caT,-317,jtirmlccru,-53,CAT,-0.2535,-0.3815
iapgujbifa,doG,336,mykpfgsbbn,sgiudqcort,-0.2445,-0.042
