jefaghtkrh,ioziasweuz,usaczjvflu,hmlfylnfvd
0.1895,729,dOG,399
ahjixmcxga,-712,vlzoyxfruo,zcadwbklac
pxzudyvroa,cdjlprwqou,316,vxhjrajsah
DoG,0.0745,psbagftaox,lrzgffrrrl
DOg,0.4205,cat,Cat
-0.064,cat,-0.2875,-510
cAT,-380,-287,71
959,0.359,-0.214,-0.1915
914,701,-0.3285,0.14
dOg,-775,621,0.0425
998,doG,-826,0.2785
dOG,zbcuzlgwjz,-987,-161
0.4115,696,efvxpjuzzk,CAT
euoppqwnrz,dog,-0.165,mlmqqbzosj
0.326,-486,caT,-0.011
qjjqgrzlsi,-0.1545,0.073,cAt
ctszbntrfr,0.048,jsajiyilxa,-0.0195
-0.4725,ngyesjcoyz,caT,pplwzrhsqm
0.4245,0.3835,-0.243,0.384
CAt,-117,hedrqgqdjo,txurplwrrd
356,0.224,849,hjsjhjfkmh
cegkouphzd,-0.4035,-902,-621
-127,qwmwlpucvw,0.305,-921
