Pet,twrnyoeatj,chszcbfbyg
dOG,-857,-331
CAT,yxxoviwnjl,0.2325
igsddkneyh,245,qyyjwbtlmi
DOG,583,600
DoG,689,caT
dog,0.0575,-0.0845
DOG,DoG,-0.479
cat,-0.236,-0.1405
350,-0.3605,doG
cAt,-0.083,-0.212
DOG,0.3915,doG
CAt,dOG,0.497
Cat,gbbowwgshu,278
zmeckqxapu,cat,-586
CaT,271,vhkpssubkv
dOg,qqvgqezjuk,agvartjuni
dog,oqkzpkmlmf,-0.3575
caT,914,372
DOG,94,880
CAt,0.103,-457
cAt,udynojjoxn,qvzhuxdajt
-0.146,410,doG
-477,DOG,DOG
DOG,jvadiaoxgv,Dog
dOG,vvzuwwpbus,CAT
DOg,cAT,DoG
DOg,hnxpnejlaq,373
jrhusswomg,jdgmezgwfm,0.4005
dOg,0.128,-0.275
