qbabslzacx,yjyzufdiob,vshksdmhbr,hoziqgdcbk
210,xovbdswmmu,0.029,0.0275
-639,0.318,-0.417,580
841,CAt,191,mpqyfkjjic
0.38,-503,-993,298
rcewjlardv,-0.266,-0.3795,uhrewollvm
951,-306,mszjfrxloc,253
-0.236,0.3935,eqvsnemgfy,82
cAt,-970,716,ppzoopokkn
-668,doG,936,-0.0195
0.4315,979,ibjrzvobuj,864
-0.4645,0.145,fawrnybdrs,kavxueexpw
cat,0.318,-0.0905,nnrcqyslkq
889,ejiuljzxrg,DOG,CAt
0.3955,950,-0.2055,caT
0.33,ladfqcbfua,360,0.4535
0.068,cAt,0.1485,kyrqbkbaog
0.4975,fvblkddupr,-787,0.3915
-592,CAt,zqzjqlqhea,yfkreruejy
-0.4245,644,53,-0.422
Cat,wcemhhohzb,qifvcgtlpu,umntjgxama
tdwjwnghgt,qrctmyftlk,-169,-0.412
Cat,rdnxdwrbkf,znimfhftkt,lnqwrxywic
-282,697,0.1345,622
ashjjvxrzn,-289,qlkeyzgyhj,-0.4285
ptvzmlkflu,-629,-817,0.167
-129,822,401,26
czlxhbkwqw,583,0.1565,DOg
-0.1205,205,tzfnsskekg,azsqznuflc
cAT,0.224,yzvhuzclpg,-936
-729,pupwwpwifd,lrtrsutoob,488
cat,667,ynudumajun,0.4435
0.206,Cat,DOg,0.355
0.3945,0.2405,ghtulnhquz,zhdshjtfzd
pydowaitol,578,lipfrnnzrr,crdwrsswxs
-0.15,Cat,udmyiqtvph,689
newdimvpsy,-536,856,0.4945
-0.4405,diairvgjds,ucynvugbxm,-0.2555
0.066,doG,cat,-966
252,dog,455,oxiattsxud
0.01,-194,217,-0.1495
doG,cat,325,0.434
-0.447,-325,-271,ojthigtfqf
njcdotgzbb,0.3865,cAT,iiuxvsawxg
243,0.3045,Dog,cAT
-0.0425,349,0.303,465
-0.308,dog,-188,0.2635
0.0565,zkjpulytrp,-0.3525,CaT
0.138,0.0675,953,-0.418
dOg,217,DoG,0.2035
0.0865,euctdzqnim,dqcbtxnjar,-0.222
-179,423,doG,0.406
-0.3405,kxsoxrlsdb,0.044,llgpskoena
-0.368,460,jhsvipbehd,0.006
638,qxuewjygwn,-0.131,Cat
bpxzvgvzwa,krbalkxize,pptiijypad,0.0585
-953,395,DOG,sqaibsrber
