avehihbfaj,armchdlhmr,jagnmwhlfy,nnwdrxgxfz,mldfbrvbdv,cavemfavvu,orwxkhwryy
qrqupimsbz,-0.034,-423,dog,yucuqedzdt,-486,-0.3855
-0.4295,doG,0.491,0.322,0.0985,179,0.127
-654,dog,0.21,-0.2135,bpdbrqfnsl,12,hhhavbrinf
-0.227,0.306,watyrcsetv,877,-49,cat,lldpvswghq
dqnnjgihtf,aftbmobiud,-1000,0.131,onnhsoombt,caT,zstphqklvb
DOg,fbshzhzqer,yzefxyazoj,caT,dnkfqjaivf,-742,dOg
Cat,hilpwrfgly,889,majmofvjeo,dhylcuvije,yoqdgdwuzv,-0.1575
-0.3885,536,caT,863,jheiqlfhnt,rypkkdzeow,758
973,0.2035,doG,cAt,-0.1425,-0.267,dog
gtbzqbwlov,0.3885,xmmzcuolul,661,0.249,364,-0.12
Dog,-0.1425,nkznlqpfhp,nrgngmcsat,kxoonapwia,-379,-398
-171,hjxbwyhfzj,cat,289,986,DOg,utfzynzxkw
cAt,0.342,xywgxyxyqq,CAt,0.127,dfgurmrxtc,plzdkftlkh
kjnlqbscoc,-321,0.3735,-0.1905,cAt,xrwoftkgwt,932
-0.325,-469,-54,awbpstsrky,xmiyrhkphl,-148,dOG
759,148,hqqmlakcbw,-359,459,-0.0825,DoG
fzpathpboi,-0.0275,dOg,0.3575,0.174,ouoiykkanc,-591
Dog,918,0.2725,hfividwcxq,cAT,569,dOG
292,0.0275,bdyrphjsne,234,0.1745,-0.17,942
sxjkvwlznt,387,DOg,312,-0.45,959,nbcjmwizxu
-0.135,szljzgquuj,DoG,673,646,0.144,CAT
puxlebflxk,65,-0.3165,slwijndtyc,miypdzlvub,358,-0.479
-571,0.4605,caT,ztgurnxakw,-0.375,caT,98
-0.274,Dog,pskoetgrms,-0.0935,datbnzllic,hiawosjcxj,364
859,yrwihxswix,-402,bjahjeovaq,DOG,uwrdlxvetr,dOG
Cat,CAt,990,ydufwygvja,-0.196,ufngxvbvys,660
DOG,792,ogakzpoeij,CAt,dOG,-494,mxhsfjgidp
-0.3245,ryzfxankey,0.1765,mjsjkrkivc,0.288,vszfikzouz,-944
-645,-0.361,-250,-0.266,91,ojypxuupdc,-305
dog,gddyrrhjzj,-696,-0.0885,-0.0365,cAt,oczfjbqeho
920,952,dstyhvjqio,0.023,970,aaopksgith,-972
302,vjngbzbfwh,-222,-250,737,Cat,lzcxtmhola
0.3195,-436,-263,wrpklkmryr,355,ddqwgpjfjv,0.4335
esqffsjcer,0.242,-0.487,DOG,-0.422,117,Cat
CaT,CAt,-0.118,0.2805,caT,dOG,caT
-637,cAT,-489,735,vlqbvmusdk,cuhzyfukwn,caT
cAt,-620,kvlhnoipod,625,-55,0.264,zughmxdmez
spfftinxzl,0.178,wfgsskyeyo,111,-0.1665,dbnndpwres,CaT
CAt,xwspfdlmis,dog,0.222,-730,wzcjnjelvq,ayvrcejxfb
bipwltmpql,CaT,-0.1695,-0.043,312,yemfdcxyai,pcanapdprs
Dog,-0.156,pbfqmqwfar,-0.011,wlzumlcckw,-0.4075,0.2655
cAt,-0.0895,-327,DOG,0.1465,fjnnshtfun,CAt
izrqbxlpez,efhipgcdlf,Cat,wlrsrourpp,cicflvcrqy,579,-707
xwryzrvegf,hlqotymlvp,777,mkrotaxgry,-123,18,cAT
-0.4665,-88,0.2785,dog,-0.0155,slolryqksk,fmtmhvpdko
yqfzlyeeok,eslgjzztpz,990,303,-952,slxlhxpdpd,qjtdhwoftr
-866,-253,-0.05,CAT,0.07,625,-382
0.4485,-983,cAT,hveeorgnop,CAt,vgozdbweos,ovqumybcci
-414,omocprcvlj,cblcgrvrod,-832,ylitknqwez,yyhfalmcoj,-615
dggnozsqdp,DOg,0.323,-770,DoG,pybykautrb,-579
-0.2995,408,flmiqlibea,bbofkpdkeo,cat,DoG,caT
clbaxyujjv,zvbdzvrrgh,DOG,-304,-877,Dog,-0.0205
0.3035,997,0.351,-0.393,0.373,0.15,498
