czlovknyxs,pEt,jzmhcqqjjx
-747,Dog,cynojqtpwj
kkibswrpey,cAT,earvqdwpjm
-0.43,Cat,euvywyfnky
dOG,0.3145,-0.4765
lxsfeqzpwe,419,308
921,0.1715,rtxptcjkfa
mfhgnxfyev,259,-0.3885
uhvgdgdzld,CaT,dvhgeidsar
0.248,gadtcrzsgp,0.061
DOg,-922,-0.111
-0.3655,CAT,-0.0695
-333,cat,-705
0.0505,dOg,ljguwtrkku
CAt,247,-0.288
vejsdjgrxm,CaT,-0.1565
cmmynfznvz,DOg,-121
30,cAt,ozoetaevnz
-302,cat,-0.324
ezghtczglh,CAt,vslodnflat
-0.493,CAt,-125
0.028,wvtmkvfsng,zqgdjyzuio
-0.3025,332,eoqwzxzsnn
-951,xacrmgkztj,CAT
gdimnhbzch,-257,0.021
-90,DOG,342
0.4995,dOG,62
324,dOg,-0.0595
-0.4385,-0.272,-229
DOg,CAt,-0.4325
ummzypzhzq,297,dmpdxyvdjz
-0.0145,0.161,39
bqzkgsmkig,dog,179
-0.4945,zvhyksxjze,ljymwdyvfy
-0.078,cAT,wsaeudyuey
19,CAT,-384
0.048,0.1355,qmdmllpgmi
cat,ixjrbzsclp,435
bopwqqnasb,vnyzmcsjoz,DOG
-0.005,cAt,-0.0115
728,DoG,150
jkrnqyibsd,cAt,cAt
iubsyzwrhs,-0.4865,0.1215
dyneudxrqi,454,dOG
cAT,Dog,Cat
Dog,dOG,0.464
755,-804,kyofdsqbqm
-0.1515,CAt,ynsenalwla
568,cAt,-107
-426,Dog,qmerxflgpu
dOG,cAt,epkgsjywvz
0.289,-428,gejbdmhwsg
821,Cat,xttjvyizmz
caT,0.04,xlgxzsbrcl
CAT,Cat,0.4095
822,dOG,ajsolgkpsk
lsarcccjcq,Cat,DOg
182,tscvwwylwc,CaT
tazzccfdpv,cat,shlnlgzgar
553,cAT,0.028
605,mzcocnzmup,0.393
hxpkhqsxdm,nzxvljzakf,rdjnlwomgj
706,caT,0.2105
DOG,DoG,caT
-0.147,sdwnzhpvhn,0.1625
CAT,DoG,-0.226
-830,xxixaqdngb,rgshfbvwur
-341,cAt,iupvllgahw
0.353,cat,djmclgimuh
0.037,0.4995,-294
CAT,Cat,0.4275
-0.0395,cat,0.028
0.024,DoG,-17
0.2335,dog,jqbqhlqtxj
-834,-0.3135,CAt
-0.3925,DOg,tivwfydyau
iqmxyhgdip,-0.0725,cbiitqxirw
875,cat,0.251
-131,DoG,wjckkqgjgt
-856,DOG,cAt
dOG,cAt,0.078
leqybbkxkj,-0.0985,DOG
-0.285,CAt,orktylraju
jmarxdkvxk,DoG,0.2535
144,cAT,1
-0.469,vaatzujxxe,0.364
-354,dog,-513
0.136,DOg,554
caT,cAT,260
kwyqaatqnt,DOG,dog
0.294,-0.404,CAt
DOG,-443,xbcqfttjan
CAT,DoG,0.3195
Dog,cAT,ahgymxoalj
-0.23,cAT,qaarugimbj
dOG,cAT,sxjukpxpyo
155,dOg,-0.046
0.0425,DOG,293
607,DOG,jylyaoxhba
pgnxfytbwo,38,wdnampxaan
