cilhwyrfii,mtaiaobdho,zvyncylviu,jmjmlyokmu,gfrvpgtrjd
259,-0.4245,zjrjdcptdb,Dog,918
499,CAt,gjlfkktuih,wjsjemmazs,nyexiwextz
srnubktchf,vvzfhdrnki,0.1525,0.421,caT
127,itmgpjsxod,CaT,-624,0.2655
dog,0.288,-0.115,-0.255,-515
-0.1315,-0.288,-0.098,0.039,760
-770,332,dyvbrwglcc,-928,-0.098
0.3625,ldceiwofmb,0.159,ykedteehlq,-0.358
CaT,dog,-0.013,caT,CAT
jpnrrgadla,iitpiafqqv,ndgdtwlbdj,-0.219,-722
-357,-0.14,rwrovnmevp,0.158,0.239
-0.1085,Cat,yjckwborih,dOG,llywedqyaz
0.232,-325,842,-0.351,-636
0.423,dkgxmcsnhj,rjnbkvmopo,fdcwxgnzwh,-590
0.095,doG,cat,614,-867
gauyciiqhb,-146,zlqfwjavwo,251,-873
0.1275,dOg,buvtdsfkpq,cjvjbhspbf,-454
efooloubkb,-0.0545,ujvlogepax,0.0145,0.338
-0.4785,CaT,mficjridcs,0.471,rdkrndcfsc
-531,qpazrgkgte,-0.3775,-0.2855,-0.1375
-213,793,822,0.2675,owetmkfmyv
-993,119,0.3525,lkyrfuwlgm,937
doG,vswmgxvrzw,-0.2505,-0.4055,qaypwyordx
-792,-108,-684,caT,487
htbzrriqwu,uysdccxoqr,cAT,0.236,-0.1405
-492,reljkuzbxm,0.1555,-226,0.3665
376,dog,-493,cAt,-332
CaT,CAT,-19,-0.212,gsbjhgmeyd
-0.2785,-0.35,eqpohomoqd,351,caT
787,zxwjrbxhnm,0.4155,0.0845,-361
891,Dog,746,0.4615,-0.1305
-605,dOG,kdphpiqavk,lvhfaglloz,-314
-742,-619,0.1255,odgnhztqxu,915
-81,0.0425,-522,lbxwmbxskf,-0.3065
0.4765,-937,vfmbnyxspm,-0.135,alvekfjpjz
606,982,0.1875,-0.1465,oqbwtfppum
srhxfayoji,Cat,-848,945,-0.2745
ikfxhixywt,csqueugcdt,0.047,210,-0.32
-0.338,DOg,DOG,Cat,407
-360,-37,0.01,ffrdjldbag,nkhwxmdiwt
CAT,-87,-0.072,-672,0.457
cAT,yqhwjavzcf,aljfhygurd,885,udvuogpkjf
-0.116,wqmxetzuvp,-0.3085,rqsvhvzcdg,828
cAt,-645,srfmgnkryu,-930,0.1275
0.1195,-67,fqnolyhhwh,caT,0.2615
eomikdyoqm,-0.251,Dog,xyirktpctw,rsbyggalnu
439,511,CAt,-70,Dog
CaT,CaT,952,656,ozsipsgpgx
jcxnsrmjjx,dOg,-0.153,0.3185,-0.04
0.031,-907,mmpvmaanpz,-374,0.4285
636,-0.1955,0.1675,67,ltcklmdzvu
0.116,fnrukdykye,-834,-507,334
126,-591,-314,DoG,0.2495
jnvstslyoe,638,-816,221,-404
-536,DOg,785,DOg,-0.009
502,ezyiezejmh,dvtrkdyipt,-166,kkdrdgepbs
-53,tekjfwirlp,caT,gxqoikymvo,225
837,-986,ofxukvspug,itrarcbmzx,dog
559,bbxfavnbci,djkweytilv,ytriwkiolh,-0.2675
-0.2795,-0.0805,-495,0.24,lxinctzwis
0.26,dOG,dutuhhypbn,DOG,DoG
-0.2725,0.097,-242,-689,0.43
zmtdvmazsi,Cat,Dog,-0.285,-0.4125
jnzjsozfzy,qtecnmewoz,-319,-0.355,-717
-553,-217,0.3865,0.42,-0.244
dog,bkonyzhsuy,qyqktxhnbq,cAt,jqptubgntg
wycjwihqfn,-0.4745,-0.109,nsfzlidygy,775
0.3735,-951,CaT,-0.154,-0.203
0.2725,sawtmmvlec,0.0985,541,ssugfiaqbo
-0.103,0.2585,-132,178,DoG
999,lgamnjlxqh,nlihjlvmnt,vwecvtsags,0.024
623,-882,tedjctchmd,868,505
