plweiemxkk,oomnvxskyn,ikvesnbtqp,PET,gcuglqfvfw,dlvwdkfxof
cAT,embmekoren,doG,dOg,0.0605,0.3725
-0.4965,DoG,0.098,cAT,0.287,-0.2215
CAT,-818,uzrahyfsvd,dOG,0.199,-0.476
-762,764,0.174,lbhxujzzmm,0.049,DoG
lhymckxqjz,309,169,cAt,-848,-0.1135
edbpqguzjg,-99,kgutxeudwg,dOG,690,-670
936,863,bnrscvmogc,cAT,hxnkafqggn,-94
-0.289,yaabwolbfv,ctlipfnvjt,CaT,0.3155,-0.1695
qjkwyosjxe,cAt,-448,dog,0.164,caT
fjxrbszdrj,favhswtena,urruahdkcy,dog,-611,935
DOg,csdkusuokz,0.213,cat,0.398,uhqhewkdpw
17,doG,0.443,0.106,hgdqukcwnr,0.1935
ursgwlguyw,-330,0.093,doG,khyfutuivd,686
-0.319,Cat,ybknyprwlj,-0.3,czbsdycatn,zgctdgwags
0.1525,bmracgovro,xcdjcfcpaz,DOG,0.098,DOG
CAT,dhdkxexsly,jtpeaxnqpq,cAT,cat,ajpkubpgwr
328,0.015,caT,dOg,skupyfsczn,-299
Dog,347,caT,rvkntjdjjx,wvsrmaxhvd,gawzmexjum
jvbgqmwemn,-750,222,-0.4305,cat,-0.3575
ezqvlwrebc,-704,DOG,npejlihtpy,-0.2735,DoG
dog,0.1205,-0.0705,qgnafiamvd,txfznkecvd,gjocxmdyzq
-0.073,dog,-0.1425,CAT,puyxfytqsz,50
344,nidnpjwcbw,sluoadydci,Cat,-907,nhwhddjirp
vfqnoiuwvu,cAt,960,dOG,0.493,0.411
DOG,jcgvitabdz,doG,dsvkzvpzud,260,cat
-0.081,lwhzacxqug,bdkpkxhflb,414,714,-0.385
-0.284,261,0.303,ktkwpopgvj,lwsmlclfrw,-0.352
0.2665,-0.166,-855,doG,489,dOG
0.342,809,888,DOG,lyguejidya,paeqflpasc
807,-0.022,322,DoG,ampfflhfqm,-701
0.321,DoG,ewcylsvtrb,231,Dog,gjuzniuksc
-99,892,Cat,Dog,chxkvvnjvm,698
mjwcklqmay,DOG,-537,cAt,-0.3245,CAT
dog,soxwmykorr,-0.402,CAT,CAT,ongqmtomei
jyutclzyap,0.497,-0.09,-733,642,mayxntjmqi
-789,dOg,dnzrpynmmu,doG,-0.188,-173
-0.428,0.128,-590,CaT,0.236,176
10,832,-0.3825,cAt,461,-0.2465
DOg,hgqzrjcqta,646,dog,ambxcsrqgw,xwjmfzpppm
niqkemkiot,DOG,qvseujupvg,dog,DOg,0.4425
734,-0.215,265,Dog,-949,saytapoxcd
