nylfaeiima,hxbctnirjj,ujdorkwvuw,txnobvdbdy,ltkfjoajpd
0.1345,0.4285,97,bqxfxwnaqi,kkxhzfbkvc
0.4585,0.3875,-57,-0.2685,xfckjpziav
DoG,xfuzbzfikq,803,-990,202
bdtnsaxmce,0.0455,xdthxmlwvh,0.4945,-0.368
649,cauyfqnhot,0.217,vspomrlbej,rskplzoets
373,wdibvdjdcq,dOG,dOG,achmwcenxr
742,cAT,houdzjpfgv,lvxecmvbqp,369
-0.223,-693,-658,0.429,yctiiqbcdj
320,cAt,280,-0.1075,kcdihatbwl
530,-321,CaT,doG,527
-975,caT,0.3455,cAT,axpzgtophz
-0.355,dOg,787,0.0115,293
559,DOg,ptwqwuwole,evcsiuazzp,dhwamsaozl
sstzfacidf,0.283,DOG,-0.459,191
DOg,mpwxtljwbg,eteopeahna,dog,767
0.481,183,quflycnppi,92,wutmccqbnp
0.0405,-543,CAT,-0.0355,Dog
0.1155,-0.1065,dog,0.125,0.374
-0.0765,-0.3345,-786,-0.438,70
-434,-161,0.1855,-78,-0.0785
-0.1585,227,-0.3755,-68,-0.346
277,0.3615,kajgzdjjjb,736,981
-116,0.294,456,781,-0.4635
-784,Cat,0.1225,-486,-237
160,0.343,xfnnxqklrm,zpowzbsxtz,zethegxnmj
0.222,Dog,0.201,dOG,921
0.378,-90,0.358,cat,-0.159
Cat,544,841,0.141,-598
dOG,sunhntdxkh,xjfgrolars,-133,jxuhrjrrdc
-0.186,luasdxgyxu,kjrptglshd,-86,-174
qxxuhuwsdn,-593,-0.2835,-0.1075,hympwwxfso
485,ullgjxytwt,512,dOg,uufezcucor
0.134,qfnmsmzmup,cAt,0.494,pfvcdnkgid
850,695,urqnqpngwb,0.134,-0.425
-901,ziplvfkcws,-433,-624,581
edldrzbamr,acnxlpgtav,slqpqtashp,smxngxflrx,-0.3245
dOG,wvhlthrcpl,-0.003,478,-0.259
0.1715,xpdqhpfytf,uudfkwwyzu,oqgzowkhfy,-513
DoG,doG,wotcionghh,0.3185,0.1935
xhxamiihbl,htpwwtwbgt,-0.3695,DoG,-189
DOG,bctorcbsiz,-0.483,-224,158
Cat,0.392,yzxlkwuyyx,exrqyvigwv,yevyjwkowh
-0.3495,-0.47,-0.3735,-0.221,625
qitswzrjba,188,0.05,-0.494,mbiqxmwhxh
0.334,-0.358,0.3415,CAt,0.194
-751,-0.08,drvjqfgidj,925,yddtwehkkj
-847,876,zuncdhrufq,dOg,176
dog,-0.325,0.3045,364,cAt
tfozuloirn,0.0585,doG,CAT,908
lcgokfisbs,811,-0.4045,68,dOG
-0.3995,-0.3135,wzkdtioomp,290,0.0715
csgozamgfm,Cat,dOg,0.4975,0.012
dog,-997,CAt,259,zzeteprcyv
-474,0.4445,-635,dog,-0.1265
emuzfbpbom,-256,-102,0.097,-801
cAT,pvoslynwgz,etvlgrefje,cAT,cAt
0.1225,537,527,CaT,-0.277
qcrgvqjbeo,826,-0.0255,595,dog
caT,dog,gieyoiawsm,CAT,yvoraiqetk
