iahrkgoiym,lkbbcjfomu,uavdqorojz,hezhozckjp,wsgdglshoe,gwvqbhwvop,exrlvkxscz
46,145,ixdmxlhdjg,-301,179,-0.0715,zrjotqgsvr
CaT,Dog,nsxnqieomb,DOG,-665,oxnuaybdnh,-813
hfnlkkganl,-776,-0.347,0.298,-0.3255,alttrmcaan,0.473
Dog,0.129,bjtvespnta,0.3865,505,259,-425
-0.319,-0.05,caT,0.027,cfqasvttfr,nrkelrsrld,-737
-109,-0.457,423,pprspnzulv,aipszzgjvf,317,qlgkcmmvkv
758,subrtohymv,hxmjhgrbpf,-0.493,272,-0.0955,CAt
-414,0.4215,0.12,-8,ilumrjrlop,-259,Dog
0.418,edmrjpiolh,-62,rchfcjgzns,dOG,341,826
lqrhzoydwq,0.189,-0.441,-0.366,ejuugwpnqh,cAT,-410
0.226,ppitzzijsz,0.489,vhhjykcpav,394,-307,CAt
-66,CAT,-0.1175,puqintnngf,179,0.3965,-781
633,uzdpczcnje,0.122,dog,slwyjkzvte,otgbnzdxrc,0.2155
caT,nupirkfryo,0.1725,-556,-882,-0.1245,wcwtimgcji
vewsjwgmzi,tourcezpxe,-0.2035,-308,871,679,0.0415
-85,lqmjgedpcm,-737,doG,-0.363,107,18
0.3605,-0.3375,806,-481,Cat,Dog,0.3905
-0.0205,qpfvsfsxwh,491,892,cAt,-0.1525,Dog
-369,-0.076,vlcksoumke,0.31,qqtxhoeulz,dsyvqnbenv,830
inwvocsckm,xamqbfsyzh,607,pkqyspqjdg,-0.4015,-0.3125,oofbkgqayg
0.286,caT,886,-516,-0.191,ozadyubkfm,hzauyotbtq
-0.183,dsbxoaadrj,CaT,-531,-929,450,etatymwhym
cAT,992,CaT,lzzbusrjgm,Dog,0.293,CAT
8,885,0.0505,nzpypzceno,-0.4275,htdlfakofg,0.4595
-946,wlhqgmxmrn,-0.2345,caT,-0.101,Cat,DOg
-0.1385,699,doG,371,kbnyzwxmim,cAt,0.2425
ogiojwvrkv,0.3495,-0.3725,-817,xrdwlbwkzw,0.467,-141
Dog,806,332,-0.4445,-564,-202,-0.081
489,fterikidkk,-0.2825,381,-0.4935,-0.3065,0.3125
-556,DOG,144,trjvkmokzk,doG,caT,-0.125
seiikpzyaj,-0.314,-0.113,0.459,-0.007,cat,caT
uztcvhkmat,-0.092,iebeqbnjhb,902,dOg,0.4905,-0.161
iukbpkytoo,-920,725,doG,-0.2325,CAt,474
nzkqodmuor,634,-412,785,bpuygwboba,549,jnrnvafkjr
cat,-222,zxhkccwaqu,CAt,yayunypczh,ftsoziljfm,-0.3045
0.0125,-0.325,182,CAt,-838,0.0125,-0.28
zzcacoxvpl,ewodlcjfuu,CAt,cat,ozvcyjhzob,CAt,ximktqnyuh
-0.4795,-346,cAT,0.428,0.264,btkvbgpcnq,ajxqfjbytg
owhqddktna,-0.0735,-0.075,vpufvzgaks,0.149,1,Cat
786,-332,-0.367,olerjakpah,cebgxwvtfl,umczbfwffu,232
351,cxaxjregfb,gjowczjfpa,0.342,-986,-430,0.0035
DOG,-0.0055,-0.362,bygmkbjnbm,DOG,gmzljjbdom,-391
wmjompexkt,0.3385,tubmavmtwh,uvqwtxewng,-618,dutlazvxsr,vtsleedghg
