yycwkjplyh,tsqvspysku,eedtjsooyg
yymihkkbhu,147,0.08
-0.186,-0.0705,0.367
-0.369,-0.487,-0.298
471,-212,-0.0215
lkfskdygiu,0.492,-51
icwlqdfqva,-599,DOg
0.4185,-213,0.0535
okmhomnhrs,170,dOg
miusddrjfx,-0.256,858
-0.356,rnfalrkevq,-0.198
-0.3115,505,zvzzuoqxds
0.472,-164,-0.066
-0.223,177,-725
igtwjgjtpn,375,bzifsmvcib
-428,-376,tjqbivfqix
dxnwkjxbjh,DoG,waunangxxi
zqecbfwiwf,-146,-0.347
-0.1945,bqrgvsfulm,Dog
higgvhyqhg,gguaorshtt,cAT
-828,famdmiguwt,-0.316
0.332,-139,txkiexxavx
0.1315,DOg,bhmgynhgkh
-677,ywsroeibgo,aaejzawxwo
rbppplfzgr,cqfceqvicl,xbloverfcq
gjdssayekj,986,Dog
-76,gjqhhkhrfz,dOG
dOG,416,sjrlyvilzu
-0.083,lfszfkghob,-0.167
-649,zfqjvciksf,pjdyqlnfji
bqxizggoee,vzduolscsg,229
zcngsdwllm,-218,602
0.259,-0.002,CAT
639,0.4495,-554
wzbwcfdtzp,fhxvmxdmnv,xrzchbvgyg
ezqftfoelo,leolddqxdb,-331
0.114,cAT,455
DOg,565,DOg
