bxxylyhhau,peT,ctsaqhxmrs,ipqhggyvic,dhjxefqlrt,jiaigaxqew
-970,cAT,esantjbvze,983,0.1775,-945
ildzqpbuuf,doG,cAt,0.4135,-703,-86
-843,DoG,lhikdcirwi,-0.178,advhizzhru,seknqkdxbx
dhnxvjpdkb,-0.086,tmkggkeuon,CAt,Cat,0.376
wxldvrettn,DOg,ialfqtjlfo,0.2905,dOg,0.1665
-790,-702,vwjydszskx,eadmtnqqes,yyjweqohsr,615
-230,wclbsgcqmz,-0.19,Dog,136,-0.0115
-55,Dog,0.2665,-260,-403,Cat
-699,ulvazftayp,-0.419,501,0.358,caT
bdraomojvv,DoG,doG,stkigglzya,-746,0.073
swwywzkukf,dOg,gyblbhjebl,0.2225,0.046,426
cadyxiwbar,dOG,qvlpzlafcm,jhjkvlvyqp,0.3105,jazpeplojy
kikxnbpabs,DOG,-183,0.2005,849,-0.4365
cjgucouwxq,cAT,-0.2825,yghfjaxwwe,cAt,qedfwjefkd
DOG,-376,-404,whrnsbpxhv,cAT,DOg
-0.2195,-290,6,upxvfrnaej,445,484
-959,CaT,Cat,0.38,vbsbwgryub,facqywejad
dqnnvvkrje,cat,caT,dOg,-102,710
-0.1585,cAt,-0.353,997,-609,0.227
258,dog,997,0.3615,-372,726
479,doG,akmrmitafr,937,-308,wjivestpcy
gtogcgdouw,DOg,6,-0.3625,-0.344,0.2605
-492,dOg,689,fqchyedafq,caT,hdeajopcut
dosangaztx,DOg,-0.132,-252,-831,-0.3905
-0.375,dog,-799,188,hgreczqglc,hwjhxurjny
179,-0.3735,czmquecdsp,dog,-0.1575,-226
743,cAT,-156,-0.026,bsrovjjprr,ivcduvzpsc
picfpllrgd,-0.033,0.439,spuyffviym,-0.247,0.12
DOG,caT,-0.051,-0.074,cAT,dOg
cat,-0.088,sddccutfcu,ngbcivmpxb,CaT,-0.3485
-0.2215,caT,lwzznkfujr,0.4475,-0.38,-64
sfpeqqiwop,CAT,-0.486,0.363,Cat,izmkxpyhjv
-442,CAT,dOG,0.3155,-0.1045,ggpxmpvkns
204,Dog,0.277,DOG,crnczizypi,-22
DOg,DOg,-0.016,975,gzutkdootq,-187
-0.0285,Cat,0.062,dog,-0.153,-0.096
cat,-0.298,-0.0635,-0.0505,926,0.117
-0.411,cAt,-612,qxugudwkgf,wpyxdkzbds,398
DoG,DoG,dog,0.162,ycrdhzzvgw,0.06
cAT,cAt,sjozvppdwq,hudkzeqpna,796,0.1245
aqajtxqjvl,mvnouivqtz,vvtpitwpwp,-998,dOg,dOg
0.076,-880,CAt,-617,xrnzlcpwck,cat
774,0.3135,caT,959,uihwksmudw,qcucceilxn
CAt,Cat,856,-0.1495,-0.363,0.1185
caT,-731,399,ijxeuuhklb,dmgqyeagsj,295
0.2375,jmmgxqtylj,0.0815,-951,728,-294
CAT,DoG,0.387,0.428,apklgamdmh,-0.3785
cquwrkeahf,foclxvbcgp,buqdlfibhb,CaT,DOG,-0.0795
0.398,CAT,uknvtyzncs,87,818,0.2505
0.343,dOg,DOg,DoG,xleuktvggs,759
caT,cAt,0.187,dog,vniffiqibw,-102
0.188,caT,-123,-946,-87,caT
830,CAt,-427,-0.1385,iofitccdmr,-0.0925
0.252,DOg,ymkinxtvsq,0.0825,0.149,295
DOG,DOg,caT,eehtzgalqs,58,4
490,pgctqhquvb,ykelgfcjzd,499,0.403,doG
-0.367,-0.277,-0.4655,331,-119,doG
jhoapurvvg,Cat,0.144,0.425,olbhvdsole,-274
xvqwlhacju,DOG,688,crlwdpeefd,-0.4865,caT
CAt,cAT,DOg,186,287,dOg
709,DoG,984,-58,939,cwgysfapmo
-48,CaT,0.142,545,dlxlsffqgt,-14
hvbegpotql,dog,-888,kznamatjgn,kopzgbdltu,985
0.4865,dog,Cat,-0.1475,-764,0.16
0.0075,-782,-0.169,-710,Dog,CaT
-863,dOG,caT,-0.187,617,876
0.054,757,ggtglopdjt,-216,lwkllsfptt,-0.326
-268,doG,698,-144,769,hvnkxcwrqr
edzotythue,dog,rigkvddqnl,0.0095,0,-0.1975
62,CaT,-828,596,-438,fqsvyqbrrd
626,552,-369,shzgwpgzte,-993,612
-543,DOG,pimixraggl,477,tonvwldloo,yrvrbgghzo
467,DOG,-133,DOg,0.5,sctkczguyi
kxytrxbgwt,Cat,0.228,520,vwmtfbwvzp,-930
linhskhkfb,cat,251,dog,zfshseeifj,-629
rfitwrrwqm,doG,-0.323,zkrwgzqwjh,-557,ghsdbdfqom
-236,doG,0.0465,426,31,hvtqydrayn
-0.378,Cat,-0.0275,-891,-0.275,-0.432
-375,DOG,Dog,fkmfdcclur,892,vdzxolktjy
ivepyicxlu,caT,-438,xzxxofrvvj,0.141,-284
945,Cat,DOg,-680,494,rqlcjegkzf
958,Cat,coufiwovyi,-0.161,-847,weuyhsugcv
-566,CaT,-2,cAT,-44,onkbagofqy
-921,-0.297,0.016,0.2725,-480,ybsrtohjjp
anxedoddsu,0.058,-183,DOG,blqxzhlydj,fdjmzxylny
fieuaqpfjx,DOg,-569,202,dOG,Cat
