lgrflpqjol,gtjwoupzys,mgeemrzmhv,bvgbqpwgmj,mwhzejhyab,pdsmonxiao
0.03,dOG,0.219,927,0.3815,DoG
kifrcckgzu,450,-0.2,-0.023,0.35,678
vffknxzpgl,-0.0965,ngbiqfkcqy,0.1795,bubkyljkbr,hnmxlmcxal
329,0.1085,0.458,-285,DOg,zmbrngmmzr
-0.468,-102,bovzyibzgf,476,nqssjliioq,cAT
-625,-932,-0.389,-0.015,0.136,vhqbhhueaa
-0.449,lymtzidyif,pspyonamrg,-0.4965,836,-0.428
677,ykrgrshcew,0.183,0.112,zingqojvil,-0.2705
zzbbbvpujs,CAt,tynxkzefde,vasnznkyrx,nbvzqebjaq,682
0.023,cAt,-0.422,-351,cAt,0.086
-840,0.046,-438,dOG,cAt,-505
582,ffxpvpezud,caT,997,jepysmuqjb,0.242
vtpdybesyr,wpsohyzttv,-286,-717,-475,0.1735
0.1615,0.345,kooyildarn,dOG,-0.351,0.345
vswrseguph,cat,-0.104,882,202,0.2035
0.084,ikqslwnatf,-0.095,0.4375,svfkwjhjnb,uhemruotfo
686,0.4795,0.3055,DoG,dOG,0.4265
DOG,0.3545,hbhvlmqmkm,sjibnxbyyl,-725,0.1545
bbuggofmdl,0.3615,-973,0.0785,-0.3115,-0.3835
kdlgamsqfe,-762,xpncyzydkg,svmmmryqta,caT,-0.4255
369,-118,tjpzjmepcj,wraiqnxnsw,awfqslhfog,778
tohocwnnyd,vscgmjprbo,kqmjvdetph,saraubcoal,-0.488,-0.3395
tjjmufpnka,60,-0.303,-0.467,806,-718
-750,-984,-0.44,-0.3775,Cat,hgsonayevp
zgugspyifl,dOg,sftfcrmisf,-0.0595,-801,-0.371
vptqujdtpd,0.2425,225,uliddvlsue,wucjszlycm,0.0395
-927,113,lhktarjcgb,468,kdlmmsiunr,0.331
CAT,cat,esgqffymph,-0.461,0.0365,-617
0.0045,-0.031,-0.038,oxvgyxfvwg,0.1935,-0.1535
cAt,iitpgcztgc,274,-564,guvufkmfvp,-0.2125
doG,567,-0.4755,-0.382,cAT,-365
-887,-877,0.3995,libwebjrup,-693,-0.044
cat,bvxgukmulf,0.455,0.1045,Dog,131
ynoaiihmuq,-170,-64,fhumzjqvgv,334,CaT
dOg,axkgqyttbg,swioydqwka,hwkhyzxuam,0.4955,cbkqiaelni
luadnaqpcq,ldhzvwqwkd,84,700,-0.2505,iuufftjkpa
563,-0.178,-0.247,DOg,jiyymfahpx,380
0.3415,-125,ynjmteseok,0.48,izlgcyvehc,-0.385
cAT,cAt,-0.0675,cAt,0.3265,keaprfdfvw
648,-631,965,DOg,gcufjedoho,DOG
cAt,dog,768,0.2055,doG,-0.071
fjxbhjvdby,0.337,sdnpdvsltc,-0.0035,-42,397
-0.244,-61,Dog,-0.3555,0.136,cAt
eqxfakphmb,unrrthjltr,869,xldkgmpdem,osrbpuofpt,-0.0445
0.3595,0.4305,pknqgjhxds,0.487,qitepwioap,ynfpylbwjj
-492,ivavkwdvhr,-174,279,-0.425,-823
-186,hueagnwbow,41,-0.438,yztunmheyu,-0.311
0.2,cAt,-995,hrljplpuhx,856,0.3515
0.4355,0.4865,aoluyokzfg,fdoxfrbjrd,-205,0.351
788,dbmmgwiduz,hqrwryppfq,0.1835,ikxwkmaasm,Dog
CAt,0.335,qndwtvelbm,-357,-0.4635,865
-0.186,-327,-0.125,0.2975,wefurujjxx,uqzhirklcy
134,feqmmzpafl,wsxbxzjcpb,lxukxwywnx,-0.198,-98
0.324,CAt,quyzescgmg,176,bvnqotyorv,ttovxpenfz
-549,-0.265,CAT,545,-0.3225,ryfegdfdvb
evsadsnlpj,0.2805,-370,275,-692,yfbpjgeevk
fzaeebzbfp,bagucwpzbf,-37,erhzjuxwbn,rwrgiozdgv,-575
CAt,948,CAT,dog,-0.4555,koahhbehnn
-345,-392,maqexyzacw,0.1435,-947,-0.3685
-804,fsfocenqka,64,632,703,888
0.3795,ehaiygsubo,CAt,usmvvpusbt,nzfdqgtcsz,Cat
