jwcmxesgod,Pet,dlvrroxtan
offrewofpo,dOG,0.3175
dog,DOg,jizueavmwx
cAT,doG,-725
-29,rcclednpii,gonwzhqlws
dog,spzaebzyti,cat
-347,doG,nzgdofvxpq
CAt,doG,-0.235
buueqzoaeo,dOG,54
-0.006,DOG,0.292
guqovgonnx,DoG,Dog
0.412,DOg,-0.4105
funweqkgno,DOG,-0.371
0.345,dog,-0.2595
lrvljdvhkb,amizegtnvj,0.139
CAt,dOg,tkcuzpaeht
ylbzwomtlt,dOG,0.1565
244,cAT,xviqnabert
-0.433,zydrgtppsf,jwdivyzcor
dOg,Dog,-942
atqifxtpys,cAT,538
dxkpzozxoj,CAt,quousasgjs
cAT,DoG,dOg
0.4435,caT,dOG
tnpmtulmst,DOG,-0.156
-0.3895,DOG,doG
dookvbgpri,CAt,37
gigqlaxijb,-730,519
0.4525,caT,doG
-0.3905,cAt,359
azvlkuoyzd,Dog,0.129
0.0015,cAt,-403
165,Dog,bevnnqsgdu
wnonqeqlvy,doG,caT
254,Cat,391
DOG,doG,-0.136
dog,dog,-822
-885,cat,oopvaeahtb
-659,0.394,etnavgnnsq
-980,dOg,0.483
932,dOG,706
cAT,dOG,Dog
-606,DoG,38
jigmuvklgf,imjoujalkz,mqcynlcxmt
-0.311,doG,-0.286
vrzopkgfjc,cAT,0.3585
pzzsgeupmi,0.118,xccmlggwhf
CaT,cat,Dog
0.1555,0.207,Dog
470,Cat,-0.249
532,cAT,764
-0.0275,umnsxkpwrs,enqqgtzlrr
