mhdeqpdqru,vrvpkzxpoj,ydcuaggdwy,qoeudjuske,ahtaklcpze,zpzosrgnru,brnjlthrhq
-0.385,-236,-114,-0.0305,yxybnffuzb,hqozqxxzba,687
caT,jxpknqkrrx,vbadlihzmo,399,vpoixojcmt,656,-0.1725
0.2945,0.26,sgmaajznbf,xujatuulws,827,-631,gcctakttye
0.268,dog,-367,-0.084,Cat,cAt,-0.159
cat,jujbvoknbc,dOg,tlnyelqybs,DOG,971,-0.0225
oxzuqvyrrf,cufaibhkos,-0.087,-0.189,-336,-402,-0.4895
0.0,-806,-0.2285,0.005,gkwcnlzctz,ssokbstywq,0.0405
vilivrhmzg,-0.3515,0.0215,qkfglsacxo,-0.306,971,-501
0.396,xikgopsqtx,229,mhxxlkuvja,-244,kizxmyxdzh,214
hopydirlfl,-0.0955,ffflbzvzag,-514,aztfeqozqj,-0.3825,-75
gilltcgwpk,gcuaesgktw,-801,jqbvkobxkq,Cat,0.459,yfogptzgwl
-0.2175,-0.294,jumsmnxnla,nyyvziwexk,ptprscdrom,0.1785,-0.175
-152,-728,864,-67,ongivqazhu,jedpajzqar,dog
apmpsxzxjz,ozmomwpgbu,0.152,683,ozeeydrszw,zkqiylxocr,fdgthnqlfv
athlscgjaq,-978,-807,-170,jfezwrqwgn,wfttrqgxos,-0.1585
eacsvzcnzv,CAT,-0.2455,-840,696,-0.088,-510
cat,dog,0.029,jtksinekjv,iuzschrqkq,dvdiglheko,13
-404,vxugttmoht,199,cmabzqxeik,-316,-0.4025,0.3995
865,0.005,-0.0615,xmogjmoxqo,-249,141,-0.276
reskhvtmue,0.0675,-129,0.4955,-0.242,ysidpkhvvt,-471
-0.0505,204,0.095,vwmuyzcaap,zjvzplkdye,0.3585,zclolfoisz
dsnziaepte,CAt,-0.3105,357,-26,bepqlsiegp,cAt
-0.255,-0.393,-0.018,snqukaufgf,-0.254,-0.054,118
-347,-130,qkntstijzn,-0.43,ciexfuukzv,DOg,0.2425
0.4315,-617,877,-450,jmbgpjycza,0.176,Cat
tvpomykkeh,Cat,hlkgogotas,-0.4995,dOg,CaT,DoG
Dog,0.1425,zvsnnsgrke,887,119,-316,-173
359,cAT,-0.036,0.0665,-0.388,0.3935,DOg
-589,iyafxjryvt,-708,-10,cAT,0.0225,-0.4075
0.207,0.169,6,dOG,0.469,CAT,tlcbdszurt
-0.0925,dOg,-0.375,0.241,-51,-0.2915,queursftgq
-0.0515,CAT,qtgxnvnbje,cAT,-0.4895,382,0.3825
Dog,-0.347,-0.122,oehwkwzoem,caT,DoG,0.0515
0.3075,uuemvrhvpz,Dog,-0.286,cat,hnizqpfadb,caT
0.3765,107,-0.1105,-0.1695,suamsbjcos,-0.0815,0.337
-552,-40,-0.4225,dOg,DOG,jcyxcyrcys,0.3845
579,647,lohprezvre,-0.1695,888,-0.02,cAT
0.467,dldujuvkgc,378,zglosxmupd,-0.0835,0.487,jxwayzreoz
-843,-0.476,olhhutudxr,oqbwtykkgl,-0.349,0.2865,wfomgvpsap
-0.2,Cat,-276,-578,0.399,0.3725,0.162
-381,jlhywbeqps,jxzohfbioy,885,-680,DOG,-224
-191,wmvmoywonf,-396,-895,0.394,caT,-243
-0.092,-0.068,qdtrfwwprd,-115,uqbsttzwmp,Dog,-0.4005
doG,78,xxfeedsleb,0.3675,0.1325,0.4125,cat
eiybtmpnma,0.13,682,867,-0.4895,ixbzxcdooz,-0.3135
0.063,462,dog,awzpoelesy,796,-0.407,-625
0.1005,-419,-918,0.403,0.036,immmceevzu,-0.196
giqyibjdvp,-103,cat,0.2995,-0.1435,956,brzzolahea
