xgwmbfjeld,ijborlgcvy,PEt,fwwzdkmerd,xuijxdktwx
-0.1405,-316,qbyorqvjps,dOG,DOG
iupvaxotpr,-672,CAt,xevsqbodfq,tqmqwuahhz
DOG,-840,dog,uskphqtgcm,0.48
-577,-0.119,-561,835,rihrdncwau
44,dqkadjrzjz,rlqzpyngqo,443,-0.4585
632,-931,962,lwgsyvgkcs,dOg
-0.161,iedwwgmzpe,35,-173,awunnndaza
wqkayouwvc,0.2085,CAt,409,ehqjkczywx
-0.185,cAT,Cat,417,-0.176
Cat,-0.113,qhiljslzkr,Cat,-230
353,-948,DOG,-0.4215,0.196
cAt,aigvhhjvds,cAt,DoG,DoG
653,DOG,CAt,cAT,0.318
wnyiqtxqvn,0.0505,DoG,eylnpiabjm,zhbevevtgi
CAT,-0.321,0.4775,cat,oxnretkjds
793,fminorolfw,dwpdvtjhjv,0.294,355
-388,CAT,cAT,642,gbpmhkhaqb
mldixharmr,-0.22,cAt,0.301,nnarhfvwto
DoG,837,DOG,CAT,DOG
Cat,-0.2725,CAt,uuendemxmr,-0.391
oxqcalusyg,blinqzlfyj,cAT,tisfrrdcam,mslkltcvrf
-999,-578,DOg,lpqyhdcvzc,whhpnyttmc
714,gspemynkgn,cat,0.235,0.4635
CAT,yuxpqjncry,cAt,-0.114,0.3365
wasoqpfoef,-0.0505,zzgryrxbgn,201,puquhypumv
czgxxwhaee,-0.2415,cat,-0.16,952
755,doG,ovaadnkyek,0.2375,gzxulyyrgh
244,byrbktloiy,CAT,-0.3675,zzgnfibnkg
fltjsschxj,fznbmizgyn,Dog,krosgoyeww,doG
-726,0.056,CAt,0.348,-0.4205
Cat,rveptrcwok,Dog,gywocyzhbw,-296
678,358,caT,doG,tsowbttrho
0.3115,219,cat,410,ebravzogos
DoG,DOg,CAt,0.132,phlecywrxb
0.2765,dgxxcxrtdv,caT,-460,0.235
oyeocpomws,-218,CaT,-91,cat
415,dvrsxbrljc,DoG,0.313,249
jwnpmyalad,0.0265,CAT,718,Cat
-779,cat,DOg,caT,fpyvvxipmn
Dog,cAT,Dog,0.142,-112
qhgjmfjzpf,druafxpazr,doG,Cat,-0.1525
0.4405,0.2045,caT,902,rvdrsryvrt
0.316,cat,caT,670,-193
CaT,346,CaT,0.1925,bxefkdfrsc
knqtnwuxuq,-0.3385,DOG,nmwzfjxnrb,qfqdckotpa
ewwzxjnkbs,yndypbvtmg,CAT,cAT,224
jcroaypbfb,bbwzchowcf,110,qzlxuyohvc,121
-0.408,bvkqbwxjyw,DOG,0.1525,558
0.2585,-945,doG,0.171,0.3015
700,doG,CAT,435,-0.051
-326,xbrbbgwhgv,dOg,0.213,-526
dog,xpblmvmlua,Dog,0.3675,ltqftjnqau
777,dOG,cAt,0.173,cat
dog,wtiudrofef,dOG,818,fsymhuorpq
-913,44,cAT,-353,Cat
cat,-0.3195,dog,-267,-401
0.2785,cmewrkkyfm,0.0505,0.228,185
mkcuttuzjt,518,doG,0.1355,cAT
-474,dOg,dog,-0.1585,bswegqjshw
11,fuixxtxhmi,cAt,ekxpvxesif,496
mebrfnodio,0.4745,cAT,vnlkokrppa,nbhjfandtv
dOG,-378,cAt,-0.2925,Cat
-653,0.403,dOG,ktxdqetcut,154
nkilowdtwh,-0.275,qrdjzgbtqm,jcpddliqgu,-0.446
838,159,0.113,-720,-200
-393,-0.462,dOG,DOg,0.167
0.275,CaT,ypndwoajii,-0.2375,Cat
xfkxldyvur,mytewcdngt,CAt,-626,-0.488
-930,-0.042,-829,-0.4575,caT
fssuyeaism,0.059,CaT,873,-477
-0.119,dOg,DOg,-0.069,CaT
97,-358,34,jvhufswjjl,cat
rbhpywbauj,-929,DOg,dog,fgzajiozdv
-359,Dog,Dog,CaT,0.246
cat,ivyetqbxdo,CaT,-26,byxpxxhlio
251,0.443,cAt,mhecpolldi,-0.241
knpfuhrzph,caT,cAT,-806,0.4895
CAt,875,0.0755,-0.185,DoG
-801,DOg,DoG,Dog,caT
npfrizcqxg,sjoyowagsx,dog,CAT,wnybuqhqvy
cat,-0.2975,CaT,DOg,-0.155
-0.252,0.3235,CAt,vpsxgymffg,0.421
586,yohdlmhzgf,iqdmotksoh,-76,Cat
