kfdqtoskaa,pET,ztmpcuiwiq,hekpxpsaqg,hfkaollvcw,tgvawtaope
-58,cat,cat,623,cat,-772
0.4725,psmonkaelv,wzmvifkiuz,332,DOg,DoG
-601,ynhorzulzi,dOG,0.448,0.2185,mgvgfugcsb
549,caT,-102,mcvtgieeqt,eyvgezupbo,ouwsigkaue
-964,doG,caT,0.3225,DOg,soybvkakek
ugluqdjwre,dog,vrvppplval,0.167,rvkyotbsok,-0.227
-0.089,35,-681,697,igjzwbvfkt,-0.252
326,dog,ruejbizzta,278,-426,-902
-879,dOG,ptnwdahwxs,qigmaphryg,Dog,-0.435
zxcmxrzgsv,Cat,-579,uigfzyaygy,-60,-314
0.1475,718,tcpsrzlnfh,whogyqpmcq,341,785
805,piuajfugwk,574,-0.2175,Dog,alocahobjt
ahzifykjra,DOG,-507,DOg,-0.256,wdxqojwufn
931,CaT,0.33,0.3855,dOG,DoG
-0.1665,Cat,ggfywpcnzq,-949,qssecpnpmj,201
87,cat,-0.3805,-0.2985,-0.2265,-165
138,dOg,598,CAT,326,nvatjwfybu
-0.3235,waayomyast,128,CaT,nxlwhlrisd,ynjhkoxslh
0.258,-73,-0.2585,-0.4665,qjcmmartfa,-912
0.254,dOG,-680,0.1055,ioszurglnk,-0.2805
oqcchhbmkw,cAT,cAT,314,kgkjpaqcpr,CAT
-0.0945,dOg,-812,dxujsychia,dOG,706
jjdzjjgbgy,dOg,ensyozlavz,0.0855,dOG,nhutctqopj
14,0.067,uwvzmhdwwb,giaxavdmpe,dnzaebtvxl,rudrioooim
295,abbeqxenjj,lgujmzaece,oexttvadtq,jewcbgyeth,-648
-282,dOG,0.302,-0.4065,-840,-0.2645
-0.431,0.174,0.488,80,556,-0.1365
wugcchqdan,caT,DOG,CAt,-795,gymgqejtgp
CAT,Dog,524,llrhssyewf,wsbioefhem,Cat
0.4815,CAT,-0.274,0.3205,0.372,mvkiyzqhbz
0.2325,dOG,-457,911,446,0.002
0.292,-439,0.384,-0.211,989,CAT
-345,cAt,ldyzusmfmk,127,ljiwqwjfxm,-0.318
-0.2135,cAt,-0.4705,Cat,jmhdwxjuyz,0.269
DOG,CAt,0.4015,-0.357,ekhmzsocdd,587
-0.48,Dog,dOG,oeiciknhdv,-0.453,dOg
nxhduoafpg,esbjkyyoen,tczmmkjwce,qfexpnxsji,raiwyxhpqf,-0.3485
611,DOg,151,0.4055,673,cAT
cyuzkkikkj,CAT,jirluurwwu,-60,915,-285
CAt,cAt,ekebiipmid,dsmazxfzay,709,75
-147,CAT,dOG,-0.494,-593,hqtexwmapm
caT,CAT,exyachzuso,-0.005,crjgesxmdo,CAT
hogsplyhre,DOG,-0.409,-885,-802,wmbkplemhf
-275,caT,-0.1425,-489,zucezmdykz,976
caT,DOG,-0.4395,Cat,0.2575,dOg
kvsbdovpkb,doG,310,-0.313,CaT,snssogfgmw
doG,DOG,0.308,umicnfmzev,Cat,ykaqbwcksa
zgjpywixyh,dOg,zcavwlgegv,kkoacsthxy,-67,0.369
-0.406,770,vxjxetifhm,-665,0.423,liszccfqwe
0.218,DoG,-0.056,sdcvcelxhf,CAT,976
647,cAT,-420,0.4095,cAt,-0.402
-0.1155,-849,guvjinaaeu,-765,-794,kjrquwrmau
-0.0825,DOg,-649,caT,cat,jzpodejnww
fjbhnsgwps,dog,adisxgssya,-0.3755,-12,-287
38,0.01,747,ttjrmiyvis,-0.1885,tekbakbxgm
Dog,CaT,dzyumpcngc,-10,201,-0.25
-529,-0.463,257,541,-479,982
wgnwapwpxv,mikcltcfsc,23,-0.369,0.457,dog
0.0455,cat,625,513,Dog,0.331
345,173,0.182,aihikvfpgt,Dog,-560
Cat,gaodubhckb,-820,-0.0055,pqdpbwyldp,haapjkvmmq
-0.4305,CAT,0.084,152,DOG,0.311
-0.243,Cat,0.0975,-0.121,-458,rehywschzk
