pfcmdrmvcc,dmzgnpqimb,kbnrnxczrl,jqxluhxiod,kcohqqhnko,xfdvrixxoc
0.4935,-0.307,0.279,-0.241,0.2895,0.0775
0.37,-55,qlfewpjrus,-804,rgymlrtplt,ryajkpomag
rxqvgfseid,-0.34,jhfesltfxl,hnjqqvymww,-643,rtwwaplgyd
-449,-894,-0.2575,CAt,nzkznxrhzh,mdybxxpbak
-0.366,ngrgtmstmd,-449,ubfszpnujo,0.017,0.3755
pujwahojae,fjeecoyrrc,yeznglktlf,fhlfynonuc,0.236,Cat
zvgkifbelz,mknrdksbkn,ipftflafjd,-0.0635,-545,758
-510,-51,-263,-0.021,470,ioseeakwmo
0.115,yqsozvglyf,-125,0.0865,bieumttvwh,DoG
CAt,dOG,0.4575,ymzvwtgtdg,DOG,199
dOg,faxdbvtcpi,-0.45,xmvfhnkphu,ltvmtrpxym,748
dskvoffyrz,CAT,znrzhufzux,623,tpuepuxqei,0.449
-0.307,-479,wougvyssqn,44,0.151,0.173
-0.3195,329,-0.094,0.1735,dgssudkamd,0.4705
466,-0.296,0.2435,315,620,wtsfshgpqw
jngniuizbv,fzoihmsjyr,jwvacvwmuj,0.0205,254,-605
0.132,doG,tjayphwzuu,-0.221,tseujkugdq,caT
dOg,dog,741,cat,nrjaerwoet,ikmfcdduxs
