javoddheqy,btuwefpabe,kclvegqsjm,wbqenqizrv,gqajvzdapf,ujtqkahgmo
-907,xbokprqloi,-0.091,CAt,yzirkkfpyc,0.391
-482,ddqjcprbjk,aanwzfezbg,dOG,pvokzwvxuh,658
iryvwhxkyr,-711,yrthgqmldb,0.1165,-687,-249
caT,lqqtccnjpk,-0.464,Cat,wtwwvfxzgm,lidskjgdkz
-0.4675,0.4505,-0.0475,xgpwdaryxe,-760,0.0505
fwttrahdbk,lwxmrdgwdk,-0.393,tdynakqtrj,-62,ospbaoykts
-188,-726,-0.4265,-536,lpfdzyesma,599
-958,bhkgknuaog,xfoocowgty,-0.184,413,-0.0365
mryimxhvol,-0.0295,gbaipijcvv,DoG,-564,yxmsvvpqvq
-126,rzrxlnbslt,-192,gbevjndjql,92,ifselvjzkn
860,-0.199,nigwijxcwm,CAT,0.2415,-592
-450,981,Cat,0.4305,-867,gnvbkuckhg
-438,ajnwnelumk,-0.0795,ivdedicasa,moxdmatint,oqdnjpjftx
0.3825,nvnvnsjsdw,0.208,-58,-0.2155,DOg
hykxmhhllu,-652,cat,DOg,-956,DoG
-977,-0.051,gyasatlnvh,183,qlgzeoleqm,cAT
trivedfqun,-0.085,231,0.1125,564,lsbjxpgrnw
0.3255,-0.258,swbffeunbl,algvkupssr,ulcaiwoolh,-361
mpsvhxbizt,jevhbhtmse,kjhnuereeh,xjawfepsve,cat,DOg
wocunycmxr,-0.274,-16,0.3695,cat,-876
rjncqajvky,950,hlsstnowjh,-351,-760,DOG
ijnstwgkth,543,yutvqycdsh,DOG,CAt,-0.211
353,-115,-341,wjsnrxlxvz,0.1675,0.421
sbwovfyhxz,-0.278,kiftytpesv,-0.083,wlecntgdoo,-620
-16,-968,558,cAt,mcjerfcgkr,0.1165
-0.122,caT,-0.472,oriyniyrun,279,zqysjlomdx
tmyanzpvrp,0.2385,qzavwqjfku,-355,CaT,ipmyshaxjv
ailtwxerdf,CAT,mibshwzaxh,39,-0.0435,-413
gonndszcwz,-0.3235,dOg,-0.446,hejtepfcpf,659
lviapizegp,rmdrgwjnhb,0.1485,-0.2145,412,tfhvpkrtzn
0.4055,-396,-0.436,469,awiiuwqvls,820
0.167,-271,fnwoaelgyg,-156,-0.375,-891
-254,0.143,938,CaT,-666,0.001
0.036,-0.057,ygdwfehnbe,-303,-0.358,-0.427
0.3715,-0.18,681,ekznxcrebt,-0.128,0.275
uuddcsqggd,fulvkbqlxb,cAT,hkiuxugfsz,Cat,CAt
hbwefnuovw,-0.332,qmoyyislce,0.1605,ksrqlwljuc,wsjifkqqjh
-537,-0.0765,216,yzfdklnhyj,vgqijtfmwc,hllurehpxz
pivmirnjua,zqhvotzjyb,-128,0.01,-0.167,djsbhsiask
uemillyooe,CAT,CaT,zccymehkeu,zosshdttmt,-0.3105
312,-913,-477,0.313,caT,cat
liygwvgxag,-220,sfcljkgluy,kelocyqyol,-0.037,CaT
376,CAT,0.065,eysrtkrazu,wigyxsfgwy,-697
-0.275,isnariwfbb,cat,904,-843,509
tfbqhqtflu,0.2575,488,CaT,433,-0.377
0.2595,744,-934,dOG,zisucubonf,zbbnimzzur
-117,-374,487,-0.4295,dnhfzsticw,-825
DOg,-0.0165,-0.1995,-0.4695,-0.312,pvhudulllh
0.0485,tqbqmlbzmy,214,tkbxgclbvm,knimfzemnp,mcilbhyecv
120,adzazpbvvy,-0.1495,jyowqctwno,zpxafvwgwm,0.293
-0.2515,0.338,xjemnfxwvd,eaccghebnn,-0.368,100
-656,892,-0.1445,ltojwfeonm,mrrtvvlbbe,705
Dog,-843,316,484,280,plioejsbha
-0.3365,0.0025,vdsoaonted,-986,-729,0.295
qwgrwijmwb,kuzzydbgqs,735,caT,-776,-552
qcmxmwccek,-0.294,rrpohzkdhq,zqfwfaosjf,wojcjnzwkh,luucgggstv
usitdfhclp,dog,-0.2815,uzeuxqzrhs,acpbivzedm,ltyacryzdo
62,13,-0.0895,geuwxrihwm,yqsqgddoky,dog
-538,dOG,-0.439,jvhxdddqet,Dog,dOg
-676,CaT,133,sqyzoogkve,-0.4635,DOG
cAT,530,rryaxfaive,xcqhslaldo,-359,526
0.402,nokcnibtky,lijhgcqggu,fzsmhjyape,-0.2,aaijlrrmvq
-0.2085,200,qizthghkcv,qyyzjbkewr,gdujgvihbz,-971
0.2585,CAt,0.2965,snlehmsdnf,umftwbhlxf,0.125
caT,hblvwieekv,czaooewbpo,wmgkgrlbpa,dog,316
-0.4785,-0.127,jmrmdectpj,CAt,-991,cAt
ckhphovnnr,-0.1295,-0.1025,0.3095,0.1775,dOG
beodrozqvq,xeqyomzvbv,revwvkbowk,Cat,Cat,kibvxpsrkb
