PET,mnnwgepkux,sqeytncfgd
cAt,nkijyllrco,-461
caT,-563,-230
cat,-727,DOg
CAT,841,-823
dzdyujnyjc,314,kjwcrjffro
zhhepnmxxj,-0.4595,0.4085
dOg,0.08,-216
0.1515,doG,uetirmegkf
Dog,DOg,nesxxhvkzl
-624,cat,176
cAT,jigobbrghm,yofqelyuky
Dog,mubrgoujym,-446
dOg,gxpjqprdxj,0.228
cat,0.0915,0.372
dOG,-822,dOG
0.4105,27,0.104
dOg,mwxwjbtduc,-524
dOg,Dog,-0.1965
DoG,-508,DOg
DoG,-0.401,cAT
-907,Dog,908
895,-682,DOg
CaT,zdxyeeppdt,CaT
-0.393,dqkvfnbysn,-108
cAT,htykilandc,dog
-681,sfmasqikri,CAT
dOg,0.399,0.354
cAt,-0.451,CAt
0.2265,-686,192
cAt,ioigvdnanb,839
-0.0255,-757,-0.476
0.124,0.4165,qlveesqcci
cAT,qhqdwwpehn,0.2815
CAT,CaT,-0.11
619,Cat,-521
cAT,0.4785,zdyvkmdvnw
dOg,0.484,0.2855
cAt,dOG,DoG
CaT,uonidiyega,vjlmtqhzqn
doG,482,-103
cat,cAt,dOg
jdcyxsiizb,fbfakmyaiq,CAT
DOG,CAt,tfcejhsguc
dOg,-0.417,469
cAT,mdjaupzwbb,yqbpwfhdvt
CAt,DoG,0.075
-0.3735,188,-35
doG,gdxncnzksy,0.023
luegwhgaul,-649,-0.32
DoG,cat,0.073
CAt,dOg,-0.1365
cAT,dOg,0.2405
dOg,812,polnzjkqfq
DOg,-402,Cat
CAT,185,CAT
-0.4515,DOG,-397
DOg,grouovgydk,doG
CaT,-705,140
lbhrmpmvdr,DOg,-14
102,oyotkagtgc,-282
CAT,-0.216,-0.297
cAT,dvppitlsci,0.159
uryfcwefnc,-307,-0.08
cAT,-205,xfvxuqchxi
DOG,144,nmuwvgiojn
Dog,Dog,-589
Cat,158,-0.0915
Dog,CaT,ppvpqphzyx
CaT,-90,CAT
dog,530,0.4075
DOg,-0.093,xrusvrjunx
DOg,CAT,-235
Dog,fgwrvyzwlu,-736
caT,708,0.1345
-0.31,-0.2515,njddubroot
Cat,jxhruagowb,0.066
vuzeagpnnq,qlizfmrvbw,doG
CAT,-0.3995,0.19
DOg,439,-0.2605
CAt,vpaprpzhjm,633
dOg,-0.132,0.1685
dog,-0.0295,ymomhjmidn
doG,-0.1775,-0.361
cldyzrsovd,utxiwseniu,0.3155
DOg,0.401,224
-852,ytkvfturfc,-0.3635
doG,mieparpxdy,eulckspeeg
dOg,fqnixpvwsr,0.1405
DoG,tiogsxvhtx,-0.086
CaT,0.3155,cAt
CAt,pafalktfut,70
doG,kjqokywijt,-0.389
cAT,kwqjjhesli,epvriighbe
