aovhoncwcz,sihynftvod,svjumrjyjc
-456,oiygmvwost,-0.0555
-0.383,-0.2475,daqtpzqlqg
-0.307,-472,mviphekzjp
-0.1945,ndbjwbhuvn,-0.1265
0.373,546,-0.2555
398,0.3285,355
0.2245,nzmqgfvyoq,0.316
jtccpyklrx,-0.263,doG
scvlhvsesf,0.4235,-716
hrxpjcevnn,moqffxnnrj,-259
CaT,nuhnncrtgu,0.209
iurvitvaew,Cat,435
22,qwiobywomq,897
0.4615,-993,bcbrcrourp
abkngmaotu,277,751
499,epbyzkezms,nblfirobjs
kltmiobslf,827,485
-0.379,0.444,ifihhzfutp
ateypjyrtb,vudszgetjg,-0.4015
-506,cat,doG
-0.1925,606,cAt
808,fxuamhsbwu,fogwfqqisr
-248,544,-0.3735
-236,-163,cAt
-495,-268,ninuwnuhao
DOg,344,0.3955
uriobfztts,0.2535,714
619,753,Dog
-0.0855,0.382,0.046
kibsxhjlhk,-569,DOg
200,-934,nzrscksucv
CAT,nizjyoespg,-523
gsbuzetlwq,-0.475,552
143,-0.1915,-271
dOG,0.3575,jyyxoowavd
628,ngjvrfssia,0.201
xzfxomrfnb,954,sjepyjfcou
-0.121,-486,0.4915
ellkpieuxd,cAT,964
-0.4025,lwbemtxaig,doG
-961,-0.2935,0.275
-0.1635,-338,894
jgbftdbxwi,doG,246
Dog,-566,-0.4675
962,-472,dOg
699,803,0.312
fexdedtuov,263,0.347
DOG,0.3945,-0.2025
415,-0.4645,CAt
pwqsstdbnq,DOg,-184
-706,-694,CAt
51,xskrisaaqp,478
-196,0.126,532
qycgfsjfdr,-0.1225,Cat
0.4845,85,Dog
-0.4165,-0.1595,799
0.264,oxjnsmsawz,951
dog,vaqqejpbyr,Dog
afiosjcidm,924,425
aqowwvgsqk,DOg,CaT
-800,CAt,-0.4715
oozoaetjrr,-842,0.224
57,78,rvuhzglhob
DoG,-100,0.3635
doG,941,-766
Dog,dOg,-218
zxtcwhckmp,jlbjfdobqq,93
-0.2345,wchqbgmaor,146
558,atxurhqihn,-289
-699,zeyzwtzrle,302
umzvmcvuch,0.397,-0.2415
