hxktgngjhb,yselntgqiy,hzfbcnzycv,nzezbgqffk,kljpdwgfum,nbznmdunci,mvalejraxe
-0.0805,0.2085,350,802,-0.1215,yzeblgrmss,qkapofrzud
Cat,qdydgwimgo,-0.0805,0.248,yevufbmztd,CAt,0.245
dOg,CAt,850,jwsqfqmgyp,-0.4015,-573,CaT
ujmqlbkewg,605,-343,-0.473,-0.0745,-521,qiayztyjdd
miyvzrpqii,-366,ryexkbsaln,-50,CAT,-857,-94
CAT,-986,772,-0.4645,651,-0.254,-904
0.178,vqqnbusfmj,-0.177,ljjarsyhgc,inkimxjnjs,doG,-167
677,622,dOG,DOG,-120,472,190
-0.099,0.0885,0.0245,zzrmvoqhha,0.2805,CaT,zbhiquibaq
idhajlllow,CaT,0.3185,gtavpbqcin,0.343,0.1115,wtbdmwdjwp
0.1035,dhcudwnejf,utmamdihbz,0.1945,0.091,0.089,-452
vachgpxqyk,-0.28,cat,791,zoaeazwqvo,-238,usvylgbegz
qtjpjjwixz,mkldilhsgs,0.363,-283,DOg,tuiugekdbe,-0.044
0.3305,kkidaizrkp,-0.12,-0.326,0.1355,328,tjrreigtza
-455,507,vcwhrnmnqj,ktonjacvvw,cAT,0.077,ztygsqvnct
iepfnlmdfj,656,exwvkfhxsk,-0.3915,-775,0.359,nfftiszkib
885,-309,498,CAt,bjidkalpkm,-0.0815,0.4215
511,dOG,dOG,181,kxijpqitpe,0.2555,0.3865
xmjfvewguo,yecnqhzaok,-0.247,651,964,xugbhjzxhr,aalqvbcrgh
0.376,743,-362,-0.247,0.3875,imxkmcirgd,553
