lsvqmiqqgw,ldknjmgami,qxhagawafa
-608,0.4065,429
-0.382,Dog,luvzgtmuxz
hozburtlsu,0.405,0.0885
-590,-0.173,0.1635
-584,560,940
-785,-564,-575
-0.0965,-0.346,-57
-0.1645,-112,aqfkeqefdg
dOG,-497,pwggscvnfp
0.459,39,tccdofysad
0.0275,cat,doznmozlll
-398,cat,csrqrqjdze
drbqiingyl,-0.1685,uusvifxzfn
-153,0.3305,803
-521,Dog,ixbljhwjoc
0.1095,remhkjgsem,oepinepyza
0.386,419,-0.2945
dOG,105,0.0575
kgdsncjldv,CAt,494
DOG,Dog,-0.1075
784,0.128,krtofafkmt
-912,xavjrpljpv,-294
-0.384,-0.3335,-274
umpwgsricw,-0.4865,fuyyyhukti
-0.0685,-510,-0.0415
DOG,-519,jjbvuqnglu
dog,0.2685,CAt
