tduatesuud,lkezwdeykj,tegvcoyihi,qqiezpmrdl,sxzgeqletk,xbghbeegkm
dOg,caT,-0.339,0.3425,pwhumlpwkd,408
149,CaT,0.095,0.0775,-369,CaT
-955,dOg,391,rtpyklmncx,0.0135,ptlxuxopat
-0.21,782,-0.0735,-0.333,-0.2605,490
caT,dog,dOG,-0.1975,zcsmdcaifs,-0.323
cAT,507,bhphfthtcq,rxtbwtrglw,traztcbfeq,0.0775
mkneeqxfai,oyvytxjllj,-0.1145,591,-0.4185,945
0.273,nsbsjcltgu,qebfijiuep,dxaxguxgpp,-407,-126
CaT,DOg,0.4555,CAt,rsmtllerpw,283
-243,304,-0.4635,0.1805,681,dog
-0.3245,231,fimlvsafqh,-0.455,-0.044,778
-0.447,DOG,upuzssowgt,-734,meutehhdhh,491
gmitekchxn,-469,0.347,986,gzsuiunobx,0.0075
-0.0355,0.28,CAT,-479,DOG,zpjotgxrvy
mpnxvrlrhc,-131,-0.2665,Dog,-639,csvveitiyt
-640,385,DOg,-0.1065,803,0.0835
rbvrsuzcgy,caT,aucvlzupzp,gcrfrvnlde,-0.0825,-950
0.3045,eskckzyumh,-667,10,0.1415,0.4135
uimhggahdh,438,0.07,0.392,CAT,0.2155
-0.0755,0.295,514,-190,0.0105,396
241,-0.4475,fohrvqgrjk,CaT,CAT,0.1065
-0.25,-6,kgfvlsyvqn,fgxfsftgpi,DOG,CAt
0.465,183,zxwnzuptcj,-486,-793,dog
-0.4445,-972,dog,517,-0.386,feypezemih
dOG,560,-444,-0.4605,0.022,-0.2915
-20,irrlxfkucr,ecowxdkttz,559,-0.12,pdpdiooqef
0.037,nlajgqurpw,0.0205,892,299,-214
cdosvbzdaw,ffdmpnkfir,-742,-422,snmqtggduv,CAT
cAT,0.1425,lniqdfpweq,-0.4885,lzudiyxusn,-0.265
DoG,-358,-0.1635,799,-0.226,cat
-0.156,-418,-0.144,-0.2205,doG,yxjdnblgpw
-61,aeovqtbsry,hvemjvrrfv,cat,rtwwnlecmo,ofxkfgafls
-824,-578,yjxlrexoda,-597,jqclqqqemf,-703
Dog,CAT,ybuphqjncj,baalcfhjpq,Dog,CAt
dOg,37,cAt,fchfilbisx,cAt,dog
-0.1945,-0.3185,kptfkoahoa,-894,Cat,uybpxqysbk
0.4245,-0.343,691,chyhsuawes,-251,0.4605
mfcibzcyoy,-170,CAt,-674,0.1835,-662
819,mkvvoziaaz,-76,201,DOg,dOg
qohjscmjyc,0.0225,veforirlhf,-0.11,-633,-0.4655
507,-0.336,DOG,cAT,-0.011,-470
-0.4835,DoG,DOG,Cat,-479,kehrcwvdfb
