gsmvwbmkcg,evjkvmhgcf,rcaqdmquvh
orawicpvvv,CAt,DOG
dhyyhaapif,CAT,DOG
izjugsaxbq,0.4805,mmwixnoraa
dog,mnizrmsgro,68
26,dOg,-19
kpwitcsorh,krxqvanwvh,cmohiiwput
caT,73,hoikfkiwst
-0.1545,viepbnzyma,-0.246
-0.017,-0.459,xanispwniz
kcbbnfaqic,-0.238,-73
0.2605,leztwxjhpl,DOg
gqojiuusxg,dwjtcswydd,-0.2985
677,0.1225,-920
rilirmsuzi,-665,cat
cAT,kqnqetpbsp,-0.3655
dsslcvifvx,kcvlcgsagp,dOG
230,hwgystxrrq,hgtdhdepgx
roorcgqpkx,CAt,CaT
-0.17,puiznyxeca,dOg
-587,owpdvgtbso,-681
aetvdodtpy,496,smwcffbyog
-832,0.4875,-329
njgnufjjpq,-345,0.1695
-0.4155,0.2045,-190
dxckrwlcmc,0.165,694
CAt,jredgklsss,-375
-515,gampqhehua,dog
-0.057,0.0485,yichdnsgrz
-0.241,902,DOG
0.317,vtidxyozjz,-0.306
-521,0.0465,-332
cAT,0.496,dOg
