ldkyaglblp,talzlzmiea,woamwpbbxi,uaquwckuul
-0.1925,dOg,-0.253,0.314
cAT,0.1695,CaT,847
-705,-0.2995,DOg,0.4325
800,-220,pxhjupnauy,-125
0.094,DOg,qatmyannxk,-429
-0.4475,-570,823,gznlpmjpbd
286,uyshijxtiu,-567,0.2305
0.409,DoG,Dog,0.3785
723,0.08,0.396,-0.4395
drgrobnmnt,0.4365,doG,pxxcmboprw
0.0675,475,-768,0.3915
CAt,-45,0.4405,-76
Cat,CAt,-0.126,-0.1365
DOg,pfnlzhcsnd,amobguakfk,-609
0.1315,wfkislfkfx,894,-373
-0.3085,-0.253,CAT,913
DoG,-0.2785,cAT,698
0.2835,djlhfbsakf,0.3585,ubogadxcwk
-898,vyaryrkrqe,0.3195,dOg
doG,465,-0.2725,-159
898,Cat,0.2635,-276
-284,-33,890,0.4535
dOg,0.466,340,gccghqvawy
nnswcvhzcz,699,abpipznxwl,uaneuouesj
380,-0.0775,822,56
-0.1375,0.126,dmtuorrwnu,-0.351
kgushgxbgl,CaT,923,gugsaumwhp
-397,DOG,nbkjuhrfpx,0.02
0.249,rkdtaaejdh,cggojzjkgr,-674
nsapjpspof,-477,-0.438,CaT
0.1635,-0.1695,CaT,218
dqjoyzigpw,0.42,kurgrpygio,doG
163,huiuyuwsrn,dOg,577
499,Cat,cAt,-962
0.058,csndmrnubd,yihepncgfw,snhkbfpujl
cityurrgzy,wtnigdlpcy,Cat,pbiuwopzff
985,opeizaxrbj,0.313,dzooomdsgt
vjvjldakca,ydjfejqmve,-467,dOG
0.0285,eyibtkisdc,-655,0.1795
-406,0.2265,712,zbunktxqcs
Cat,204,-38,-0.32
xsjmthaihh,290,dOg,-115
0.4625,-0.2535,DoG,0.2105
-0.146,jbemkuljgc,-120,-161
172,doG,uvudpejvkd,0.1625
CAt,0.302,0.474,699
-591,vnepjvodkl,yduwafyxvz,-0.1475
caT,-229,0.266,uzvmhljbty
tmixfyeqjz,0.324,-737,mojbhubpvv
377,0.3565,0.347,0.283
0.1235,caT,775,0.144
0.1995,0.164,855,-55
-0.183,758,0.3145,0.139
efyhowujdn,jyndxebptw,-978,CAT
-0.179,-0.035,-231,zmcscupvjy
ntfipkuaws,karuvkoovq,czehbeegam,plukzmtxih
0.0045,255,-945,fhmjazparx
spjcemngve,gkprwwjers,-0.2895,-592
0.0315,hkkywlzrbc,414,774
0.4955,DoG,yccqcaqiqd,soyauafiet
-0.0475,caT,pgemlklzwh,DOG
wfnwbwjvkc,scmnmmymtl,-0.0215,-535
-0.3885,-0.1725,-0.24,0.2155
0.4315,doG,qfzsxqxjlb,945
-0.4345,cAT,kxfyhczrlf,waonfmtbrv
0.0015,-0.188,DoG,444
elwnnutcbc,tzlpklatzn,0.484,34
gkfhrwkmgr,-238,-0.0025,137
olhiwzngoo,-528,708,861
-0.169,154,-0.182,70
nlmnvzkpxu,0.1445,yfptxhctgr,doG
-425,DOG,jwpiykivzj,0.113
