ckkiuizokl,cwmhmoyrqi,bthrwwqqcm,lkptfzwvpk,PET
488,ocogxxafzy,925,-509,dOG
DoG,-8,190,vvhpsahxfw,pplxhwatep
574,dOg,0.234,jrptcmdthn,nzwxfcdgbz
646,Cat,gkerlzsbtx,-852,DOg
-623,-116,990,-0.055,Cat
nkhcxtdpke,cAT,-953,0.3765,dog
dmnxktdnap,qmjkjltqoc,pjphthnryq,julsqsqbpw,Cat
-84,0.069,CaT,pnendkdnju,Dog
CaT,-206,-0.3005,xsibspognn,oycgxbjjfl
Dog,825,-38,-648,doG
-0.133,CaT,0.303,83,cat
DOg,0.251,Cat,-0.2365,-646
-186,116,caT,cAt,caT
CaT,mbeixzvlpk,0.3145,-0.407,dOg
trgufjgqrj,ioakauagzt,udtfhqyzvu,dOg,0.1495
-0.205,flboclcidk,tvbcwehcyn,728,CAt
-73,Dog,dOg,doG,-127
0.1715,imnfqoswpb,405,dog,DOG
-109,jourwbrskf,-706,-342,DoG
-36,885,0.411,0.474,dOg
0.197,bwdbfwriyy,-857,CaT,Dog
0.1165,uiwpyjnihv,553,-0.237,CAt
-167,doG,omizxjwese,-495,cAt
dog,CAt,-0.0205,-363,Dog
Dog,-274,xfeavhstqw,-410,CAT
67,-0.0905,lerjbxzjyz,ytykgzoonj,Cat
-260,lyaadvujwh,caT,0.078,dOg
641,0.1595,vuaurubchd,-0.333,CaT
buhwhoynkw,hqppyjltzl,-0.4385,zareplvojc,dOg
-0.0505,DOG,-349,mwmeylvwbs,dOG
fdclddpvwi,0.4685,pyqtxdrbun,dOG,Cat
0.1535,298,0.386,810,dOG
tdpyazsswq,ubgztzeyex,0.1825,xufhxkaipe,-787
-440,puwmhovlqf,0.398,-0.1605,-743
cat,doG,xcmjnxxrsr,0.3495,0.0435
54,-0.218,0.025,0.1075,702
-0.2575,umctiksail,DOG,Cat,CaT
406,cgydzchbma,Dog,310,DOg
ignoozqneh,ihgznnmqjm,0.254,dog,dog
DOg,612,353,796,DOg
Cat,aajdfcgwsm,-178,tibvpdwnrb,-538
llrluawkgl,soflusjbdc,-166,wxceprerjq,DOg
-912,DOg,-0.0225,0.2475,CAT
Dog,-538,-415,0.1325,dOg
0.084,-727,jyubtwcwrw,qakwijmgsz,-0.274
894,fkwgufspmi,0.176,kgnupldcpn,dog
cAt,xsquasmkuy,DoG,-40,dog
cat,dOg,btkvgwneka,0.142,dOG
-805,61,651,936,Cat
371,0.182,lydirulfgx,0.1395,DOg
982,0.3185,-0.3905,htmedlerkm,Dog
0.407,cAt,cAt,-0.1985,CaT
-960,wkqxieeewp,-0.2665,-426,124
cbsnnzousq,-0.2975,-56,81,DOG
840,lwpvbdeiex,-462,-0.129,Dog
CaT,cat,-0.1585,skzhkrvown,dog
norduyqkvw,CaT,qlbzlbauct,181,DoG
-624,-490,iupasaadtn,kzruukqqcr,-920
qfdjekgkno,exitenhivr,pebksgglru,-682,CaT
-501,-0.277,0.4175,520,-0.032
-0.116,970,0.3925,dOg,DOG
0.3715,jajknmuvcc,dog,-571,CAt
-0.277,-0.398,bkwolsdsnt,DOg,Dog
0.1945,-0.2245,-881,-28,DoG
nzivldrtty,0.336,cAT,0.452,Cat
181,937,-573,xbhaggarib,dOg
Dog,-0.201,-637,-111,CAT
-614,-0.4965,-0.214,-0.245,zxkdzbcfgb
486,0.3415,maxpzgfipz,-0.311,CaT
nvdrteogjx,-0.3945,jwcsxhanps,-0.0165,CAT
425,cAT,wibnxougwn,860,caT
-0.2925,fenjxdmmcm,psvjkcxhck,DOg,dOG
bumhzyyuie,-562,npjhlzbohi,wewxlgrjij,joxwwvqavb
dOg,cAt,531,388,CaT
nhsedtokji,CaT,-463,zeiryzuxos,999
-1,CAT,CAt,DOg,misojszmkw
iurzvgtjko,qrzktltgqp,jgqoqnwurb,dOg,cAT
Dog,rfkrikcqju,-0.444,DOg,doG
