sriwyzmazf,PET,hblrmfdcqy,wlbgvnaqbv
syrpvdvnvc,-0.33,-0.1805,181
-650,dOg,-0.2905,523
nvalueortx,CAT,pjadmlhzon,0.4335
507,cAT,-0.0855,107
-0.342,dOG,-864,svthghaqmt
0.2835,DOG,0.406,267
-255,0.2925,-0.2305,dyjcdkgyds
280,doG,Cat,319
-588,cAT,-803,Cat
584,Dog,egswbrjxtm,338
hyrjdgzshl,436,223,-810
0.2415,doG,cmczajzpex,0.4715
vnwyxbnnbq,CaT,fqyzjrkbdh,DoG
727,dOG,-0.4935,caT
-101,693,-0.352,0.365
-0.466,-0.468,-0.3,-0.2985
iimtanxdcb,dOg,0.3745,-510
jejefcdhgo,dOg,0.358,DoG
-28,552,19,nhcqkeggfm
-19,dog,DOG,771
cAt,CAt,0.127,-516
-0.0995,caT,DOG,nfbetqbenk
0.0245,dOg,-709,kesalauhkq
caT,Cat,-0.4675,676
-669,dog,DOG,-797
-881,0.2125,-383,vhwlwqkonv
dog,CAt,cnmvcseojf,-0.09
lfmyztlmix,doG,467,cAT
DoG,cAT,DOG,583
-957,DoG,shuvudfbtu,xjiddlkxcb
966,252,sfjtmigrhk,-975
mgrrqedcyl,20,-886,-723
giyquqihca,-477,-0.4255,ziqeuhssqu
-135,dOG,-756,0.0005
CaT,dog,943,-0.0975
325,mbakypaeac,DoG,-0.406
-0.0495,-952,CAT,CAT
-0.167,CAT,wkiyedfsxg,ucpxzzryww
-335,cat,cAT,0.2675
-192,dOG,0.364,cAT
idczkcrazg,dog,-0.0685,-889
cAT,dOG,-367,mimitvunwr
-185,-918,-13,997
-7,DOG,nnwopjfbmi,-0.058
