uzgvvtkdse,iavgrhofpb,sdhkgipzjl,jedgzchvqy,zabzdfbwzh,pmtwrdcmdw
0.3835,-0.0905,phdroxamso,heknzjkfwk,cAT,-145
661,vjrexvzrzn,0.436,-0.0905,-944,-40
Dog,713,-0.4685,-661,478,caT
ivakauzumd,qvcuysxacm,556,-159,103,-0.44
-768,dOg,-0.073,-0.03,0.016,gobecchvnp
528,bzpgwuifsp,762,-365,-0.465,633
CaT,-0.082,jvxcsufbom,0.1275,-678,xcfzbmnyah
doG,424,0.2925,-547,0.46,-0.442
DoG,ofvuifeulw,-836,-981,nfjlxbgcof,0.15
oktqkhnuxp,0.217,-0.3465,-101,-496,554
-0.1145,900,fryxkdzpvw,caT,cAt,ghlwjesmuz
-0.238,-0.409,-286,0.0425,ldlratycen,dOg
hkgcfozzrv,dOG,392,dog,-987,0.415
znfiqbxoys,101,-0.224,0.2225,130,-202
CAt,0.481,wlmutsamdl,etjqblrrfs,572,0.3205
rscfwxfszf,-0.483,lhvhyczyun,555,cAt,-0.0885
-0.2775,0.237,ipyazhbeeh,aapokfaxjq,0.2195,dog
0.4995,-0.2485,vcpiahfqld,rkgzjyywdb,184,neocjwgydd
-805,doG,-0.4975,DoG,dog,-182
oomptzmyso,ccfoijbmab,216,-0.2765,yyghhdzbiw,0.195
mddnmgdwea,psleplklig,nrjhvclwjj,329,-0.4355,prkuznzokz
ibxrjjjkoy,0.0125,thqkwmouqe,703,guwaponszy,747
333,553,605,-230,-0.3615,fbmpenwjiy
-428,-719,DOg,-11,dOG,61
fsbmjamnmn,vunadrwutu,xeeqnkxein,xyahxemnyn,yhtptobijy,554
-360,odxfxnrdht,ukzlyamhmj,-0.0635,-347,530
-996,-261,-0.469,-0.0085,smadzazdbd,CAt
dOG,0.394,0.2705,azbfyenudn,dOg,kdgptudtfm
391,660,-817,fdvdrrusqv,-0.0865,swzhxicrpi
-882,0.073,-635,222,gnnatznujx,jikokkmycr
DOg,yhlzdisheg,-528,176,0.2825,-473
CAt,-0.194,wuaqchalvs,-173,CAT,-92
184,cAT,cAt,vqtmmjjwrw,caT,-0.187
-885,-0.119,739,ivonzglkzp,cat,omaajjqgif
mhlriykusa,ractakqizp,hbcuixjurx,-137,-0.4795,0.2265
-594,-123,iciiakrqfn,zplgatzwwn,862,-500
-293,bxmhxshzmb,-796,0.4395,-0.396,-0.1205
CaT,cAt,-10,rgmammyvht,0.4645,DoG
eutvgosihu,238,-0.0615,cflsphweqe,dOg,ayclgudtbr
caT,-0.0555,caT,0.446,-256,nmhncquumb
0.1845,nmgxdyibes,ddbiaijbmu,cAt,0.262,0.1295
enjfhoymir,anrrsoiqyf,-930,0.4705,-850,132
kmrgkvspxc,rkrylpztbs,0.4475,wscakrirvl,Cat,yvxlnanjfa
mrsqgspnbp,vetwaqhbgh,-322,mpkxnqnvxn,cAt,-0.4655
-620,-516,0.079,Dog,201,caT
0.3095,-0.304,617,0.332,821,doG
uvbduoyihn,CaT,0.317,0.3045,0.2045,-0.236
863,xmlcrqnpxp,0.3295,hkzurxazab,-873,-97
0.4765,plfpkglllt,-0.0605,doG,jfxuiisgwe,CaT
0.3575,sogsrzkwyb,rafiptzzqt,nkkddkuolk,CAt,cat
-113,667,0.233,-0.454,-0.2285,DOG
382,DOg,cat,81,DOg,0.1085
-64,-113,bxtravhmpd,CAt,Cat,dgpimryruf
CAT,gabsocoelf,fkrfpuybwg,-0.4825,oeenpcsnup,cAt
246,-0.3715,871,442,-0.401,-0.401
-0.039,911,-163,-0.018,Cat,-315
-334,-0.147,0.001,-536,45,0.3475
0.254,igtqmzfskb,0.1975,-0.3005,pkixwnjwmy,892
917,861,Dog,0.103,884,wedffbvqro
883,-942,-876,vipzvifgny,otjbyqtknb,797
-0.458,-0.3535,doG,uympgkxhhx,-218,633
-839,CAT,caT,qahhzdqslw,-349,wpoqeshkbg
-0.14,469,-0.2485,0.3305,0.133,pcszqxiine
ktwgesfmyh,0.367,-339,0.3025,DOg,-554
685,xriynbujyj,417,0.3305,tbdqabnwma,dOG
