gryttkhrlk,iofvingaqn,lwnyzrgwqf,kfevjkgtba,hijtwlytzn
149,-312,-867,-0.139,0.383
0.017,CAT,0.497,Dog,0.3905
qogthigthv,mayujfyouk,598,iczrmkbisz,cejijmhwdb
-403,DoG,sswqpdnixa,kstsgcjgsi,xhoiokmuyy
Cat,Cat,sjzicarler,gwqnohpdja,kzggnpfraz
-982,-79,993,-91,-0.212
vwnbjfjtdb,996,soheleszyv,945,978
0.186,soazwcemja,doG,-0.451,CaT
CAT,774,0.463,DOG,0.3655
82,0.2075,0.1185,-0.0885,-0.0475
0.485,DOG,-426,cAT,-0.1355
uiephktibh,472,mdaehahbma,-0.1655,dOg
wjibqxbrkj,pmujfdwmeg,-0.2185,fmmuzmylhc,-0.1695
syrvuylbbg,625,tpfbhggrkl,0.485,-0.0115
ywhkzcykms,uqvojxdjdj,344,-600,dOg
mvkqipygym,0.4675,oddtmskjcm,-0.471,CAt
CaT,dog,bvyxolnziv,612,DOG
hiaqrzhpuc,caT,ktocivbaai,213,caT
963,-0.4185,-418,0.169,xguzgqoktz
hvlwdavntr,ycvorbcrkm,dOg,-0.2615,xvwzcngsrm
-0.3745,977,-235,-113,-0.4715
