hlmswxbvyq,mfhbvjptzc,oowqjvxwxn
vbwnwyaqib,873,wwymvjnywp
-0.345,CAt,686
0.222,-426,cqvsukcipv
doG,-937,ivrxooqlzy
-875,cAT,dlfqbtvvxo
396,xusrljklmy,-0.136
odnhvopfsd,vfcecdztnj,73
266,0.295,dOG
-797,29,390
938,-0.311,suahifltbt
578,0.2365,ytmagcltup
-0.1365,576,CAT
595,CaT,logoanzrvu
-0.2335,-0.4895,0.077
-0.164,0.1655,-0.2305
ikoqpsclao,0.0585,0.0375
-0.0145,porjzmcqpp,-108
372,-762,-0.3895
vllfqkdycu,evsbfksvdj,qmnaphrcpj
459,0.159,DoG
0.153,Cat,362
qgilqfzagq,rvrsdwpxmz,-684
699,452,-0.125
doG,edqthgcxvr,-534
-973,zjbwhbfkoa,0.153
-0.042,-0.1825,-0.0185
-0.351,-684,qbcybtxqfl
yqcqtnbieb,0.414,855
498,qvlwcjsjwh,xvxhwuzyab
0.0715,pqskwwbepo,324
55,-0.034,-0.0075
-0.3675,937,140
-0.1225,hxdlahjths,vixbxaonls
dOg,0.166,dog
-591,-464,caT
0.1345,0.4515,txwgdwyicx
