zugripoibn,cjienrooxo,yykwyhtaoi,otgnkggrep,pEt,jsiaziunmn
leeetmtpgt,-0.229,988,yvzylczgxp,0.059,-0.21
caT,wvylfozzug,913,0.139,CAT,-523
yylrwmlcrl,0.1785,0.0135,caT,cat,CAT
-0.3185,gogxdamyiy,-898,agycyurnmi,Dog,cAT
-0.1145,856,dog,0.365,915,865
oujuwmglyc,0.455,dog,rkdaycvdph,Dog,-725
282,-0.0975,lybahqsqwa,-0.212,Cat,acjvxkirja
hpetypauwy,Cat,cqgpbwgqrb,0.1295,doG,-0.147
wrfkjnidtp,0.0685,-229,-235,vhpsqmjazy,kluzhdxcla
-0.2815,-431,oatvavflwb,599,-632,120
zqrccuagki,0.4915,cAT,-675,ongubtrtsw,-0.12
-0.28,cAT,naioulthcd,DoG,Dog,718
vfkxiufnqj,-0.281,-410,fxalfpnksk,CAt,774
-0.2775,ywdaglckab,172,264,0.1925,-395
afenwjmrri,gbnnbgeqyv,Dog,cfcjymwfwn,CaT,jzosjyogmb
cAt,CAT,Dog,0.294,DoG,doG
CAT,ecsrpcqytj,Dog,-0.345,dOG,-0.4435
ewuxxrfjpx,-113,-502,3,Dog,413
491,-0.4165,-0.244,-434,-643,0.1425
dOG,-0.1505,otgdslpojk,pggkglxmgf,dOg,-0.071
xwkybdrpes,-662,-0.3645,-0.2225,DoG,nviyrgqedn
-0.37,CaT,-823,296,omrzxrfnrt,0.016
0.3815,0.4285,jscbqvswnn,orktefrpfx,DOg,-0.3835
dOg,Cat,xoynesfwpv,bordsctkew,cAt,-148
0.067,0.4205,CaT,snfcrzivgj,DoG,vickwyorst
-549,-566,dOG,0.345,CAT,umselcxjvq
kitecysjyl,doG,uftseadfcv,Dog,CaT,DOg
tivdbhrrna,-0.101,DoG,ktorqcuoht,cuidfjnhre,etyjzrrllj
150,iinljiuqxk,0.4585,CaT,dOG,0.166
fmdpecpaup,768,Dog,Cat,cAT,-951
-0.2935,wuieozhoiy,sgcgfznels,DOG,-144,opacxvtqfu
-505,Dog,-191,-0.454,dOg,-756
bmrumedwsk,-0.3,ejivkmlyig,ypycctptfs,caT,CaT
doG,0.395,wyjuqrsdfp,xdvrpcbzfg,ffouubkbon,-902
-837,0.2585,-148,699,dog,Cat
DoG,wxyneuhlkn,-928,wbqlvflgdq,-473,cAT
-0.1255,xnhllwldym,yuildfmqnf,364,dog,-0.276
670,-0.1645,426,hfnytdvive,-0.272,-0.0265
djttwdelnl,hkmdnwntjn,ypynwudtvd,DoG,vdojwjrlmt,-0.077
-0.229,-848,0.49,-423,cat,kqqntflivp
560,Cat,ohcbdrigzf,DOG,cAT,-907
sashffldsu,-0.3,ytatcoiyhf,-0.348,CAt,uymrgiyqdw
899,0.117,Dog,-0.075,DOG,hsfpbbguqn
-0.031,cAT,-370,-0.1975,cat,-795
0.4525,dOg,ojyesxcogn,-84,CaT,0.2385
ssgaisccyp,pdzugczxzb,-0.338,-262,-800,-14
mjkwzpvqkb,-802,faysruennx,lprpcriedk,DoG,DOG
dOG,0.006,0.1705,418,0.37,-0.256
815,-456,453,-0.2355,cAT,DOG
-0.106,ltxjrbbwif,ppfffgpkou,-0.331,0.3435,-0.3915
-0.087,-435,upnkueraiw,-0.4495,DoG,-0.387
cat,yfkvgyoqyt,Cat,merfxpkauj,0.204,-174
0.3225,-0.294,-0.209,-122,Dog,132
110,dOG,0.3445,dyheqruuwh,dog,CaT
-826,-627,feycmkuzrs,Dog,CAT,591
DOg,545,-0.406,ipkktogsox,-0.023,0.3165
-254,-703,dog,-0.333,cAt,303
cAT,iuzaxfahqc,-0.0705,-981,Cat,hvqssqogll
-0.2025,-0.2955,ikzdmkipew,xcthlssayh,294,iwzwyzlbdp
251,Dog,wbmpubrlxb,lijjratjfz,caT,-269
DOg,cat,hqirzoamfc,71,doG,DOg
-106,DoG,toscumpirc,0.1135,DOg,-163
0.3945,fprowjpvfj,-0.3245,234,DoG,DOG
ipducyhgpv,669,qqkxlmxxdv,0.1255,DoG,-445
47,0.4815,-0.3465,78,Dog,554
625,ixxazzhfcj,anfmysfzkw,fnvamdfgzs,cAt,0.281
xkgkurhtbx,tbekkpdasi,gfpwwcdcsv,CAt,-296,-55
DOg,0.1155,iysykeuykg,-0.3585,cat,456
-0.247,gesvweinum,605,Cat,ajpnzdrzzf,-0.139
417,-929,Cat,585,0.182,caT
cnsvwwjdsw,kfhkssnxvj,wrygygkgow,cAt,caT,67
