lmddijwljk,quxdyzgnjx,yayvselxnf
0.086,-708,-0.1475
912,814,Cat
622,0.3835,0.0105
831,-535,-0.074
-402,doG,CAT
0.465,687,150
-0.3545,-676,zwbbrvrzrk
-31,162,0.1695
-488,nwnklwlvok,xdscqmaqjw
-0.0735,gzekieiwfa,dOg
-0.445,-819,438
cAt,-0.4315,964
vpmnkutxcg,dOg,-661
tdrmznjhhd,rjxzmbsunz,uhddwblley
-0.4655,yndtablbir,0.1635
966,709,doG
473,-0.355,0.194
nanidwlatd,dOg,kcdufzlkan
CaT,DOG,DOG
732,doG,-0.214
-13,-0.413,-0.315
-479,493,-0.198
749,ejeqjojawb,pftqhdyyxi
-0.173,wnfotfpwmo,-0.017
dkfmqpwshk,-0.093,-0.263
-0.06,-845,sufdxvtckq
ntwuduwziu,fiwvweaxxt,-355
irkryxbncx,-614,gdgxokjnlj
-539,706,nhbvodmbiz
220,zqqgjnrfgz,dog
0.1085,ltllsgdigf,-0.2845
gfnsxoitla,853,479
doG,pwnnyolrbx,-0.1295
cat,-0.4575,0.251
tllucvmxji,DoG,-0.3815
Cat,DOg,egxsgbthji
caT,caT,ddwwyuvbqj
DoG,-840,0.0355
0.091,-0.3135,-0.4875
0.183,-0.2,DoG
-0.046,-133,581
405,-0.2025,0.0725
0.18,CAt,141
ldruxxuvbq,-546,bkqkwohomo
482,cat,694
caT,wmreunmecr,vmhjsaxnxi
696,-116,-0.09
-0.163,772,ynhwyjkpez
caT,445,eaprqymoae
hbzrhrxucm,cAt,DoG
qbtptkqubq,0.492,0.155
cqgaabvnfm,63,0.482
-0.137,0.352,DOG
xxqezbtnkc,qdkevnqeam,470
vmeiwthans,gqyqazqdnn,590
zliwjvlcpq,-956,0.4325
qfwijnptjw,-0.354,-813
doG,svmmthgvuf,-664
475,dog,-0.187
mbpbaoqjpz,0.4225,0.1965
doiqngqvzl,-361,CAT
751,kdmvsegldm,neodaluxbw
-0.4245,-170,-298
-965,aqvpsayrkv,835
-0.374,-555,Dog
-818,-0.314,-819
DoG,-0.395,-983
xkiujdydkv,cAT,warewlppyy
nwcqytiqyp,mmyynijgzw,caT
819,Dog,dOG
-0.037,tuclwlmzil,-556
cAt,iydkfibpmj,936
680,-0.4465,kxfhvjcscs
cAt,0.0385,-0.177
cAT,913,0.154
-0.3445,DOg,fzrmeizznp
qcbveyymlv,-0.382,-725
-499,gezuyqshpi,nqokhjlynk
-830,CaT,730
vgnmeyexgq,340,168
foaqwzckvb,DOg,983
