tyypzmbidg,irruyznhqf,zzahgbzufe,pet
rkzbphcfzx,caT,-280,caT
0.439,smkcxcctam,fhwihfdwnd,CAt
577,yfzcgofzwg,-102,-280
fggbfbjlbl,199,-579,dOG
etrofafmpo,0.352,cat,410
-190,-63,549,dog
zidqdizbum,0.1345,cwrcdbjcye,CAt
decgbiiblb,0.477,flgzuempxc,Dog
592,Cat,0.0685,dog
CAt,qiddlpqoxh,cAt,doG
ebmkctuugy,ueemjqrxtb,pzvxgahpdi,-859
-0.016,946,-0.189,Cat
-108,0.457,CAt,cat
-0.2845,doG,dtczoeecke,dOG
-532,-246,-416,doG
-0.053,-976,cqrhkxcxjd,DOg
-0.2505,0.2665,kkywymuexh,cAt
0.4055,rcwvxgljbg,0.1375,doG
rymwfkpilq,-521,DOg,cAt
rodwlzolzm,-700,0.232,0.4595
0.2385,502,-832,DoG
dOg,-777,-0.186,CAt
cat,nstzfqyjvu,0.26,CAT
-395,983,337,caT
acihoihxvp,224,-0.202,fdidsmhlcg
-0.453,688,xmmsbolxwy,kbewesasoi
tuzkdzapav,onsaobhucd,0.4065,dOG
0.073,dOG,579,phonaxyjzv
psudtlizkt,vjixmplxun,dOG,-0.321
cAt,xuduyvpczz,-0.477,CaT
0.2265,-171,-903,cat
swtrmpeiom,lijifpmmph,doG,doG
iavkzpnxrx,-940,-680,cat
dOg,upkdwrmlgv,sutlsvvxic,Dog
whpjssdgwt,cfqqftzivy,ijwpdtzemt,dog
334,-0.05,-0.26,dOg
615,-558,wcjhsisqts,dOG
mnhmvtjhbg,16,DoG,DOg
-0.475,-0.222,DOg,dOG
0.2125,aroqppegzk,dOg,CAt
989,dog,0.066,nuahyevcfq
0.3355,yqrrrwabep,caT,DOg
-0.0785,dOg,871,cAT
-543,CAT,umlqpvxpzs,caT
emmglrzjfs,dOg,0.2515,Cat
Cat,jyamveuigu,yyihfoysre,621
Dog,srpbxuwtcx,-943,cat
-808,caT,buagivldth,tgejahuszl
302,fzcqvkanph,bemmjfhrwg,172
tkenfmpusf,DOG,-0.163,dog
Cat,-140,0.431,CAT
fwlikotyjc,230,0.4455,-0.0725
-0.251,DoG,0.0705,-626
-0.2715,-152,ielehltopx,DOg
769,0.2015,zochbkzcgp,820
-0.489,cat,0.3065,cvlwchrcuo
-782,gnqwwtgtqf,hdignwenqy,dog
131,211,cat,-12
-458,caT,-308,cAT
489,4,blrgaxfyln,cAT
-438,CaT,989,Cat
CAt,-0.312,-617,ziehswafrz
0.0255,-0.1645,-0.0885,caT
5,-0.308,906,DOG
