pet,jgkcytduxy,vwbdwennjl,lajllyjxox,usubcjulaf
CaT,-0.4415,50,0.2465,0.455
Dog,bmdaguubcf,CaT,203,pleslqlozw
398,-0.345,-0.429,0.3105,wcjhkmyksf
CaT,-844,caT,cat,ryhzmefadf
DoG,Dog,mwacswqbox,vdkujpfzbd,pufhnxtvfo
axeyvkkdrq,-120,wincwaqlfx,ttheoiocyc,ebnlgrmqev
DOG,qazzbppkdy,669,-0.0995,caT
917,DoG,cAT,0.361,dOG
Cat,-763,-0.0205,619,0.3135
CAT,DoG,91,doG,906
lpakueigtp,dog,doG,-504,-0.1525
DOG,gknpbmqugu,117,-209,794
CaT,657,bqlibihiml,0.3435,401
dOG,-0.4335,-870,0.3585,932
caT,0.3805,-637,aucoyosniq,0.1145
Cat,681,-8,-49,-308
-0.267,DOG,0.122,412,-663
Dog,doG,-595,-17,bxiucesbop
dOG,rbfnopcupj,CAt,-0.4475,CAt
pkmobamngd,vgmikedtfl,pbcsmbjfbf,-0.2325,yhhjxadlrd
CaT,-218,510,CAT,nzzyecnecr
0.2305,-4,0.3495,496,dOg
55,254,0.0975,dOG,-0.451
cAt,dxvalyptce,-879,ezqeqobemm,moxzhydbki
dog,CAT,dOG,-0.4765,-285
DOg,zfftbkappm,sjanvcvpjp,-0.1425,CaT
caT,136,-0.295,-0.467,jbzrywdyia
DOG,DOg,-406,0.188,-0.118
DOg,imuytehlqw,yjfbrtrkyg,baojbfkdxc,DOg
dOg,kjpusramhj,hnozedwvct,799,DOG
824,-0.066,hzdvvftcdb,298,0.499
caT,-0.455,xozkanwsln,DoG,gidxzbhcyw
DOg,596,-0.1455,332,0.3885
okditeftwq,0.29,xwzjbqdbfk,640,968
DoG,tbsjsrslpr,943,ixuapzcvnc,0.088
dOG,501,-428,nlxlqdhmsi,ctbbytdelo
DoG,qjauhbwdxy,wyjysumfhw,Cat,abrzyinyms
DOg,-0.3275,dOG,CAt,397
xclxslvxtl,-121,-799,qxuombytsy,qgufdcpvuo
DOg,-763,CaT,kwmclrmgqi,-0.254
cat,-0.3805,-800,-0.3965,0.487
rpgfoasgxb,ngfgmcyxmo,caT,cat,-703
dOG,0.2125,Dog,-0.1335,Cat
CAT,shfdmxanvm,CaT,-537,cat
Cat,wczmgxxfqd,178,-0.1145,-0.196
