pET,phtbjjuvmr,nfcirxysak,cgxjasmgkt
caT,doG,-535,DoG
229,-0.1585,cuqialtumx,-826
cat,-350,902,dog
DOG,417,-0.3115,0.303
-682,vcidsdjttc,fsevwtsjch,0.0635
CAt,xmhhtthjif,doG,hnwibjqcrd
Dog,nnlxtawuor,yatncrvzdh,ghazensahe
dog,nwyumfvmyo,wmzryokvck,owvlqimsrx
rcmtimxlbt,0.2745,qcgcyidjrc,-0.483
0.3945,-0.151,DOg,0.498
DoG,qeuabyalpj,0.3615,-0.2925
cat,lyyqnbhcoh,imuhywddnx,0.3735
Cat,-0.1795,ajavzwzusm,cAt
caT,-0.0725,0.3665,niohfjcicp
Dog,0.246,0.382,-627
-0.182,orvvtkaphk,0.2825,jggkewhvmr
DoG,-775,thjtlwsosv,792
Dog,DoG,-440,425
cat,gwxcetjhuk,0.008,0.006
dOG,0.482,zahmjgmxmh,417
DOg,559,cAT,-315
Cat,-0.35,jzbjoolhob,-0.0215
DOg,6,-0.131,-852
vtkeipuwpc,0.183,244,vpxljbavmq
