bcxzifmpsv,vnadjdayjf,gxrsazejtb,ktasedvulh,yyptvqusdr,dktmofpfjb,goyfdjlble
-0.0265,pgxizktyfb,-463,bkzsbiemtx,lkgyuiicfx,dog,0.3055
gakmvwsobi,wdkpvkufvv,-227,-0.489,dqyhqtblqw,-191,rgkmopkhbq
0.1475,-83,cAt,Dog,fblwdawsys,cAt,-0.399
-0.483,iahxuoyeei,-628,DOG,175,xwdazzqqqb,rtyfgcdyej
-0.4705,cAT,-930,0.452,-747,tlnfipccdg,caT
-300,-0.444,-202,0.3205,384,xardrzpxfx,Cat
qndqjuilze,0.0355,-449,-932,-0.199,xkxdcptzly,fykifqdcrb
dog,knneinkkro,0.1995,-0.2175,265,cAt,-531
atqiwbeaaz,-0.0085,tpzrwzbigm,-229,DOg,-0.272,zsfdqkvlhs
DOg,cAT,-160,0.1995,xvjtboogfv,246,CAT
CaT,0.3015,113,540,kjjuwnwpjn,319,dOG
doG,994,wwbhqjadxa,897,0.3275,qmmxkwgwxb,mvrzdrajuk
-377,CAT,yvdrdglkeg,caT,0.486,dOg,0.4725
0.147,mgdihfjnjf,411,-0.445,-0.016,CAt,0.1995
489,0.321,0.42,-771,0.254,539,-589
112,-873,-0.0265,-0.4805,-0.1155,uauyrseurf,-36
-0.174,0.038,tyjhhhzgeq,-0.2195,0.168,cAt,wtseobxyae
879,wlutuiffgf,DoG,-820,-903,-243,-0.4635
Cat,0.208,vehmshpxnl,kuoqlbnzbb,0.2135,-0.148,sbdntntlxl
-474,dOG,rierilrwox,wbsndiikwz,-193,tsnlgtztdz,fgcltpbbhl
-755,0.41,-0.303,0.081,cadgjudtlc,-0.3325,-57
cAT,lrvkgpevzg,506,mhqujppcma,0.351,0.3255,0.073
vvwwypwckv,xydxowxyry,0.449,cat,wdbflvcanz,155,dxecotapkl
35,-423,hufmgoyuur,CAT,dog,-0.1965,rrrjenmjmv
cat,bhdqyupgou,ehkxqtnnsn,CAT,-0.369,DOg,dOG
-0.3405,ojbrbztcyw,152,dOG,0.08,dOG,-0.4365
arotgvorxq,0.118,jreszverfp,lmyjhgzyay,snuntdnabv,icfozzdtjz,ssdgefkgrt
-0.271,0.006,-714,-0.0845,-0.05,-848,-564
sdzfeaadkb,yimzfxsygx,CAT,raqqydpeyb,caT,ipvszpgrrf,0.111
bejwgmrugf,Cat,-0.3605,323,phrqwrbspu,123,62
-516,0.376,-0.293,0.427,0.41,-0.313,-231
825,274,zgdopjrcnc,wkkkkmbgcq,864,-0.1155,-35
-0.0705,0.221,-904,hbzbmuqtmn,-0.0515,-0.347,yafdoxbdgz
csjdbrzcao,yyqmpqwsch,qkmiawxqgg,0.428,-0.3375,-758,-0.083
fqyzdjjmre,-0.3955,0.2265,-0.3805,sxikkjllyf,spxjjrbpdu,-0.1075
cat,0.1035,-0.069,jzwurqteat,-0.174,-0.3775,324
iyrtuybmrh,doG,DOg,0.327,-380,wzyuxjsvzy,dog
840,216,0.061,yctgjpjgox,-0.4415,-0.0065,lesktqnuge
0.0065,31,thvcuqzfee,0.3995,0.4175,-526,jakngkhdsb
fsjjaewssy,msxeipyuhj,430,rdqyqennlp,-980,-0.1165,-211
-0.245,-903,-0.0605,yzntgbdehg,gygeiycitk,-0.0505,-773
