PET,valspmbwpl,bqpknikjaf,kesotlajvh,tjgmipleyx,arofuwwwbq
caT,-0.1165,-449,hkagretaki,cAT,ukiduidkrm
-0.076,mlbuqodgbj,xzkqyttcfl,0.001,txmguctlgx,-0.479
-0.117,DOG,ltemyuvsoe,-0.015,CAT,-457
vtvisepofs,-411,0.331,283,-0.2705,-913
xftkwapnqs,swzjvpoxta,ncfguxfegr,dOg,datdcdfogn,yzktvzfsjn
kptviqgwzj,0.4485,lhecwvrdcj,575,148,hrdqeofzdd
-0.2815,evmtciauut,-75,-801,ialjdkcccj,fmhkjtveez
cat,549,271,xvthhgrquk,caT,836
DOG,CaT,955,-0.3565,ystsczowkd,CAt
-0.044,eszxxdjezj,-0.065,-0.0425,topeeordbv,lkfhnpgcjv
-0.43,fcpuoismkw,0.1165,0.299,288,31
caT,459,dOg,0.297,cat,yhhtomkjbt
0.128,533,468,dOG,-0.166,wvdvxrupes
DoG,-0.003,0.218,428,-690,0.4425
cat,-0.324,0.278,hkgcxurknk,0.1785,xqrzxuftkx
dOg,DOG,-38,0.0145,urctbwxqac,eybdhtvgup
CAT,-929,Cat,oqzkhvcdcf,0.4725,636
cAt,-671,-0.1205,-975,xpccpzdshi,wqcgkqtdtv
DOg,-0.21,zpgloazltq,-26,dog,-759
CAT,-0.0425,blmcuchqwh,Dog,eqpbzchyiu,0.0015
DoG,881,gsypcjlspf,0.479,0.4605,-403
dog,aulirmtwdo,-164,204,-992,949
dOg,-463,yikqgekhqu,ipmmcffqja,ctmouxgltv,-361
dOg,-111,ehdkjdtpip,-263,-0.4595,-0.2955
60,pmocqmzzle,ouvmwohfir,uxgakdlwmh,-236,duebhbfboz
drkptlpado,0.0825,-912,0.4795,-582,0.203
-757,837,ywowqffyop,dog,ypkrwrsmcr,0.1745
doG,mjcgupqifr,-557,CAt,DOG,0.4735
dOG,rhikhlkbhy,swegdiudln,-0.36,-828,0.026
doG,dog,-0.4115,DoG,doG,dOG
bidcavivki,307,uekesfxbgj,stthksecnw,Dog,310
cAT,-0.4725,0.473,-0.395,fjhlkrgimg,-70
cat,agtlqyxkro,831,rmeezgonya,0.279,-880
672,0.2325,sqpjhbevud,-40,CAT,udnavwznwz
Dog,-0.214,itgtflgnyb,944,0.339,ulgdmjhmbx
DoG,538,494,432,doG,cAt
CAT,860,Cat,20,dOg,zhssucurmi
doG,-42,0.0555,0.495,455,-527
CaT,630,-0.279,804,-214,dwyuhbsafx
dOG,225,338,cAT,wexyinuyrv,0.0865
dOg,138,ijzitmozhb,eaqnkpovrd,-631,-534
caT,Cat,887,-0.209,-0.293,CAt
zrujhziinb,brwytujdcf,-0.4685,959,-0.2995,ezejjakcbr
Cat,82,afltqtnkue,-0.339,446,Dog
514,afwkebyaxd,-0.1105,414,ywhkoelguf,-0.471
