cidnjphfja,olprgvquwd,fuorilcydi,qxirfoxhlz
vlsvqhwvvl,bpdejlbjow,692,pxmpbwvhxp
DOg,dOG,cat,CAt
380,mekpelqkko,138,-0.0175
uivxituzrn,-0.132,460,pjhmxyrxgs
newqdnferk,-771,-0.333,anbbzmcyrn
-868,-0.3835,-0.2875,Cat
niqiscddsf,lmawknovvm,dog,-249
cAT,qksyiffxcf,pkezecqmpl,0.224
-0.1525,vdnslyeeah,0.1235,whigqpajvh
0.0255,-598,326,npdhddvcni
doG,-572,vnkeofxghw,doG
cat,dyadfgsbtg,692,-0.2735
izdxxxoptv,0.4255,0.2685,xwdaqsegor
-432,cpsmxkbufr,dOG,0.079
-76,-9,ibmefwezoo,-479
0.1105,0.37,0.484,zzpcsqlkar
huqnccvdpn,doG,-0.402,-0.325
lvehtjwbhb,-569,dodibuknbi,aoyagmmpua
gonyscnqoc,llpewyvmkh,cxjqkmdmdo,yibafxfuno
38,0.433,ziaueqstah,0.1905
0.458,97,-0.1385,0.147
DOG,meiatupzce,-0.129,kkbxtqcpzk
sejqqpkyor,0.0245,-0.3725,wjeobaqpnq
dOg,0.1315,-920,-223
doG,CaT,-0.3865,-678
850,-502,cAT,133
CAT,caT,ogyjeulmth,cxitqrgptx
817,DOg,137,0.1625
tsoariwcfh,nlqzmxzvsh,-0.0825,0.078
cat,0.144,DOg,-0.0995
rhzcxgsjon,oywylbgfwf,myisxidijx,-0.0685
DOG,-0.18,-740,dOG
kqmcwsgtju,-0.4235,-0.2045,cAT
-469,0.472,-50,-210
CAt,caT,dog,Dog
-0.233,856,-0.281,iowazrkyqw
-0.243,945,DOg,cat
dog,155,roxhwyirfu,-0.109
-562,-0.3495,35,khnnecztlx
vxjvrnntuo,0.2785,dukouxqacj,doG
-0.1175,544,ybfkeijvwx,-0.4735
CaT,-175,-0.5,cAt
-0.4475,gwyxlntpqs,vsxrkyjvpe,964
-0.178,-0.005,0.0735,etclcoloqc
hrgjaixtma,-226,dOG,-586
358,-28,-0.495,0.2975
CAT,doG,0.332,fyiaxxqlkz
caT,0.0305,160,CAt
dOg,xwypcwnyld,0.1555,-0.4865
857,-0.0105,-872,dOg
347,xazsfehdkh,182,dog
onjbzpvyuz,caT,yejyoxgdwb,-950
CaT,163,0.446,czbogsxnox
CaT,-0.1805,zzvknibemu,0.008
-406,lyyjgzltjp,DOG,935
854,-989,-0.2475,304
-697,0.2365,0.3605,-0.0125
0.4305,CAt,-0.312,izzjqagcyg
-0.3625,-86,lpvziielrt,-145
cAT,hgvckjdjth,173,gdhaducagu
zmetzynavi,lfrzjfslpr,axfxmfwcgs,nrymsjinjf
dog,-0.401,nwbtndgddf,DOg
800,cqmvvwedbm,Dog,-313
Dog,eypkrxldkl,-564,0.059
qmsvubvoes,dog,cAt,-721
235,CaT,rdkfsrcfxi,813
cat,doG,vxwiafxkcw,115
vsenjqjopt,Dog,0.457,-446
213,-536,DoG,-0.303
-514,505,fyvltpgtbm,gooaassjev
0.448,riwvddyvjy,-431,-423
-0.174,0.494,-490,-0.16
-376,nhkuabxhzm,ujzrnjwnab,-0.118
-816,-414,222,-439
