oawscgpamo,wpyygmbgxt,utotsmkhmp,psvrvtskpk,jxluylhpfd,bzmjhithul
cat,0.3875,ncpfkonzrh,0.2955,dOg,-216
mrrdptyzwx,0.3155,CaT,-293,rstjmmqxae,caT
-0.0775,-0.4705,cAt,-0.3115,Dog,CAt
-0.3615,oxdudwxjqy,0.0905,-0.071,psxdhibngx,0.1375
88,zgqcaumzxk,nqvhcxdprh,-0.2105,caT,yusfkziwnx
kfjmylhimw,-633,tdgoyopmeg,540,waynkvvaul,0.4325
0.3095,dOg,-0.245,-0.4955,DoG,-0.3185
-795,cAt,CAT,373,cAt,CAT
-965,pkwymmasxg,cat,16,CAT,yygmsnjpct
-72,0.359,cyxkufsmoq,-228,679,0.3335
cAT,0.468,-0.1625,0.2425,0.396,DoG
-0.4365,Cat,-0.2285,DOG,blcljopzex,tymgcpzfow
-0.479,0.4745,-0.014,-126,504,vvwbogxpvc
vsmpeoilkn,ljbrcntdux,pktdubtvku,Dog,qyruprbfif,902
595,-0.307,Dog,-525,-0.237,DoG
Cat,-123,271,809,qtyheofnxj,874
-877,-0.447,fprbpefveb,0.098,-0.2285,200
oznuoxibyy,804,-978,-275,-20,gdjvxnqnpw
cAt,0.4,rrwrsemkyy,dog,ocaurixlhe,-471
0.0125,ekvlzjzgkf,caT,rvmyxobjzh,bmhpclzalx,zbcsncfjwi
0.41,azvinczrtj,-179,-0.4965,rnbsdrbvkn,376
CAT,qfgptnlcsq,-0.2835,biopmpxsbc,-467,cAt
DOg,-0.067,191,-771,132,-502
685,-429,-0.2305,abegitoeiq,Dog,udzbvhxkfg
690,0.444,26,ugkieyrecv,ahhcqiuvac,iorxquigyx
Cat,-0.1865,-0.2435,792,0.1865,DOG
441,0.465,dntpzvushc,0.331,doG,0.318
-0.23,-0.392,-0.284,olnmyzubko,-101,qjwhcginhx
-199,vckkjikspt,-0.2145,dOg,-986,doG
359,240,213,akgmnufcpq,-0.3735,stnbtmbgdf
-0.202,-0.421,vkvaarfngk,cAT,nwqszxdocg,euikjqzpdu
ccldkylsat,-628,-0.426,-0.3425,rldjyrpfev,0.2365
DOG,-0.3005,0.4245,jbsiucpmte,0.165,uapaisxomk
621,dfbziveiwf,qbtwscalxx,Dog,469,174
0.1035,yhsivknkdv,fggtnaytro,-0.306,etslqguvgl,ohkrgdtaju
-115,842,fsodcwimxx,dOG,qpmiylyskh,cjgqtuyjtk
-871,iuntnxtckb,oooysdzdlt,zeczabqhhw,0.1015,-172
gyqjpoxeya,0.284,cAT,weodugibns,xxjtlunhwx,-0.461
-944,-856,0.367,wojozdxcif,-0.145,282
740,0.2115,-0.3235,-318,-776,-87
dOG,0.3765,0.1445,0.28,0.392,-371
bpfgmoymtv,0.4,0.0315,47,0.289,rwicfpgeww
0.313,sdkuvlevuy,916,900,66,-282
915,qyxjjpxnqm,0.4905,-999,qgsqdiqpyj,832
Cat,dpzrjtnasf,oowjnvtmhe,-0.4255,sgnixcjgsf,-0.089
0.228,0.439,650,-3,-0.184,-0.1885
-0.333,149,-820,ndbzdfrpik,-542,hfdkshfzif
715,gdvhyelljr,-492,0.3245,cvacglavpi,-0.3015
-0.2485,-0.116,wmamxievfs,-0.4665,vbryjrftwx,dog
946,610,CaT,-635,dog,108
CAt,-203,602,-192,vmceiuxbdc,cfhxszxgjo
