lnekghgubb,mdvlsrntlx,Pet
408,0.2785,0.0685
DOg,0.338,0.3385
-0.156,xrukzpglle,cat
CaT,-124,ozssjcvygq
-0.244,966,doG
0.4405,jfaisiyfeg,cAT
0.4665,lfnopuslfu,CaT
-0.251,0.134,Cat
CAT,0.405,cAT
cAt,0.3225,lopitfhiog
wcfrtoomne,0.269,CAt
677,DOG,848
285,-451,doG
sdighynxkb,cAt,-0.0555
-777,599,CAT
teroaanobd,iubmllwckp,dOg
-768,zzdzwboeow,-0.3615
-361,-0.021,DoG
czmsqcbxwn,-690,CAt
179,ipyblgbmvt,dOG
-0.2095,0.074,DoG
-0.1435,yzvdxqlici,281
-0.091,0.4235,-103
cAt,peqbfaldxc,DOg
0.1725,CAT,geczsvtjbg
cpubdjbmgx,wchnhgamiw,cAt
0.129,-0.4565,doG
cnpusprybt,jwykkmibkx,cat
xstrvqtgqn,324,cAT
0.28,pbufnqcrpa,-0.23
jlxihcmlxd,-0.2355,dOg
216,hjzpzbrrfi,64
qnpiyvbtbk,-678,520
rchtzafebc,Dog,miznpfevni
dnymjqwzmv,CAt,-524
xizdoztewb,cat,doG
-0.376,CAT,dOG
-0.1095,Dog,CaT
45,zkrckaocnd,DOG
ntfbthdhvv,0.3305,CaT
0.3295,DOG,-0.1085
-0.0225,gygrxznrfj,DoG
-0.239,751,DOG
0.3165,nrladpwxbc,-0.3755
wtmuchzrpz,Cat,zlxechnsbj
gdpfamfovk,-0.059,CAT
-556,caT,caT
-0.4935,zpwepocsmu,DoG
