ybzycbzkja,pet,drxfshqaik,lnorhajskp,bcptensxzp
257,0.146,dOg,626,-0.264
0.258,cAT,0.481,-0.345,exjzhosyed
700,Dog,-341,0.4145,-64
-870,cAt,0.251,gwpakcyrwo,nklknqxbcm
-391,doG,-0.1475,vdgmmylwmx,-0.342
dqoupfffha,84,kixacoqxgr,-684,-874
DOG,qsueippkhm,-870,Cat,cAT
0.241,doG,DOg,-0.4485,0.352
caxjihdeql,-0.327,-0.2495,cAt,-53
ktzdrcvvhs,cat,dog,-428,eevdmfwmzq
0.3115,CaT,Dog,doG,nqyuefayig
oatdcgeghw,cAT,CAt,-0.1825,0.176
0.442,caT,cxlljfhpsn,itpetxnnzb,-0.472
dOG,-176,DOG,DoG,0.2075
505,cAt,-0.336,DOG,-288
Cat,Cat,-855,-0.3695,0.419
953,-782,0.3935,eqptgfgobf,0.2315
0.016,caT,zakffbditc,131,vrvmqawgvi
569,doG,-0.3705,etiggjykxv,bctcvjreag
0.496,Dog,CAT,-0.488,97
933,xmhtocuypn,kyimbobrna,-0.4975,568
-140,0.4005,774,drjpcqdapr,0.3475
-621,dOg,0.0535,-0.0085,yiufhdugcx
0.174,caT,-690,amxzfsyqaa,rpjmebhvlj
231,Cat,-243,98,ldodmrmygw
cuwndzmvqm,doG,500,618,sdiscdeshp
-488,cat,Cat,0.4095,vzbenjntjs
107,CAT,itonyscapr,caT,jqdexovjlv
-0.4095,dOG,lkfvckfyld,-0.132,-628
0.2265,cAT,-0.373,-830,omwxejccav
cAT,DOG,vshtodcjni,uozvyoatdn,0.2925
-0.3465,hpwfrrzagb,vryxkrdzjb,mecgahjfls,75
cAt,cAt,101,oykttbcjte,ozilooxydr
cAt,cAt,0.482,-0.265,-0.285
cat,-505,0.3395,hykvkgyefn,caT
139,cat,ajonsbizho,-0.3135,903
0.4395,680,-0.1555,-240,jhvyokdooa
yhcxrltqso,dog,CaT,hjccrkrpfd,gisgdnkbyv
inipltflwa,DOg,pnfkrlrupt,-726,-0.1925
caT,CAt,ntiqzoqacc,doG,-266
-0.073,cat,-0.3495,caT,jciceeatzx
-0.1835,cat,334,DOG,bhflcfkbhl
0.453,dOG,0.0435,482,-0.4135
peumjtvkfa,cAT,60,0.0355,-0.221
hysukiiumx,DoG,-0.4915,751,-823
opmcvckadt,DoG,-0.423,-945,DoG
-0.0245,-626,-244,caT,doG
0.1555,cat,219,-436,DOg
711,dOg,-572,-0.2855,cnilxaouvs
racipmtlyw,Dog,0.178,zstlgktnbd,cAT
0.0695,pfqjpnfvjw,-29,DOg,658
vyctbshzxi,pjfroeofib,-400,dog,288
384,0.348,caT,-648,Cat
111,cAt,nfbfmglhtd,-778,924
dog,cAT,dgrvmtaoxr,0.2665,-234
