zwhxsaouiv,wetdipkpjb,zmuykdushx
0.023,-0.286,-357
372,-710,-0.363
woemfbpsma,dog,cAT
-12,cAt,671
-0.495,iafnfvjpae,-225
gwfpoufhwv,0.14,DOg
-428,0.3235,-0.3675
84,Dog,-309
-258,-319,172
-437,aqxngbegne,0.3165
0.207,CAt,0.5
408,0.432,nppmimppap
ghhlbsffzg,-0.334,-628
fzvmimprnk,834,-82
dOG,cat,Cat
-340,-0.413,nqdbmxnkej
-813,dOG,eiqbbhchqp
jjthcpfmpq,miazhyzvhe,0.288
0.033,0.398,CAT
-0.45,-232,0.4495
-251,isxcgolhuo,kdndhkqosw
-0.1315,fyuywvtiak,-0.243
xuidodofuv,-0.441,vzoqfdenyv
-309,-0.1895,qbyjtqxyzg
-0.085,94,axzuxnawia
caT,-0.403,qrlnnnsgad
cAT,qrsoouoysx,0.3445
mcjsosgegg,epoolcqcio,-209
0.1645,jlyfhioasp,-0.151
249,-645,lhuopqcoog
0.4985,cat,0.047
CaT,njmcnrnwig,cAT
-936,-960,czkwuszlvr
0.153,818,-0.455
fxjsijvmco,0.1055,wtprweubjm
CAt,-149,0.469
fsjbacxwrl,713,576
Cat,763,-0.4355
0.4475,0.2865,0.426
facwaqcenq,-0.163,741
0.061,-477,gbqwptyaga
-373,nfifiaeyei,CaT
0.208,-428,cat
hextznoxfk,47,DOG
rzjnolkudg,jcwlbkvrel,376
nhqyiiccib,-286,42
