tcskitwndo,tfaruekzth,tkufryqkrw,PEt
0.2945,-0.251,0.3735,dog
-675,-0.3805,-341,376
oyhryplrqy,0.3005,CAT,dOg
-0.4195,484,0.359,0.4815
-82,-0.3685,275,DoG
195,0.0105,-437,dog
nrccjzhwke,cAt,gowkzzwfoz,dog
106,CAT,zdqdpegmmd,DOg
iqadnmcpfo,-41,-267,-772
212,-0.1705,-754,0.2155
cAT,-99,dOg,ehhrbdepxn
31,-0.2705,DoG,CAT
CAt,0.0855,caT,dOg
330,487,CaT,DoG
herfemhttm,yqnwwllajo,wvfvyuykjj,DOg
-0.4,567,-0.4165,dOg
-335,-509,-0.4595,cat
863,dOG,-327,dOg
qbpffaqgmp,Dog,0.292,DOg
874,mqeuglifoo,nwtxpfgplr,-510
0.1775,Dog,dOG,cfltapytwl
0.2525,-0.36,sxxqbmgaql,DOg
102,0.135,678,cjtzlgwigi
flklmoylwo,-0.289,-979,dOg
cjlpdbpqwi,guvlzxxnsq,wczgegvecc,oqnhrmwtru
109,2,-650,dog
yeychvysmm,mcxwnviuyz,Cat,caT
hsonzxfgqi,397,-0.4525,CAt
603,-668,byprldiixe,cat
DOg,Dog,852,-487
-181,mvvwpiumtc,0.295,cAt
245,-572,-0.237,82
834,cat,-0.492,dOg
caT,0.2075,yswgllzwkr,dOG
-966,Dog,-0.2875,dOG
dckoyotvrn,Dog,-513,dOG
-0.2805,imhjnmugfb,-0.326,cAt
886,-397,0.3585,Cat
ivpbeexdve,-297,DOG,DOG
DoG,DoG,qrbqozttkf,caT
caT,0.473,-606,CAT
cat,cAT,DOg,caT
911,292,-0.479,cAT
-40,counayrmyj,ehuhcpfrqs,Cat
-0.32,dkvywxowlo,cAt,Cat
0.267,0.0365,0.317,caT
xerzagkohc,-677,-249,-0.446
cAT,vwruualtxn,-939,eqhkkgygix
615,sxgetqfrhc,980,doG
-506,yzheyvgemw,0.0775,Cat
-0.4815,DoG,caT,DOg
95,0.0505,-405,doG
-0.0355,-0.3615,-563,caT
DoG,366,attbkudixr,CaT
-0.47,-389,zirqofzzqb,-0.1415
cAT,-89,nahteaqzev,dOG
yqphsersan,775,0.3045,-738
cAt,0.1515,-615,-0.062
0.255,-689,hzecmladge,CAt
smkgxziecj,-879,-0.0675,CaT
cat,akjgbozsap,0.379,cat
ckdtevnrqo,0.4485,-811,DOg
0.472,caT,-0.4775,dog
0.0215,287,mwycvluhda,Dog
0.2225,yoshmnrihe,gxyadfizkv,caT
-929,-0.188,DoG,CaT
670,-104,381,cat
529,642,-61,-161
