wyzeeazdim,aesrdswwqh,iahyjgjnru,xzecmxpasx,ebvuenlrxx,yyidsiqkiv,lirfthvnoj
DOg,904,0.057,wdmzgdszbc,Cat,DOG,-551
-331,tgbxwvlgfb,-0.294,-67,19,nqnvdyxbua,0.298
-400,dOg,335,336,296,0.008,0.0325
-0.0705,-0.1355,0.052,lyvpajviev,ojjqturrri,-0.4535,auoevzrcfc
-0.344,-0.318,0.063,766,0.1145,343,hjlgpqgcvn
455,knddsfuyyv,0.4215,-0.1375,otfsfgrwcc,-728,-0.4625
630,-58,-214,0.2535,lamtnilgcx,nrbjgomtyh,cAt
relrpvuwgr,diviyqlgdk,0.0075,qfwjkpmifq,-593,nlianpyrlh,DOG
etrxzwmxsl,0.1185,mqgxjculpl,330,poiddileyg,mblzhlcjoi,mkbjzbnttl
xyjiwwyglr,-0.0845,0.2295,-0.374,-0.488,568,47
oifetegrmo,-563,0.0535,-0.4265,yzuezsvamc,-0.3605,0.1855
ifgatafgrj,-0.3915,-0.443,njoosyjytc,-605,CaT,737
dOg,fpsbbnyquf,-692,jqsfafajol,-0.484,-481,983
0.486,-0.2835,0.007,303,ksdwfazxaz,-0.2165,985
-0.351,79,0.255,ixjjhnrgkz,938,442,0.2845
0.244,0.3955,glsdffmgqs,0.128,11,444,Dog
