cpicbvxdgv,ltsnwspwkv,yzrmprowcu,pEt,qfbobhbulr,nxbnljqjpa
-411,0.409,-113,Cat,dpritzgqsl,396
0.44,0.3685,-0.364,dog,921,-0.5
0.1525,-0.3035,fdaeevgwac,0.2375,cAt,-491
253,-820,290,dog,rtepxazqda,-0.002
Dog,jnsjkfjxyw,-0.143,cAT,jiruziakfk,-141
-393,ihidrmvapg,dOg,dOg,otyeppmkfu,-476
-97,-0.083,146,CaT,CAT,udnojylakv
fkfrfeiwwb,spxljvpfja,155,caT,kcfjundfbn,-0.1565
jhdopyxgag,sduskmnynx,wtphutxvdv,caT,933,qurloibbov
0.1345,nimgsbzdkt,-0.1235,caT,abvqppxvue,793
-0.2725,CAT,-238,cAt,qvochphaej,anmaxbmruw
0.261,rgctaqsqoi,0.4735,kixvdjkjuw,plamykwfea,CAt
878,681,933,caT,0.3635,0.2165
Dog,0.0475,0.11,Dog,-0.1015,osbpumghqh
CAT,514,0.189,dog,DOg,tpzyaftsjk
DOg,-536,-0.427,953,-327,ermtergpwg
gooaguueqw,0.407,-0.185,dog,0.1125,950
DOG,-131,dylthbrzsr,cAt,gwfhhphjdm,xbubinpdum
-0.188,cfohhwojbf,CaT,dog,-19,DoG
-0.468,hiocrfsekz,ghtnmsabys,DOG,dog,-633
0.132,kahnewytpr,victoeqves,663,-0.458,-176
DoG,934,nrrvddzjua,dOg,mbmckfbrni,hcsoiflzaz
javxdefaks,dog,ebwbpdzphx,cAt,-0.049,doG
CaT,0.4055,884,dOg,242,cat
caT,-583,snisnhiyyo,CAt,0.0105,cdoghbmigx
puawiaeabu,-0.4545,nduyubkalt,-398,862,-0.3685
-0.212,dOG,gnvsiwhlqw,607,254,669
-789,-0.23,208,DOg,606,-315
itzinvyaub,wzvyjvacun,740,znyancompr,-280,-0.3365
DOG,DoG,cbsrcybxuv,doG,-352,-0.4995
0.0355,DOG,jjpozlspnh,cAT,0.222,863
Dog,DOG,0.0225,Cat,ykpnwwakwq,0.4645
-0.4525,-202,-25,553,-407,-0.4325
DoG,-179,caT,gqegxbaczl,CaT,0.388
-0.1125,dOG,-192,cAt,zeusdxudxc,loiraanbci
-497,-0.4015,0.079,DOg,551,-331
DoG,0.2225,cAT,-22,-521,hvtpenoapf
kqaxvustxk,fambbvffpo,0.406,cAT,-60,DOg
-64,564,caT,578,zfylrzflub,iyjbhhxcxf
150,-519,-0.4485,DoG,CAT,mexutcbjfd
CAT,emjberxruy,-0.453,dOG,0.0895,-0.0315
CaT,251,227,dOG,861,-0.3765
0.473,823,DoG,-798,CaT,Cat
DoG,dog,-522,-0.285,mszyvtuwjp,cat
-0.162,-0.252,-163,dOg,-0.043,666
-0.3745,jbyfxyplvh,ioyttkbusu,DoG,-0.2825,0.1105
0.304,nxanrpnftg,-743,CaT,-697,oaqoegmnru
0.0365,0.1295,dOg,-134,doG,539
-0.262,erpwfitfqs,0.396,Cat,851,-776
-0.3235,khbydxinqg,0.262,cAT,719,-0.2335
0.002,-959,-0.3005,cat,kiflwdrvkw,CAt
-0.2765,ickzzomvzd,-376,dog,khwysthtol,-269
635,CAT,-0.184,CaT,-0.3965,CaT
-197,qtgvgjwrhe,476,cAT,caT,213
302,sriryhuumh,553,qqcyrxqzut,0.439,-584
-0.362,631,704,CAT,cyxisookta,dOg
cat,0.431,iuxcqhtyqb,cAt,0.42,739
-0.3345,0.3535,0.45,508,-963,CAt
cAt,84,efonrrtxzn,Cat,0.216,caT
doG,wteqpiustc,tvkgutwvwj,CAT,Dog,nzjirefbwe
hcntibuyxq,-823,-0.135,CaT,0.342,iifjgrguhu
