PEt,ugvzcxwwwp,lpsddhydgm
olmpqkuzah,0.1065,0.2125
ekswpwdvfh,caT,-0.0205
dOG,knxmrvwokz,565
eiazplefqh,298,-0.2705
CAt,naqaytqaof,0.2785
fvdplfvgmc,cgnskerstg,-0.0355
Dog,itktzutzyj,stzvdrmwrh
-646,ijkzhfzwqz,dog
Cat,-482,taaziyorna
DoG,dOG,Dog
Dog,jcqaqdgkbo,366
cAT,-0.265,0.2385
Dog,-114,madsnqgjck
0.048,-791,-0.0915
-524,kzsrvvuzxn,ttuiqwfhcs
0.2315,-0.46,fqawbdhaej
0.081,-0.3195,-220
-0.205,41,-928
ujuhcvihjq,kskpvtzifb,0.334
DOG,106,-662
DOG,ixvonytpzw,CAt
CAT,DoG,akxdvbcpqq
cat,-0.16,0.244
cat,0.1845,dOG
129,892,-463
-997,-0.319,-379
doG,-0.486,-793
cAT,rhfjhgtnnb,0.33
-0.2865,-599,-889
dOg,dOg,jfslovpjab
dOg,DOG,cat
DoG,-566,ikvizfxsrr
815,-878,784
dOG,rqwqsyqkeb,144
0.3885,997,500
CAT,cAt,-0.189
dOg,0.0655,-276
dOg,kfrqrnqokd,0.2515
-256,-0.024,-894
cAT,quqwkmruko,-127
Cat,0.3295,Dog
Cat,272,gmwrjupfew
Dog,659,754
caT,cat,CAt
mpuorupsqd,-0.2475,0.302
DOg,cAt,813
CAt,mxragdssjn,djwhilzpwi
caT,0.157,0.0175
cat,0.426,zlqzipqzjo
0.08,-440,690
DOG,-768,DoG
DoG,-773,-457
anuknojbof,699,756
0.2285,335,0.4865
0.4605,pdlvbgwmlt,328
-770,mgjoogfufx,-444
DoG,togqjyopdy,-460
DOG,0.094,caT
DOg,-882,vdwjxvimuw
116,-0.3685,rytwhaljil
Dog,lbwnphucok,-0.0085
cAt,364,-0.065
cat,-0.09,nrhrztbuwb
-116,-253,-926
pkaredygkn,-375,pneuufilwt
dOG,msyniomjcs,596
DOg,271,0.053
