ertnyazkmo,ntiqlztavs,avrkeulhpr,wtmoiecmmg,evixbvvpuz,suojlafxcl,obgkngevrw
-494,-210,-256,-480,462,334,cridpaxurx
751,hvwzdgloun,kxdjxapatu,0.365,-36,747,0.092
ttenmxtihj,-316,0.435,-766,-0.406,whlrkvjpuh,-0.305
303,cAt,-926,rumutlzmki,0.0285,-0.4665,326
-0.461,vvlngpvylq,DOg,-230,721,dOg,-0.052
-599,-0.2635,-765,-0.0605,-0.08,-642,jugdmizald
itgavzdiqz,0.145,doG,lbrphjqcgx,jkvsfbxlui,910,razetgguwb
doshdolvhn,-992,716,gvlsqrmlnk,474,uvpriigdzw,233
940,937,qdabifaejj,DoG,-556,183,wtrzmkioui
-942,0.3195,560,-434,658,630,rmquxozusp
0.2555,CAT,-0.1145,-310,dog,-0.06,944
cat,-0.0795,128,yancphjaas,-0.3325,sloqrsjwtu,0.2355
490,cAt,vcvhbfdvyj,CaT,CAt,yrdsugkjep,-628
584,dog,caT,-0.2535,-0.0685,CAT,CaT
caT,-0.1955,957,52,448,0.154,0.044
0.1715,-11,406,24,-0.3135,-0.006,frwpgspbeq
0.0155,scbvhxfonu,752,-0.4715,fhamszgvbc,-389,-0.0425
ktbwzbwvur,wvqrxfxxgm,DoG,DOg,Cat,CAT,sbcozxanhp
utkacealdp,0.08,967,113,cat,pnmxxciytb,-964
sjsvnjpald,-0.3315,-869,-0.024,-145,dOG,-127
-529,joivlrhbok,ggwpwamicn,0.2695,puqawmyhyy,476,CaT
Dog,cAt,-837,-751,-706,CAT,-596
doG,-497,-0.382,DOG,-505,wsswkubjby,558
-0.024,-126,CaT,effowofnyv,0.275,-0.079,0.096
-645,-456,-0.434,gworkiktod,hbqhgfbokm,345,-227
dOG,yayohsazyv,DOg,caT,cxrkeualwr,jffdiqlffg,CAt
dOg,doG,376,905,-29,ptxquhithy,CAT
esieyhoink,266,CAt,yzcmssqdbn,hqybazbfsu,ojbmwuqrmj,qztntcpbzf
lxkjpnsqyf,cAT,fnbjfcqxjw,smcmcklgfe,ojvrkmrmkq,Dog,469
-201,cltsicwopv,208,820,cat,0.495,wyokwczurq
CAt,iaafodozst,-278,407,ksbilbpqvo,49,-0.0005
645,0.283,puwziewcnf,DOg,ffvzkflcog,545,175
-0.4655,777,-538,0.464,-67,990,dOg
bygydnhrez,hspawvbwri,0.2205,CAT,dOg,656,0.0425
mzgrpjijjb,vpljutciql,kskuxftozj,-0.191,395,-0.4345,olnkloaxkm
0.268,-0.0125,-613,0.071,vcowbfqiqy,-242,-0.0785
caT,0.0845,caT,0.0445,947,-0.1455,dqpnmpfzoy
cAT,rbqkhiclnv,967,-0.188,-813,rvemcvjmon,dog
qputtrgotx,qffobhfsnd,dOG,0.24,DoG,46,-0.124
dOG,-785,doG,CaT,-0.0115,-846,zbajdizykw
0.085,-0.018,zxmujufzfi,-20,475,260,caT
cAT,0.4615,wgipgwdnsh,DOg,-549,-271,dog
syrsydczor,DOG,0.0225,0.2525,354,wvbipguyoc,doG
-0.0035,vwhphlygde,0.4875,sffjafluip,204,cAT,xaaysbkyuo
-0.1675,cAT,0.3715,-616,0.258,291,-561
0.3205,bpdwflqpge,eqymyenktr,cAt,cAt,-393,0.4865
24,199,CAT,0.1875,-0.411,-689,0.4475
emkbuqurnk,dOG,0.2645,piiwtknwpl,DOG,177,-0.3935
Cat,0.006,-0.454,aaylpnixjz,lyslnfydrb,87,ganlgjsgbx
-0.0305,cAT,zclmwcxucz,876,-0.327,306,-136
917,888,-0.428,-221,-0.2195,-0.5,-122
98,rqhgfvbllz,eopgglfawa,685,-13,icanwefdpo,htuofneqfo
DOG,cAt,CAt,-510,-141,-0.173,147
0.3485,678,-0.05,lsrckobsmu,-938,dgvxvwetfc,-0.34
-451,-0.465,-0.359,642,0.2915,-992,-0.193
cwlxbkzzer,-0.4845,-0.397,CAt,caT,0.248,0.2655
fppneeaeoc,217,0.2525,rdaholttvx,CAT,0.0665,-779
-0.0315,dOG,bwrqanomog,wjoqhmoviy,-0.2495,0.237,cAt
