uwsxeiypbl,jgkkhqrejp,naousorvuy,seotbwspxs,wpyrnsfjik
0.4475,0.0735,caT,199,-31
-0.078,jlbqpvnoag,mimddwppla,0.025,lgmwgaxfsb
0.494,CAT,-0.109,-408,cAT
DOg,-0.3085,cat,-340,-0.275
akxbknlclk,29,cAt,cat,tbvidyrvpn
0.3925,jbyzrqhvpo,-0.11,135,579
910,864,146,DOg,caT
361,diljoslosv,0.243,-0.471,22
nyeozqvtib,-0.498,jfroanpkaj,cgbwlqzknc,pyvqgztwbh
0.36,0.3075,0.1005,-0.029,caT
Dog,972,-0.282,37,ibsrvptpnm
vstduxopir,Dog,suramppgjv,-0.3735,-0.1825
680,mtgkcvquii,826,cAT,caT
yeiowzlugd,zhdmuuarjs,vxiapwnneu,-0.2735,pdcskjxosr
mizjlulctp,caT,-642,-444,0.3475
381,ezohpzonhy,-461,bbqsuerdto,thvrcwuhwx
cqptkzdsum,-661,keywytdcmv,-0.351,dOG
pacdkpfirj,0.475,dOg,pxgfbsiztu,CAt
0.3175,397,324,vgweiplwwu,-0.446
yxebzeyqvi,774,CAt,0.1275,thwfxyhfdj
bkcxwahtud,CAt,0.1335,0.0355,-0.0655
-0.2795,cAT,968,htrjrvrwcf,yjjbrvlyju
