ldaiiehveb,Pet,nqmipxcfpo,sbtsjlrmwe
-0.3545,-0.107,-660,447
0.4695,Dog,-0.0245,913
Cat,dOg,DOG,dOG
mclbrulmps,CAt,-0.0195,651
gzakwfufes,dOg,0.1365,18
0.161,0.1065,-696,-0.1085
rxjqidxgiv,hicjbepcfu,0.2955,-294
zudeastmjm,CaT,51,dOG
-227,Dog,qsbefgysub,Cat
0.16,dOg,0.359,-244
0.006,350,DOG,-647
xjdzqfocrd,Dog,CAt,0.242
-83,0.3605,-0.0025,aedmvrijtz
-78,cAt,CAT,767
-0.302,DOg,0.2805,DOG
hwkgiwstxt,caT,-0.1585,zaegrclnmv
722,cat,-612,-0.168
0.456,0.0335,quyjjmcyfz,261
225,doG,-0.089,dOG
-0.25,DOG,-447,0.189
DoG,Cat,Cat,cAT
0.0505,Dog,Dog,qiaajgmfrz
0.2545,CAT,-319,xrhryjtcfr
oaiixzajrz,0.068,-0.3725,-970
-723,DoG,dOg,0.3405
-0.2645,DOg,cat,893
367,DOg,qtolvymhna,lzlscjwmaz
aqehpscppk,cAt,0.44,-0.242
0.324,DOG,-0.444,444
-526,dOG,CaT,gxsgqnchyb
399,cAT,rqojchafib,seyuzijmxp
