mwhcasksvz,foxnqbdzbh,jhgnwafpil,cwdzphqydt,mooompwzmu,udxixdahtr
bcfptwnclq,sjjaatudnh,291,doG,cAt,caT
0.1655,625,929,cAT,211,-0.3275
391,ehbqfishhd,189,zmxmobqmik,-548,-209
mdzmwfigmd,-0.286,caT,0.1455,0.125,dog
Cat,orhgaaiqqh,idogpwmgnt,-542,61,DOG
-0.4225,725,0.3025,0.1505,cat,fhhdunswxj
-437,DoG,rmauflqbow,CAt,-0.4535,jzezmbbcad
bboyravmxy,dog,wvxhkkpsgd,0.1165,ulmvzzqbxa,-839
-333,946,-0.366,405,Dog,-122
fxvqsqxuay,xqvyqbvagt,jnulduvijx,DoG,-0.191,khjbvzwniv
-378,abbiefdily,-994,brmwwgcsuh,-780,zqhsqjyzca
dmxieffvde,321,gnuigeuynj,0.421,dOG,-784
0.332,-0.442,-0.06,wcyujvsmhu,-831,DoG
yoksmrkezt,971,-0.465,nbkfqnutbh,dOG,zobroltmyi
dvdevbomqr,-976,0.314,-0.397,cAT,Dog
CAt,-0.347,313,-391,fosyghbksa,-0.044
lxfvgcsyxn,aztasganin,-0.2875,0.4345,kcxfoaouhu,wmijsdeouy
CAT,hzknvgexnf,0.3555,0.1775,0.2285,0.2535
-0.3565,onqugebbpy,DoG,cat,-0.234,-811
562,nwdletzxoo,-0.4595,-0.097,639,bzuxktwjwk
-0.4295,iryqbaeuul,-602,-0.2265,cat,-797
-47,-0.2675,Cat,doG,-0.128,CaT
927,cAT,-0.445,dog,crjgvkjzte,kygzsedwpm
Dog,DoG,-691,0.3955,0.0605,cAt
dOg,0.3655,577,741,-0.416,nauaxvfczq
-978,0.2015,-832,CAt,-0.0695,0.4925
dOG,0.131,-0.261,15,-435,frfynqvkyo
czjmgyqjjm,CAT,423,mszrkgyuup,0.0325,726
uetkqplcwe,cAt,doG,801,huwcpqiorr,dofmgqfhwp
-0.1855,0.1175,-751,dOg,dOG,0.165
cAt,-0.194,caT,uystacsiat,sceygbdvzx,-572
-514,890,xvxxyatvtd,-27,CAt,0.113
tjmwkmcpbr,caT,0.1415,-279,0.2055,uwjbsqnzsx
0.3265,xkbxyhhrkf,pdqrmnzogu,ugzkyqkmuc,739,-0.17
cAT,0.06,DOG,607,764,iicybgjufx
975,iwwmhuvdgk,cAt,0.3625,795,zidknqmrdu
cAT,fpdmbqkeio,rfvrsljyxz,0.306,-646,982
rrspibtysp,CaT,0.187,cAt,837,CAT
cAT,pcivhmnszg,0.306,-0.022,cAt,-0.406
ujtnddhhhs,-599,CAt,tphicyhfrc,cat,-321
-475,ejwnctdupu,eghsrloawc,vjsmzlvuno,0.36,yihafcrxkc
0.226,86,0.4175,0.1125,DOg,-0.072
dOG,Dog,-490,9,-633,-929
0.2715,0.0435,997,-671,-526,-954
chnclovnwn,-509,hkxrssfiod,dgmfdpwwtb,cat,-710
445,jksrxirpht,-0.4225,epjyfviioi,caT,-84
0.316,cAt,bwudeeiwbd,970,-0.1225,-0.037
-329,-53,-0.2095,690,DoG,DoG
0.1975,-231,CAT,-0.3105,0.0585,cAT
bijddhnfcu,-260,-0.2845,-0.498,gsteomedqz,CAt
-505,aluhkffoqt,-708,-768,jmjklddpuq,475
-131,534,yvbdowwbkn,0.388,-0.001,ygdsxsisnt
36,0.283,-215,dynlemeqdp,0.4795,-715
-278,0.339,423,qrrkleqkup,481,doG
hbihpstwvm,mvwovcuisa,-992,rbyadbbjel,-0.008,245
dOg,CAT,0.3185,812,0.238,qbuhbxubym
CaT,0.443,CAT,0.338,CAt,698
Cat,0.2835,0.032,-71,kzbhsxlczb,-0.37
CAT,cAT,CaT,-935,nqayxfibux,ixynwtdmgq
