xybhmiagwe,iknpprbuuh,qxijvwmyah,squfnamklt,jiywzralkd,vkyfculaxe,zbqlqqfiin
-0.396,0.165,xfhyulptyy,hcgmrxpbrj,CAT,0.1575,fodzetoiwt
exgxtyecfh,-323,-0.2225,lgmjwalbpy,-639,374,lrcdxosahd
-785,377,yzwobsglms,-0.0285,0.3,unajndwrgh,Cat
337,ubwwzjhqqv,vwxwesikvk,-612,0.2315,bfdyyezlnt,-684
gbqtvqjdha,Dog,-0.1425,gxfbmtpuja,663,-857,paikukklty
ficaylfaet,945,-503,-0.0975,238,0.368,CAT
omfkbvepih,vrvivdefkk,-448,cAT,vcfzeuayuo,cAT,-0.0115
DOG,0.081,131,938,-0.3925,sejwjpdqxa,japkcagflx
CaT,-937,cat,phcgcanpnl,0.3755,963,dsqjzhxkhs
DOG,492,mivshinqgj,caT,seqwuagnvz,xnjrivdzvt,ychtfgcuhi
caT,746,rzgljygtpi,caT,pafyyvtvzb,604,-0.132
Cat,cAT,nwdgdnkpuv,vyelnggnsp,fnmvfbvibq,DoG,0.253
sdvcujwdgh,-60,umyvvvsair,CAt,Cat,qshqhhuuos,Cat
0.0905,caT,-0.4785,-0.126,0.4025,192,536
0.043,Dog,lshjzidfpd,xwjdldfjsl,0.453,tpvyqdkybl,-0.363
-0.3415,0.4755,ydxcexiihh,dydhxreoxw,cAt,885,-0.4655
-463,-803,lnedhxbypa,dOG,0.349,-0.1945,qkydgmnxwq
