xhmwfnavpp,fnyeccftle,mcpefjdajn,uvhcvbmrgh
iprexgxqaw,0.287,-0.031,dOG
186,0.2605,0.0755,0.232
doG,inubadbney,0.438,jvuzfgdbkr
0.1005,CAT,cat,-0.4495
0.2795,-0.1045,mqvrfwuxzb,0.244
dOg,fyegevtmzb,-0.3025,-0.099
-0.062,ymbayddyvk,-0.0285,-0.3685
391,-0.24,0.492,-0.148
CAt,-832,kkklzuucfy,Dog
-229,DOG,-235,vlsbcmzciy
DOG,whhakyoxlh,CAt,234
-249,aitwywllrb,-987,-0.464
ggkwsbrijt,674,807,DOG
dOg,0.134,qyhuanvnfs,553
kakcpujcli,lqbvveenvd,hlorymgqnh,cat
597,564,ikoyaztuii,0.2575
-0.2365,-274,DOG,cAt
-298,-0.443,vhcjyonsop,jvpuddzbhe
-0.4335,lfoudgjqhr,-0.1425,dvgvvzzovm
imcechjeql,yeoegooced,624,cAt
wietwftdkn,617,wpvbnjvfoe,bfkegnkaiu
515,ldwuqabqon,413,-0.39
hqfbpfnzmd,giuufgsmtu,wlwutqdwzm,whnmifvasn
dOG,-0.2485,-207,-0.3625
-175,-0.33,-694,0.0585
0.2115,0.0085,-381,0.2335
rknornfdyf,0.448,rtmpfoywnm,-0.456
-0.334,tcgezbdyhs,0.1445,DOg
DOg,dOG,-542,-426
-533,DoG,orsgihyvho,bmhunhxlaa
aonexjysel,0.43,CAt,itqohrtsmw
0.0895,eicgjvgqxg,dog,CAt
doG,0.3565,khfmobkdcu,-0.3015
DOG,CaT,-0.4685,kgnmejimrr
awzxjabxaj,-99,104,-444
rxtmjfhjsp,-839,CAT,DOG
uxipigretn,-0.3975,727,lgvvnzwpfa
tmmlixrztu,-548,ihfjihwoah,-101
0.1025,oarulvrnrd,DoG,601
908,-0.2555,dOG,elzuaqbmsr
dOG,vdvvyglgno,0.413,mnxjwogdwa
-157,0.1025,442,whyjtxynno
0.441,hvhftzvqce,diclqdxqrc,DOg
cicapbdzqv,0.4145,sgewlgcldq,urkmaiugcv
ogegwxvgfg,-537,eaprtmwejt,-200
DOG,-616,-753,168
dOG,DoG,-771,CAT
-0.0205,CaT,-62,-0.463
-0.3695,587,-0.473,cgjgvncenk
0.3665,0.401,0.1085,vljdfuivls
0.3075,-0.31,-0.024,0.2455
gdccmynthf,vwgrahdbsa,0.0665,cAT
DoG,910,0.185,-0.3245
-0.1665,CAT,-434,-0.2985
vyfphevmod,cat,0.4795,0.057
0.403,ggtlmyfkkh,-181,-0.1495
dOg,-740,-0.188,591
-719,caT,-381,584
hxvmoewqrd,395,ozvjbpfyui,-0.234
621,-0.153,0.185,155
-274,394,wdjwguzxpa,agvhdjuwlk
rwzhtpprxs,-83,srxkecsnxn,wlmhgiirns
CAt,Dog,gwdlnrwonw,qxooshjnmn
ysbrzavugd,858,ywfaibjpbv,-102
dunkublqvq,-400,-0.0645,dog
0.044,cat,313,udnzcwuqnb
CAT,laiunhcnpb,caT,CaT
uyohoxndei,wwmopgldfo,-609,-821
gobkgfvvxr,qqjunvmwds,chilcsacip,0.048
0.1755,dog,culhayffip,567
-0.412,mrnxcpoaqi,0.2195,dOg
ogzzjnwxdk,0.4305,CaT,0.4575
-0.3765,Cat,-453,-164
bardsblmbb,66,0.4945,kqpgcoipmg
-882,dog,monzmqlajl,caT
0.321,0.213,gykfrnnaad,pwpfjatsam
DOG,101,-0.292,-0.1985
775,cvvqaeiqle,nvebhpvpah,-0.4805
-913,935,ojoupwfozc,168
162,-589,0.179,bbcojiguor
emtwwjcfpa,0.034,pqtfelyvxs,CAt
-504,pvuajfdmdl,doG,-826
-0.1705,0.1495,-449,0.042
DOG,cAt,-0.0345,dog
qmicfeuzzw,kmwialjzma,pbyyilinqe,xswyrtyeea
doG,-396,mymyjklrum,mzfsszmkir
0.42,acxrwbvklp,xbmpankmgx,sjuijryvuv
439,-44,0.41,-0.24
