ofayqbpjnv,fkdzmepazf,cedkxaqrjt,mdaujezmer,Pet,fkjstegfda,knsxrnjuvb
xncirdfpps,0.3225,-0.1725,0.0515,CAT,Dog,-448
hiaafcxype,araxlolkvr,-473,743,-0.169,ljdeggwbjz,ostncmzyoj
926,aoyghmbonq,igradgfmxo,114,-787,0.045,0.06
-703,-0.405,-0.334,Dog,-0.401,357,0.4095
dOg,0.1595,276,-796,DOG,-0.4475,-0.219
408,-0.489,thjdmzqftg,0.341,doG,vwilphngvy,373
DOG,rabceyvlwh,-853,-0.1975,DOg,565,-0.3345
741,432,DOg,891,Dog,-0.2585,qkfgzvhauo
-0.07,caT,-0.474,slzfzefesk,CAt,-303,-0.139
lpgcifonor,-0.0345,0.2175,686,Dog,cat,dgqndhmzxr
yycrmwiqqn,hrbbfovxkr,0.4055,-0.4335,nwbvuaxevh,-555,DOg
plyechsfbp,284,-523,cAt,-0.1005,0.334,0.119
0.294,cat,vambluxnrh,txdznnowpf,DOg,dOG,0.305
0.3705,-0.007,483,-0.351,cat,196,-828
429,0.333,dog,ohzzcmkcdy,Dog,-0.2065,vbxunzihtx
tsawshgnyt,bqwryavenc,-0.396,qtepsjgxls,CaT,993,-0.484
-0.381,0.2585,-559,-386,CAT,xbjnmqceac,cAT
-0.3,xfbcvkcdsd,-0.1345,DOG,caT,0.3005,doG
0.257,buuigaxmpt,0.2285,cAT,CAt,0.3715,0.164
ghfhqsxkto,-0.231,xqapxadzel,-230,-0.2175,tiopmwmlsx,iwdvqddwcx
925,0.1145,-309,-0.287,CAT,-679,kxzojbkjhx
-486,tktcjwuzrn,llyywadrug,-0.081,tyxroozzjo,-0.2185,0.3105
-0.4445,zohpjzaehl,dog,0.184,dOg,xccyqjkjmj,bgttgwjdju
0.4505,dinvnzckbu,lpsmtyifpr,psrgcetyig,DOG,Dog,0.1085
-939,DOg,uyihnnwlsh,hclexedwpy,-0.214,-0.383,368
algmboqtuf,cat,-726,0.2015,200,-305,zcnwlcqbnl
725,-0.3805,-0.14,-99,DOG,74,xygfomorwv
-0.4685,-298,-748,cat,-0.4565,-0.1535,0.215
kwmmmfjfxp,-0.0535,rhqswoxuis,-0.0045,DoG,cocryojvrg,-0.1115
ktumugguip,-765,cedtfcfkrm,0.095,CAT,wvwkhyiijr,-0.37
0.1285,-0.2215,ijrswxgzar,812,pagkdvcegz,cat,lukqwssvkg
0.4645,0.0755,-0.167,772,CaT,kciryscjgl,540
-244,0.2585,0.172,0.3675,-475,-0.3655,779
-0.241,713,dOg,990,cAT,241,DOG
0.009,66,-0.2055,-717,cAT,0.163,Dog
-826,0.127,427,549,CaT,715,-648
dog,-95,305,350,dOg,-433,530
johimadgoe,-604,128,744,cat,DOg,0.3415
-0.437,DoG,0.0705,-994,DoG,CAT,-0.1365
uytzssedkl,egwkvtuawr,fshgykaxto,yentindixw,dOG,tpgebofowq,-15
0.4225,qfvtjnidrg,jbtdximhjy,gyjdsxzpsi,DOg,0.2835,jzsmfhudbj
-0.312,-0.042,cAT,-0.295,DOG,cjvhpfjkvx,yrgeetusbx
atvfkvwkgm,doG,0.1455,ggmkywlzqq,doG,qoxkfoikei,tgnlqprauj
xmlqfiwkbr,caT,441,92,rdvnnvlxnk,nvmrxujuus,-439
-793,0.4065,cifkexljbz,cat,-454,DoG,272
882,DOG,0.4475,617,uenobcvteo,qodlknlfbb,dOg
-474,0.4405,-0.3255,Cat,cat,-522,-20
cdalppksgf,-777,0.4465,ztzohhybkn,760,-0.4425,-0.205
-0.4645,-36,jakzeovygl,cyvsraeuiy,CAt,543,0.401
sggefzhnxw,296,dog,twksfekijd,cAt,-816,-759
