fpfxbxwlvm,cxjsrflsxw,senfbnfzvp,zzavneybhr,ohcgvpszgs
-271,oigdmmjjla,0.409,-0.0155,711
-0.427,sxafmiojvv,-569,-281,0.376
149,115,-208,djgktakbmv,702
cAT,pkgrrahicv,Cat,vsimdxpjqm,-0.1885
Dog,zuegwxayde,hcuokordac,-0.338,0.2005
hgjrhdhtud,-934,rncxgnkaey,amiqthvsjl,-0.015
498,-672,caT,963,592
0.222,CAt,-0.1615,0.1485,0.0135
dOG,-222,doG,tsssjtysvr,ptgqyjzkql
27,nilcgtugsc,rxawrnbgdb,-0.461,0.043
amgzfdiqoj,DoG,937,751,zjovamxxun
DOG,0.471,-864,-0.3435,smckqdevxj
159,0.423,-311,690,athuzimuap
-0.2775,hzgojhsblh,-800,-525,0.3185
0.02,geidaqerro,oitlgwdteh,iwsifsypbc,884
hilufpnlbt,obutyrgmtn,108,dOg,-13
-243,969,-0.1105,cat,Dog
-769,-395,1000,0.324,-0.37
DoG,0.279,0.082,-0.3105,okctcvidty
Cat,0.3855,caT,909,dbsgdumizf
wpwmlqylrb,-385,0.3715,Cat,-893
bqnexrsmra,dOg,0.2775,-0.4645,aidwdyunwx
0.2195,-0.0215,-476,576,Dog
0.236,0.413,xdpejykqrr,-142,rrnicrxjcx
13,Cat,CAT,uzrsjbgjki,slzqawcijw
0.3965,-0.3035,-0.022,cAT,0.41
417,-91,dOg,-328,caT
mteccwxore,300,qytqwxmwiq,ckzccrwafd,zkdcuxhkju
kfsrsvmtwo,-0.403,0.423,-289,-0.221
vdiufdhekx,invswlysni,-0.35,309,bcufklpart
-251,-0.0585,cat,-0.1615,287
-684,-0.1305,0.0895,0.453,hxzsghkuov
0.165,-592,orvytlvlfz,CAT,-631
DoG,-447,-226,CAt,-0.301
0.495,dnirfboddp,0.455,-0.405,DOG
Dog,-0.366,-0.111,Dog,unvblqfasr
0.3665,650,0.3655,-0.014,cat
-844,mhtgtqbegm,0.484,0.095,dOG
-0.258,-922,0.3665,345,exyqyjzfzs
-709,Cat,0.112,wqggwprksh,370
cqrwdmrbee,-0.383,DOg,aiqusgdohw,0.457
799,ibkuzltxwk,83,453,bxuezefxjx
-0.207,-261,DOG,oiiwacnnhm,0.1045
cAT,cAT,raeceqipoe,-209,788
780,-134,963,njtflosdum,-0.169
-743,vtgsukfqgz,cejbeecyvh,vqkcryzykp,byjhtafejc
dOG,CAT,-0.002,-0.087,Dog
doG,-62,98,-0.3765,CAT
-338,0.2785,0.3595,-114,674
Dog,dwwlmgjnpi,ykqoyteuzc,-0.3665,-411
xydqoddhcp,CaT,caT,wsqmghcmyl,CAt
