yaqcjrisvg,astbvisord,zpimwopslp,kkdjohcnwu,oneqqjjnma
-803,654,-137,cAt,487
0.0395,dog,dOg,hwadkhbfcr,lrnxawldsi
0.4985,-729,tyvgxxyybu,dOg,dOg
0.068,-0.0915,350,-210,-0.2085
0.288,shayrztakk,221,-0.4635,-85
rgmbyxjsah,DoG,-0.2525,240,0.0315
677,899,0.4735,-0.0405,0.4915
-378,-0.2785,gphdcsznpi,-14,-0.342
mnwrsvhaat,-0.2235,CAT,CAt,drldszwhtz
-0.434,-618,918,caT,CAt
CAT,CAt,-873,-0.117,CAt
dog,dog,doG,-506,-0.0035
dzrpdyobzm,0.3145,qwbiasonvn,-435,-0.4975
-918,0.38,DOG,-0.0615,kspqkeimwt
DOG,ttqzcxlnyf,-0.2225,jihdurequj,908
0.0515,-0.292,kpdvvakukm,0.1345,-296
DoG,dog,0.0245,428,-0.091
-378,gdbhshkkvd,zfbdokxscp,-0.106,DOG
-535,fsjyptftyn,-581,CAT,-0.1815
mbwpgqjsld,wxrsumhyol,-0.256,-436,kxoudtgffx
-261,vewcxrzyps,-0.4465,fjueorlyzg,CAt
DOG,190,-963,doG,crnqmyyqgp
cwbecufntq,-235,-455,wpxpqooxjc,0.373
-321,rirmistjzk,DOG,833,0.2285
vcfctgqbus,sbyvucxigz,Cat,-0.0485,wmmfquygpg
hpxtifissk,240,DOg,0.185,51
rxxkndpyqv,561,-55,-0.1885,-0.492
ufjtbkzjcg,539,cat,mdnbcaaopk,-0.061
rfvuuqpcua,0.151,-814,-873,0.209
xpjvbcdyoh,npowuvozuv,wtimwbvtoh,pyvxmuqsfi,-41
mpfjtvwjjb,-656,-425,550,-754
456,0.034,lilvtgeijd,oyyavrtywq,-3
cAt,238,-0.24,lyvdrvjqsj,740
dOg,-364,-0.357,-0.0445,DoG
hfenkdpxnh,674,-41,946,-0.052
-0.175,-0.0855,0.472,rtkzrcerbs,jluzisgjjn
cat,caT,-0.0895,0.344,-0.4055
-380,doG,0.241,dqkelrdtqy,emacsdvekw
-0.341,bcyvpsrezd,lkgysyprfc,-552,iozsikfcfg
-0.365,lgytuinaew,hetmdeaenh,uymsffbrws,flgtqutaui
cat,axkovnvmtw,656,-0.4875,CAT
msybtmitwh,mueqtmwcwc,-0.192,dOg,752
tqxzslnjsn,982,0.2315,cAt,dcjijebjlp
dOg,vcvcmteavr,-0.242,136,650
essefauwjy,DOG,xxazgegnfo,fwvonfdmng,914
-820,piybmnmevg,-0.4035,CAT,155
jsdlamrqtq,hmbymjqziu,Dog,-0.091,dog
-0.2765,roufgqtpyq,rbivaodljb,-560,vigviiwegu
933,0.2075,0.3355,-0.4215,DOG
DOg,834,-114,jykcnfedit,-120
382,-901,0.0875,229,qmopudyhkq
-253,834,-322,CAT,-810
DOG,dOG,-0.42,935,-930
281,yoypznjbqb,dOg,pljhklxppr,-435
-742,0.297,fwrbpwoxid,0.034,pdlrpstyhk
CaT,-134,CAt,dog,-723
-79,owkvvaunte,nadztxejqn,-465,397
267,-0.25,tjmybtzhnc,-0.0945,-409
-0.2735,0.157,iedxlunbks,576,0.29
caT,CAt,xpttwuxgyp,crxaiosdkq,gqlkwngcdu
motzqhygdj,-579,-0.2315,-0.488,cAt
0.4775,-0.3825,0.047,xcirwbtvfa,0.4275
0.2705,613,xrmgdxanel,0.392,-0.4615
125,677,disxlqxixm,DoG,doG
-0.101,-183,-726,cAT,-0.0925
caT,0.3265,-0.365,wdmnygdmnb,neffhsschk
0.455,-565,cat,CaT,534
Cat,127,DOG,bahzgvglpa,DOG
Dog,0.339,oyvkbkrxrv,cAT,dwlohdjbsy
