qfbflokmpw,peT,unuuffjzds,emjzssbivw,nfxvqbdpod,mbpyzcclmq,twxlpymblg
-686,-0.425,-0.1965,552,-0.276,-409,0.442
hxpmkfynse,dOg,Cat,cAt,dOG,0.0435,487
-791,lbbhesqwaa,cdjcqxtgyd,cAt,-165,389,117
dpnawykkux,CAt,DoG,-0.14,CAT,511,pvstuutfce
tajlscdjou,764,dtxdzbxgcq,-570,dOG,vvjpwmlqfa,cat
-0.114,CaT,533,Dog,lqhfjksrqn,doG,0.1375
824,CAT,vmeurkentj,ujzloovxox,0.1945,dOg,-0.4855
-0.382,0.2875,-480,CAT,CAT,pljckavtfr,-711
536,Dog,geyzpxqxxr,-0.404,lwsjavmmdh,caT,0.4885
32,0.464,auihaczheb,yshxbzqhed,mytjcboloz,-0.4815,-837
-0.267,CaT,dog,DoG,-0.356,Dog,440
lawdvuwzzg,DOg,-0.1665,-129,zpidfomzdp,-0.322,-0.172
0.377,Cat,0.1745,737,tkzhmhkitf,748,0.0205
0.3835,cAt,zzwjkzcgyl,fooetxjfzv,lxgyxpczoc,fnbmivthft,-685
dOG,CaT,-0.0945,Cat,tiqpnnjzoc,-673,861
0.247,DOg,cat,CaT,zvruznimcp,-36,dog
0.4725,CAT,-0.079,430,257,ewjczdwgic,73
-494,dog,DoG,-634,qzcfomujgq,-0.2845,hrdatjllcs
Cat,CAt,efwizkxwty,focmnuehsf,DOG,yswuvwptqd,DOg
gvqwlfhufu,cAt,-0.37,xjxuizglyw,-0.396,-301,ergklzufvh
ymtbrfakwp,caT,zjvycmsmsa,323,cAt,0.1835,-0.1835
0.0375,huqpqilejg,cat,888,aqjubncwdm,0.376,812
itlxfqmluc,cat,Cat,hmleuogzgq,757,caT,-894
-0.1915,cAt,-115,-0.128,dpluvweakx,0.1245,-0.4345
gfvgybciqe,doG,-0.063,0.1195,DOg,xuxzmhrtjj,-0.254
vaqjogmtnh,dOG,239,0.447,rbwcdgqvfz,167,-776
zmvurkxkti,Cat,CaT,436,732,kkykyoikpx,srlcsxczxs
cAT,0.044,-0.182,pqecyntmzt,squnprwluy,0.1505,-178
-0.1545,dOG,747,530,cAT,dog,caT
-242,DOG,wdxrrywjrz,45,-0.2715,irtdpoavac,-0.1265
-0.3085,Cat,247,460,-0.0185,cujzyvwvjo,mbbrciuhaq
krgzchpdgt,Cat,qwvasxljre,-0.258,0.0375,0.0475,dOG
-56,lmavuxuady,0.465,-602,-609,0.4305,doG
25,DoG,572,0.129,0.4555,Dog,rggofnfcgu
dOg,bfcvkmpwre,wcqzalmnzo,160,cAT,caT,rwnnitqrci
CaT,dog,0.1115,803,-0.232,-0.2535,cAt
-339,DOG,psangrrdql,DOg,xcujpzkxsi,dOg,-721
gdfmjlqxyt,Cat,-0.296,bbosaraorm,DOG,-189,0.0695
