lahmkhgvwk,yoskalezav,yfcxchhffr,bbvwcxarve,ymdeauwwhy,lbvruycsqg,pftqghroed
nudfmokiwh,izvkvcrttj,-0.371,doG,uqqjrcdrvy,0.0875,-624
CAt,fpmknpwwil,-0.11,-53,-0.493,0.049,Cat
-0.499,sifkwnaqqd,0.187,psrqujhlej,-0.098,-734,DoG
kncmwonhwa,dOG,exyqkxdwud,mpzyzibumx,oikskoiiva,dog,-0.436
bwtbzvivpa,-630,0.1145,cAT,DOg,0.259,0.034
-0.245,-764,-292,zdfvmfzikk,-0.4895,-239,xarksshxoq
-0.035,-0.429,-0.286,0.0045,bdznkhmojy,-938,kywqwjhnzq
CAt,Cat,-0.043,aqqaaktngp,DOG,cAt,292
200,DOg,cAT,ibfcmabztt,-558,-0.4345,cat
-0.0345,307,cat,913,mvmehgqjva,76,-0.3475
jahadpkyli,cat,-0.317,530,14,-746,0.149
vdoqvzmkcm,-0.222,-141,-391,98,xvjqxlyesa,ofbbqgjxbz
caT,0.374,177,CAt,uteetqfxrb,-984,0.4875
gassejlezn,shmvyhsljk,0.3535,babkpnerun,0.304,-0.045,dog
-0.1145,0.092,negerttweb,caT,630,-67,ytjtksfqff
CaT,dqyanzysey,-0.492,fsotdubskg,-0.3765,sheorpozow,navyvnxjaq
749,-0.3325,jomakadwfe,cAt,101,0.24,-0.3535
dOg,-0.454,ggwfmkbcgt,-0.2485,-0.187,cat,-57
bofiybsujn,0.09,-0.218,doG,mnlgqdjgby,CAt,zhffxlanht
Dog,-0.1085,CAt,-885,0.0455,279,alzmomwmjv
0.219,-643,-0.0865,-140,qjsjvaysgw,-416,0.309
0.419,jpvzrjjtsp,0.328,-0.1505,0.392,glxpxjcpan,0.2135
kyyhtxzqqe,Dog,CAT,-0.0005,29,yysrpdzhcd,269
-906,tgsqgamuqv,dog,Dog,zeilgxcnnp,iiifkvgqez,oazwxkuobi
cat,pvkmwqbiof,0.046,-590,-0.4825,kzbuqcbpop,345
-0.26,0.475,zusetzrnpj,cAt,-0.2065,sqnewywmva,0.182
665,pdhbzcpfvr,-0.3715,593,54,qyijbyttkk,-0.2505
0.266,czbqnbnevz,-0.0405,mljsdlkyof,CaT,ezdwqwdjtx,0.2485
979,613,0.3435,mxnzeglrmx,khmzzymeuh,-904,0.444
0.1285,lukeogcpyg,dOg,awrsahhles,0.497,dOG,doG
0.2675,0.0655,-286,DoG,-284,dOG,237
DOg,cAt,-432,rzpgzilbyd,iqppcaedgy,dOG,-620
tklvubuupi,caT,iyakiqmcoo,caT,-867,blyhtcmwmx,iutsegasxv
cAT,0.203,-0.3355,-0.4495,0.3995,-911,506
0.3895,-0.276,nixqqhmsfg,cAT,dffqxcilhc,yslkddkqji,DoG
-917,cAT,fqooqjaqey,-955,-467,-283,-0.234
-0.3375,339,DOg,-0.227,-873,-0.0425,0.186
-0.2,uatgadlond,qhixdiuarn,-0.4835,-140,zpdupvzdgm,vhdiqvcwpu
qcwiimvkqa,DOg,0.4265,286,-0.339,xlfwcnyghd,gevuwlaqoo
srxheomfii,0.4765,-266,bfgvjdxlpl,226,-798,-0.0435
-0.2155,-0.175,hwnhskniaf,0.081,dOG,984,bzsqldknyh
-0.024,-0.42,0.26,0.0375,atvukuptcr,CAT,viaeioeion
-785,-539,jnjxpbspxr,-924,0.208,-0.141,DOg
728,0.0725,190,hnmiznrrqi,rsicsvvddj,0.3985,doG
0.327,58,cAt,47,cat,0.1945,ytxemtvvun
Cat,-0.1135,587,fnhsywavik,-962,zenuqwbvgk,-45
mjtkvpnjiq,-0.492,bvhqvjzzal,0.2265,853,txsnbccmis,enmdfoztgi
424,Cat,unopkixbte,elmmbvkpro,czsumubzop,-0.494,0.055
-0.068,-0.2475,ebkjqbcewo,inmnuqdqib,-529,193,domkstauib
uinuzfpamj,-0.4975,pfsvnqdggx,-0.433,-0.364,-594,145
260,fqljjtlklx,592,0.4825,886,0.016,-444
dwydqmhmsd,643,0.229,-0.044,0.094,0.3515,jqareciphx
491,vzoetsrsfw,954,caT,bmqaguecjy,0.04,qnjruheeaw
-439,0.1215,lbrbcfutjc,-569,-125,ivenqubzaw,68
hmmadcsidu,CAt,xtajqnlapg,-0.027,117,mlqaouwklo,pekynvrzhb
CaT,527,sztrqaxitp,185,0.1155,-744,hnucuvofbe
-0.036,kzpgtbzyaq,-483,0.4545,doG,193,wjnrywkkla
csdyuayafn,-0.1055,hfbmilbcpq,pemtgpghsb,tchsgrqeeb,0.308,nckicyasmt
594,kjedclbnhd,-283,Dog,0.0935,dog,997
grgmlanabk,-152,mukmiluaea,ovrfarooob,265,dOg,dog
