oqfuivcomj,txobplrxia,syxchhrbiu,rslpvgmlit,qdmrjpsxde,hoywompqhb
uhjiwgefjq,0.2905,dOg,mgpbscyhek,gjmdxlfenj,82
736,zuycdcqgmf,-754,0.089,0.042,bckuypykjx
0.4615,-0.015,-0.0145,0.051,cat,orjcldubdu
0.204,-0.343,-225,xhvdxsjcge,-929,cAt
0.3065,CAt,DoG,-0.399,-0.498,0.1705
-0.333,327,408,vrjvrmmfjg,88,0.101
-0.2925,rsmyzrqhvd,0.0095,-0.121,qfptujpbwn,-355
-0.1035,795,doG,ucgpjawqhm,niqqzdaaat,671
942,-0.462,641,cAt,DOG,108
465,-0.374,219,0.1785,0.1975,333
dziudnghfn,410,nlbeqxeaqj,0.4905,tyjdphyond,pbnqxwxxkv
-0.3505,852,DoG,0.3655,-470,-0.3505
123,0.3135,padcxehhhb,0.32,DOG,mzjlnpiadf
0.088,dog,-591,-0.4175,CAT,-391
DOG,0.424,hlvicdltym,-0.0975,-621,-580
tcktqcxmfo,-304,0.419,rmluucznpm,pndapdcthd,Dog
-608,CaT,ueppbgyynd,0.157,0.129,-140
-0.2055,197,710,doG,wmsfeycokw,uilhqyenji
-0.118,CaT,181,184,0.359,doG
0.419,-0.1275,CaT,bffzzgzrny,-0.086,0.044
uslliyfixk,0.0765,0.2435,jkyjyywsvc,367,okzqmiiwrz
yefpquabri,0.1825,axeasvvrol,dOG,CAt,caT
793,hjqiavcper,swvofeqnej,0.032,bpofstudgk,-0.2315
CAT,-0.1415,yosodfeptr,0.1795,-239,qnuvqvvpxr
-0.046,-131,-0.21,qohseejtmu,-0.459,-333
dOg,8,19,0.2105,-618,0.3855
Cat,783,CAT,elrodbyfzn,DoG,-309
-0.2475,bohjwjlqtv,rxsejjyuch,0.356,0.4135,-0.359
cAT,-0.1285,-517,dttvqzvwuf,-839,dOg
-552,gzcwupxteq,caT,-531,-968,xjlsceskfm
767,dog,-158,cdfjvznqfe,-0.489,0.478
442,-214,dOg,cvfpolsbfm,348,cAT
-117,ljiflillmc,0.1525,-816,-111,-0.3655
-758,Dog,0.4325,819,-406,662
tywwknslkb,tppwgnkbew,kjhbplbodu,-518,pucwtyqsul,-103
lhrrsjzdtx,dkrmynbgbr,735,vseehpbrav,nrfvlmovlp,CAT
cAt,CaT,wlqmvntqdc,vdeznyxfvk,442,-984
pwvyclxyst,-405,CAt,CAT,-846,-27
0.2505,0.4735,CaT,-0.4285,-0.319,zksvmynklb
345,0.4235,0.354,Cat,yquimjetyz,-315
0.2665,0.2425,cAt,dog,Cat,dfwdmtlntg
-0.474,aopmnctpdb,688,204,-344,CAt
-0.0055,0.16,spanabzxbm,0.394,-0.173,195
0.276,465,-652,933,dOG,kfryporods
0.338,0.074,ssogxldcbb,DoG,809,-399
fvchecrduh,CAT,0.3575,944,dOg,oqaufwitum
28,wskkfrexbu,-0.3765,-0.148,-520,522
109,hnlchplsog,cAT,-0.1195,cAT,0.3985
0.0945,0.407,0.272,947,-0.296,zqgilorcef
-887,zlxdcpzwmn,0.2405,ppjiicisaj,olfwtkwkmp,0.2955
-0.2785,CAt,-0.3795,fvsrlhrkou,764,-0.132
133,cAt,DOg,-0.079,-0.448,npdegcdast
-602,DoG,-268,-316,zgltyxvcuk,295
npqzblzayv,0.0985,-521,-0.326,-0.209,cAt
zsbbayefpn,-585,Dog,-0.1655,caT,azvofevlof
-0.21,-0.4635,doG,hmedzpggex,733,-0.326
svnobhmvnj,521,-0.367,0.1045,kgdiolxued,487
wqfpprsurs,gtgubjxesf,fpfmcowgih,deqzjexctg,-0.476,-0.3935
-0.2515,0.0355,wrhbgntflt,-0.473,wnmvucxcna,DOg
-501,707,-236,-271,0.3555,CAT
dOg,-0.083,xunbyqaeps,vldyamvgne,-207,-621
0.381,-939,-0.3785,broaoiiqmt,935,-789
DOG,rckkmjpjbu,-63,-955,lycqxpkdlv,0.087
tdxwwhgadn,-0.2265,mvddtkskxf,-177,796,0.027
-422,0.4385,0.45,-955,899,doG
mqvvpbhbnh,caT,0.2,106,588,371
-0.386,DoG,0.1685,wokbavjoid,-0.1705,-0.4875
sbsavxojvg,855,0.2995,dOG,0.3865,264
-555,-530,qelmgyvdou,-0.1465,902,-0.371
zfqubohvgg,hapxzhyvab,akdxmkiyro,673,jtqzadbnda,-0.0055
cAt,582,537,dog,tpavbvzysw,oaomlxoquw
-443,bqsqytdimp,kxtumlofou,242,0.0535,gthrunsaqv
44,boeynuzgtg,26,rmkgyjjgqn,ogqsccanjg,-0.306
CaT,CAt,sulacdjycz,cAt,qpfqohowok,nokloiybmr
izmhtewbvv,717,-0.474,gcusjqwwlx,ufxalmrlqc,CAT
287,0.216,-0.211,gqpzztbhcb,bbnwdfvonm,-472
-0.2795,doG,-747,-0.4365,CaT,955
