qtjdtzzxws,zvmituypdm,aqjkozbykn,xkzrmlmvjw,fpfaoneebt,laqhndeesh,zfomjvsycv
cAt,swuuiqurnb,ncdvpbwcvv,wudpapkzme,0.301,dOg,fepzyeetus
-57,-0.163,eghxcwbghp,-0.062,0.1425,898,-0.212
Dog,DOg,fogrqxuioh,958,-0.333,-161,-11
-235,xaxapktlgc,CAT,-951,DOg,-583,0.374
cAT,-318,95,-0.3075,-454,CAT,CaT
256,DoG,dOg,-270,0.465,-672,155
658,-592,0.069,0.404,plgdmchyev,0.0865,ahxewlzcpe
-356,buokncocmp,umvhyeiczy,asxuimaxzo,eiuqijkppe,gdjaamzebu,0.1785
ikftrmcvwm,lrflerybub,xzbjanjzeq,-479,sxaixuspir,833,-956
0.2825,Cat,817,xwxaiqjpap,xtwebqbsmm,hprzuiqmhh,ofrqrhoffe
cAT,pjrretwpjl,enemlsqfos,-140,0.322,athaezoyzt,csligbbqtm
-0.006,-0.2605,CaT,-483,549,130,dOg
gkrztovbru,gazjvcmbyq,doG,qjdaqzpohi,-0.321,euuxkdynss,mjbxlrjvsy
cAt,-0.455,-787,vysvsjnmjt,-0.316,-0.403,tvffbpbjfa
eoxgvosvsf,-0.36,Dog,954,fmsmnoeoqk,-243,ukgxllhqiq
351,0.3475,-0.2455,jwoyphjjkx,-832,-188,-659
-0.402,cAT,Dog,-0.109,dOg,DoG,zqrkxezjnr
wfiihvnwql,704,osmujlmbfa,293,0.347,xpyvesitem,-0.0325
-988,-0.3945,-973,doG,-0.126,-277,exzstdquxl
-971,dog,-926,-578,-0.0825,-186,-67
0.1905,0.236,qatrihzifs,-0.3745,lgfmhyjvhc,rqnhujequp,DOg
CaT,akjjbhchmh,-531,943,bphgzbjqcq,-0.406,bzdanltclu
mhbkbvdwpg,kmlcrumwfs,cAT,oqtplpsjil,wemnjpgzrb,sirpnkctaz,0.3735
CAT,CAt,789,202,xbwzasvtlt,jtdtayecqh,-0.3155
buismslgep,0.441,qumicrjhtv,875,-0.248,0.0955,wgjxdeoost
exzgajipod,ylhxfqdnsm,0.071,CAt,-173,0.474,DoG
65,dOg,fwomufsvpy,0.045,ycyetjcajs,539,oqwrebamib
368,0.2875,CAt,zlipqmxfjh,-8,DOg,-141
-0.3845,0.2745,caT,hqekctssqe,caT,0.301,0.434
wfixknurih,nngiwwsxfk,mfvapxhpkt,217,-0.4465,32,-472
fsiuzgakmp,daldcvmmsk,148,-277,-2,79,-873
0.0855,-175,dbljtzmshg,-985,193,CaT,-80
0.1165,CAt,0.408,snxkodluna,qumnlglofi,-398,160
xygkhfpucd,cizrfxzqaz,DoG,dog,DoG,-0.1565,-0.077
jaovpferjr,cAt,dog,250,632,-422,dog
kdhgovakgb,zduwaprxqy,pctjtvhpfg,wmcokfwawu,DoG,doG,-696
kyjnptzabg,-456,0.3615,plrwwoxmif,0.2195,645,cspuqmzixk
-4,doG,-93,ewjvgnjikz,crlzkfxxpr,-622,-0.283
0.2885,-0.2175,0.1655,pekvmpkblo,542,caT,0.095
qcomxgcnfm,ibbcmktryt,cAt,-47,-332,-267,nalyzpsmcd
-866,-88,295,Cat,kvdzzalbph,cAt,cat
ncuzhzauhd,-161,0.0355,-0.133,-0.424,DOg,mfubxscfhd
-163,wqkdfozaam,udammjadmy,-0.4685,0.3465,-0.2215,-551
-0.159,-0.0665,ljuoynarqr,DoG,-220,DOg,lxadtwcsln
hvozamdlbg,fljlltdgbr,CAT,306,DoG,uoriipnbka,sjoffsvesu
47,0.3135,cAt,0.183,yfsiozoubm,nzhjqqzazy,cAT
ylvdfvzefz,gavfgxswjd,nhzmydgzdb,-471,mgyuocuooz,xcndsprkvo,zffhnlvcii
-0.3685,hftczaqjfs,634,-0.1615,-0.419,770,DOG
-0.2785,0.01,-0.126,whpakjajmb,-0.4265,CAT,-0.1475
caT,-623,oxrilzgdse,qnlfwpmepa,cnvjezpfub,cat,doG
cAT,225,-587,ppymxpecwt,-0.221,CAT,970
dog,-575,-0.38,-70,CAT,-851,510
ecjexkwwqy,swnluahuij,-72,CAT,hipwnmlzdb,sfjafcbgzo,0.321
351,Cat,xfpqknovkw,0.123,kcmpusccvl,CAt,-911
yielwgkyqg,maiavzalpw,176,-0.278,cAT,atqqcblctd,746
oumpfvtqsf,391,uajbjkatrv,0.3565,899,976,187
671,-760,-411,-0.313,dog,0.049,eotdtppahi
ltlualtifu,-812,0.1655,-0.404,yejxzharvd,cffkpekelx,htrwtlczwr
cAt,ftexfsdilh,jjbrojgtgt,cAT,-904,-537,0.3975
-0.4725,850,CaT,cat,adjojgjoep,CAT,0.3225
albljrbodg,cat,qbbscfpcxh,ozownwvmjq,460,266,gymednzphk
nhehjzbaes,-133,-0.0655,0.065,-0.4495,sijxbtikdb,-0.1495
-0.416,773,DoG,-107,ozfwwypabk,-0.44,743
960,-566,-225,199,togeuvkyzr,-623,rfdokbxrkf
nlhxlxsrxb,238,0.0705,yvpmtqzmhn,ofpuzxzlrz,cAT,-108
CaT,0.2785,Cat,cAT,cat,-0.387,cAT
nmajyrodbm,548,0.185,Dog,957,-490,849
596,eupsdpjomw,-389,DOg,mmiznibhex,0.374,dOg
lmdebfdbvq,-513,mkcpxzntnn,czeqtnhizi,0.0735,-115,-0.17
